time,raw_value,voltage_calc,voltage_default
0.000,32822.67645760138,0.0083,32788.7199
0.001,32823.69545348157,0.0085,32789.7583
0.002,32821.657461721195,0.0082,32787.6816
0.003,32823.69545348157,0.0085,32789.7583
0.004,32823.69545348157,0.0085,32789.7583
0.005,32822.67645760138,0.0083,32788.7199
0.006,32823.69545348157,0.0085,32789.7583
0.007,32824.71444936175,0.0087,32790.7966
0.008,32821.657461721195,0.0082,32787.6816
0.009,32826.752441122124,0.0090,32792.8733
0.010,32823.69545348157,0.0085,32789.7583
0.011,32823.69545348157,0.0085,32789.7583
0.012,32822.67645760138,0.0083,32788.7199
0.013,32822.67645760138,0.0083,32788.7199
0.014,32822.67645760138,0.0083,32788.7199
0.015,32823.69545348157,0.0085,32789.7583
0.016,32824.71444936175,0.0087,32790.7966
0.017,32822.67645760138,0.0083,32788.7199
0.018,32823.69545348157,0.0085,32789.7583
0.019,32824.71444936175,0.0087,32790.7966
0.020,32823.69545348157,0.0085,32789.7583
0.021,32822.67645760138,0.0083,32788.7199
0.022,32821.657461721195,0.0082,32787.6816
0.023,32824.71444936175,0.0087,32790.7966
0.024,32823.69545348157,0.0085,32789.7583
0.025,32823.69545348157,0.0085,32789.7583
0.026,32824.71444936175,0.0087,32790.7966
0.027,32823.69545348157,0.0085,32789.7583
0.028,32823.69545348157,0.0085,32789.7583
0.029,32823.69545348157,0.0085,32789.7583
0.030,32823.69545348157,0.0085,32789.7583
0.031,32823.69545348157,0.0085,32789.7583
0.032,32825.73344524194,0.0088,32791.8350
0.033,32823.69545348157,0.0085,32789.7583
0.034,32821.657461721195,0.0082,32787.6816
0.035,32825.73344524194,0.0088,32791.8350
0.036,32823.69545348157,0.0085,32789.7583
0.037,32822.67645760138,0.0083,32788.7199
0.038,32824.71444936175,0.0087,32790.7966
0.039,32821.657461721195,0.0082,32787.6816
0.040,32822.67645760138,0.0083,32788.7199
0.041,32823.69545348157,0.0085,32789.7583
0.042,32824.71444936175,0.0087,32790.7966
0.043,32823.69545348157,0.0085,32789.7583
0.044,32823.69545348157,0.0085,32789.7583
0.045,32820.63846584101,0.0080,32786.6432
0.046,32820.63846584101,0.0080,32786.6432
0.047,32822.67645760138,0.0083,32788.7199
