time,channel_0
0.113,32788.03059767509
0.114,32784.97361003453
0.115,32785.99260591472
0.116,32788.03059767509
0.117,32787.011601794904
0.118,32788.03059767509
0.119,32788.03059767509
0.120,32789.049593555275
0.121,32787.011601794904
0.122,32787.011601794904
0.123,32784.97361003453
0.124,32788.03059767509
0.125,32785.99260591472
0.126,32785.99260591472
0.127,32788.03059767509
0.128,32788.03059767509
0.129,32787.011601794904
0.130,32788.03059767509
0.131,32788.03059767509
0.132,32789.049593555275
0.133,32787.011601794904
0.134,32787.011601794904
0.135,32785.99260591472
0.136,32788.03059767509
0.137,32787.011601794904
0.138,32789.049593555275
0.139,32785.99260591472
0.140,32785.99260591472
0.141,32784.97361003453
0.142,32788.03059767509
0.143,32788.03059767509
0.144,32788.03059767509
0.145,32788.03059767509
0.146,32788.03059767509
0.147,32788.03059767509
0.148,32788.03059767509
0.149,32789.049593555275
0.150,32788.03059767509
0.151,32785.99260591472
0.152,32787.011601794904
0.153,32788.03059767509
0.154,32787.011601794904
0.155,32787.011601794904
0.156,32788.03059767509
0.157,32789.049593555275
0.158,32789.049593555275
0.159,32787.011601794904
0.160,32787.011601794904
0.161,32787.011601794904
0.162,32787.011601794904
0.163,32788.03059767509
0.164,32789.049593555275
0.165,32788.03059767509
0.166,32784.97361003453
0.167,32789.049593555275
0.168,32784.97361003453
0.169,32784.97361003453
0.170,32785.99260591472
0.171,32787.011601794904
0.172,32788.03059767509
0.173,32789.049593555275
0.174,32788.03059767509
0.175,32788.03059767509
0.176,32785.99260591472
0.177,32783.95461415435
0.178,32789.049593555275
0.179,32788.03059767509
0.180,32788.03059767509
0.181,32788.03059767509
0.182,32788.03059767509
0.183,32787.011601794904
0.184,32784.97361003453
0.185,32785.99260591472
0.186,32787.011601794904
0.187,32788.03059767509
0.188,32784.97361003453
0.189,32785.99260591472
0.190,32788.03059767509
0.191,32788.03059767509
0.192,32788.03059767509
0.193,32788.03059767509
0.194,32787.011601794904
0.195,32784.97361003453
0.196,32788.03059767509
0.197,32785.99260591472
0.198,32788.03059767509
0.199,32785.99260591472
0.200,32784.97361003453
0.201,32785.99260591472
0.202,32788.03059767509
0.203,32788.03059767509
0.204,32784.97361003453
0.205,32789.049593555275
0.206,32788.03059767509
0.207,32787.011601794904
0.208,32788.03059767509
0.209,32788.03059767509
0.210,32787.011601794904
0.211,32788.03059767509
0.212,32784.97361003453
0.213,32787.011601794904
0.214,32787.011601794904
0.215,32785.99260591472
0.216,32788.03059767509
0.217,32788.03059767509
0.218,32785.99260591472
0.219,32789.049593555275
0.220,32788.03059767509
0.221,32785.99260591472
0.222,32787.011601794904
0.223,32788.03059767509
0.224,32785.99260591472
0.225,32787.011601794904
0.226,32788.03059767509
0.227,32787.011601794904
0.228,32789.049593555275
0.229,32788.03059767509
0.230,32785.99260591472
0.231,32784.97361003453
0.232,32788.03059767509
0.233,32787.011601794904
0.234,32788.03059767509
0.235,32788.03059767509
0.236,32785.99260591472
0.237,32785.99260591472
0.238,32784.97361003453
0.239,32785.99260591472
0.240,32788.03059767509
0.241,32785.99260591472
0.242,32788.03059767509
0.243,32785.99260591472
0.244,32788.03059767509
0.245,32788.03059767509
0.246,32785.99260591472
0.247,32784.97361003453
0.248,32787.011601794904
0.249,32789.049593555275
0.250,32788.03059767509
0.251,32785.99260591472
0.252,32787.011601794904
0.253,32787.011601794904
0.254,32784.97361003453
0.255,32787.011601794904
0.256,32784.97361003453
0.257,32787.011601794904
0.258,32787.011601794904
0.259,32789.049593555275
0.260,32788.03059767509
0.261,32789.049593555275
0.262,32787.011601794904
0.263,32785.99260591472
0.264,32785.99260591472
0.265,32787.011601794904
0.266,32787.011601794904
0.267,32788.03059767509
0.268,32787.011601794904
0.269,32788.03059767509
0.270,32787.011601794904
0.271,32785.99260591472
0.272,32789.049593555275
0.273,32785.99260591472
0.274,32788.03059767509
0.275,32788.03059767509
0.276,32785.99260591472
0.277,32787.011601794904
0.278,32785.99260591472
0.279,32787.011601794904
0.280,32788.03059767509
0.281,32788.03059767509
0.282,32784.97361003453
0.283,32788.03059767509
0.284,32787.011601794904
0.285,32788.03059767509
0.286,32785.99260591472
0.287,32789.049593555275
0.288,32787.011601794904
0.289,32787.011601794904
0.290,32789.049593555275
0.291,32788.03059767509
0.292,32789.049593555275
0.293,32788.03059767509
0.294,32788.03059767509
0.295,32788.03059767509
0.296,32784.97361003453
0.297,32788.03059767509
0.298,32784.97361003453
0.299,32784.97361003453
0.300,32788.03059767509
0.301,32784.97361003453
0.302,32787.011601794904
0.303,32789.049593555275
0.304,32788.03059767509
0.305,32788.03059767509
0.306,32785.99260591472
0.307,32787.011601794904
0.308,32784.97361003453
0.309,32788.03059767509
0.310,32785.99260591472
0.311,32784.97361003453
0.312,32789.049593555275
0.313,32784.97361003453
0.314,32788.03059767509
0.315,32787.011601794904
0.316,32788.03059767509
0.317,32788.03059767509
0.318,32785.99260591472
0.319,32784.97361003453
0.320,32787.011601794904
0.321,32787.011601794904
0.322,32788.03059767509
0.323,32788.03059767509
0.324,32784.97361003453
0.325,32788.03059767509
0.326,32788.03059767509
0.327,32784.97361003453
0.328,32784.97361003453
0.329,32787.011601794904
0.330,32784.97361003453
0.331,32785.99260591472
0.332,32785.99260591472
0.333,32788.03059767509
0.334,32785.99260591472
0.335,32788.03059767509
0.336,32785.99260591472
0.337,32789.049593555275
0.338,32787.011601794904
0.339,32784.97361003453
0.340,32788.03059767509
0.341,32788.03059767509
0.342,32788.03059767509
0.343,32788.03059767509
0.344,32788.03059767509
0.345,32785.99260591472
0.346,32787.011601794904
0.347,32788.03059767509
0.348,32789.049593555275
0.349,32785.99260591472
0.350,32787.011601794904
0.351,32790.06858943546
0.352,32788.03059767509
0.353,32785.99260591472
0.354,32785.99260591472
0.355,32788.03059767509
0.356,32788.03059767509
0.357,32788.03059767509
0.358,32785.99260591472
0.359,32785.99260591472
0.360,32787.011601794904
0.361,32788.03059767509
0.362,32788.03059767509
0.363,32787.011601794904
0.364,32787.011601794904
0.365,32787.011601794904
0.366,32788.03059767509
0.367,32784.97361003453
0.368,32784.97361003453
0.369,32788.03059767509
0.370,32789.049593555275
0.371,32787.011601794904
0.372,32784.97361003453
0.373,32787.011601794904
0.374,32785.99260591472
0.375,32787.011601794904
0.376,32788.03059767509
0.377,32788.03059767509
0.378,32787.011601794904
0.379,32787.011601794904
0.380,32787.011601794904
0.381,32788.03059767509
0.382,32788.03059767509
0.383,32787.011601794904
0.384,32788.03059767509
0.385,32788.03059767509
0.386,32783.95461415435
0.387,32787.011601794904
0.388,32785.99260591472
0.389,32788.03059767509
0.390,32789.049593555275
0.391,32788.03059767509
0.392,32787.011601794904
0.393,32787.011601794904
0.394,32789.049593555275
0.395,32789.049593555275
0.396,32789.049593555275
0.397,32787.011601794904
0.398,32788.03059767509
0.399,32789.049593555275
0.400,32787.011601794904
0.401,32788.03059767509
0.402,32787.011601794904
0.403,32785.99260591472
0.404,32787.011601794904
0.405,32789.049593555275
0.406,32788.03059767509
0.407,32785.99260591472
0.408,32784.97361003453
0.409,32785.99260591472
0.410,32788.03059767509
0.411,32785.99260591472
0.412,32788.03059767509
0.413,32785.99260591472
0.414,32785.99260591472
0.415,32787.011601794904
0.416,32785.99260591472
0.417,32785.99260591472
0.418,32788.03059767509
0.419,32788.03059767509
0.420,32788.03059767509
0.421,32784.97361003453
0.422,32785.99260591472
0.423,32784.97361003453
0.424,32787.011601794904
0.425,32785.99260591472
0.426,32788.03059767509
0.427,32784.97361003453
0.428,32787.011601794904
0.429,32787.011601794904
0.430,32789.049593555275
0.431,32788.03059767509
0.432,32784.97361003453
0.433,32787.011601794904
0.434,32787.011601794904
0.435,32787.011601794904
0.436,32787.011601794904
0.437,32785.99260591472
0.438,32787.011601794904
0.439,32787.011601794904
0.440,32789.049593555275
0.441,32788.03059767509
0.442,32788.03059767509
0.443,32787.011601794904
0.444,32787.011601794904
0.445,32788.03059767509
0.446,32788.03059767509
0.447,32788.03059767509
0.448,32788.03059767509
0.449,32787.011601794904
0.450,32788.03059767509
0.451,32785.99260591472
0.452,32788.03059767509
0.453,32788.03059767509
0.454,32788.03059767509
0.455,32785.99260591472
0.456,32788.03059767509
0.457,32787.011601794904
0.458,32784.97361003453
0.459,32788.03059767509
0.460,32787.011601794904
0.461,32784.97361003453
0.462,32785.99260591472
0.463,32785.99260591472
0.464,32784.97361003453
0.465,32787.011601794904
0.466,32788.03059767509
0.467,32787.011601794904
0.468,32785.99260591472
0.469,32785.99260591472
0.470,32788.03059767509
0.471,32788.03059767509
0.472,32787.011601794904
0.473,32787.011601794904
0.474,32785.99260591472
0.475,32789.049593555275
0.476,32788.03059767509
0.477,32788.03059767509
0.478,32787.011601794904
0.479,32788.03059767509
0.480,32785.99260591472
0.481,32787.011601794904
0.482,32784.97361003453
0.483,32784.97361003453
0.484,32785.99260591472
0.485,32785.99260591472
0.486,32784.97361003453
0.487,32785.99260591472
0.488,32788.03059767509
0.489,32787.011601794904
0.490,32788.03059767509
0.491,32785.99260591472
0.492,32785.99260591472
0.493,32785.99260591472
0.494,32785.99260591472
0.495,32787.011601794904
0.496,32787.011601794904
0.497,32788.03059767509
0.498,32787.011601794904
0.499,32788.03059767509
0.500,32787.011601794904
0.501,32785.99260591472
0.502,32784.97361003453
0.503,32788.03059767509
0.504,32789.049593555275
0.505,32785.99260591472
0.506,32785.99260591472
0.507,32788.03059767509
0.508,32788.03059767509
0.509,32785.99260591472
0.510,32785.99260591472
0.511,32788.03059767509
0.512,32784.97361003453
0.513,32785.99260591472
0.514,32785.99260591472
0.515,32785.99260591472
0.516,32787.011601794904
0.517,32785.99260591472
0.518,32784.97361003453
0.519,32788.03059767509
0.520,32784.97361003453
0.521,32784.97361003453
0.522,32785.99260591472
0.523,32783.95461415435
0.524,32784.97361003453
0.525,32785.99260591472
0.526,32784.97361003453
0.527,32788.03059767509
0.528,32788.03059767509
0.529,32788.03059767509
0.530,32785.99260591472
0.531,32788.03059767509
0.532,32785.99260591472
0.533,32784.97361003453
0.534,32785.99260591472
0.535,32785.99260591472
0.536,32787.011601794904
0.537,32787.011601794904
0.538,32785.99260591472
0.539,32787.011601794904
0.540,32787.011601794904
0.541,32785.99260591472
0.542,32784.97361003453
0.543,32788.03059767509
0.544,32785.99260591472
0.545,32784.97361003453
0.546,32787.011601794904
0.547,32785.99260591472
0.548,32785.99260591472
0.549,32787.011601794904
0.550,32788.03059767509
0.551,32789.049593555275
0.552,32785.99260591472
0.553,32785.99260591472
0.554,32788.03059767509
0.555,32788.03059767509
0.556,32788.03059767509
0.557,32787.011601794904
0.558,32787.011601794904
0.559,32788.03059767509
0.560,32788.03059767509
0.561,32788.03059767509
0.562,32785.99260591472
0.563,32788.03059767509
0.564,32785.99260591472
0.565,32788.03059767509
0.566,32784.97361003453
0.567,32784.97361003453
0.568,32788.03059767509
0.569,32787.011601794904
0.570,32784.97361003453
0.571,32788.03059767509
0.572,32784.97361003453
0.573,32784.97361003453
0.574,32788.03059767509
0.575,32787.011601794904
0.576,32785.99260591472
0.577,32788.03059767509
0.578,32785.99260591472
0.579,32789.049593555275
0.580,32788.03059767509
0.581,32787.011601794904
0.582,32788.03059767509
0.583,32783.95461415435
0.584,32784.97361003453
0.585,32785.99260591472
0.586,32784.97361003453
0.587,32783.95461415435
0.588,32785.99260591472
0.589,32785.99260591472
0.590,32787.011601794904
0.591,32783.95461415435
0.592,32785.99260591472
0.593,32787.011601794904
0.594,32788.03059767509
0.595,32787.011601794904
0.596,32785.99260591472
0.597,32785.99260591472
0.598,32787.011601794904
0.599,32787.011601794904
0.600,32788.03059767509
0.601,32789.049593555275
0.602,32787.011601794904
0.603,32785.99260591472
0.604,32788.03059767509
0.605,32788.03059767509
0.606,32787.011601794904
0.607,32784.97361003453
0.608,32787.011601794904
0.609,32788.03059767509
0.610,32788.03059767509
0.611,32785.99260591472
0.612,32788.03059767509
0.613,32788.03059767509
0.614,32788.03059767509
0.615,32788.03059767509
0.616,32785.99260591472
0.617,32787.011601794904
0.618,32789.049593555275
0.619,32788.03059767509
0.620,32788.03059767509
0.621,32787.011601794904
0.622,32785.99260591472
0.623,32785.99260591472
0.624,32784.97361003453
0.625,32787.011601794904
