time,channel_0
0.156,32794.144572956204
0.157,32793.12557707602
0.158,32794.144572956204
0.159,32793.12557707602
0.160,32792.10658119583
0.161,32792.10658119583
0.162,32791.08758531565
0.163,32792.10658119583
0.164,32793.12557707602
0.165,32794.144572956204
0.166,32792.10658119583
0.167,32792.10658119583
0.168,32793.12557707602
0.169,32793.12557707602
0.170,32791.08758531565
0.171,32792.10658119583
0.172,32791.08758531565
0.173,32792.10658119583
0.174,32792.10658119583
0.175,32793.12557707602
0.176,32792.10658119583
0.177,32793.12557707602
0.178,32793.12557707602
0.179,32791.08758531565
0.180,32792.10658119583
0.181,32789.049593555275
0.182,32793.12557707602
0.183,32792.10658119583
0.184,32795.16356883638
0.185,32794.144572956204
0.186,32793.12557707602
0.187,32792.10658119583
0.188,32793.12557707602
0.189,32792.10658119583
0.190,32793.12557707602
0.191,32792.10658119583
0.192,32790.06858943546
0.193,32793.12557707602
0.194,32792.10658119583
0.195,32792.10658119583
0.196,32792.10658119583
0.197,32792.10658119583
0.198,32793.12557707602
0.199,32792.10658119583
0.200,32793.12557707602
0.201,32792.10658119583
0.202,32791.08758531565
0.203,32793.12557707602
0.204,32792.10658119583
0.205,32792.10658119583
0.206,32792.10658119583
0.207,32793.12557707602
0.208,32792.10658119583
0.209,32793.12557707602
0.210,32793.12557707602
0.211,32792.10658119583
0.212,32792.10658119583
0.213,32792.10658119583
0.214,32793.12557707602
0.215,32793.12557707602
0.216,32794.144572956204
0.217,32794.144572956204
0.218,32791.08758531565
0.219,32792.10658119583
0.220,32792.10658119583
0.221,32793.12557707602
0.222,32791.08758531565
0.223,32793.12557707602
0.224,32793.12557707602
0.225,32791.08758531565
0.226,32791.08758531565
0.227,32791.08758531565
0.228,32792.10658119583
0.229,32793.12557707602
0.230,32792.10658119583
0.231,32794.144572956204
0.232,32792.10658119583
0.233,32792.10658119583
0.234,32791.08758531565
0.235,32793.12557707602
0.236,32792.10658119583
0.237,32790.06858943546
0.238,32792.10658119583
0.239,32791.08758531565
0.240,32793.12557707602
0.241,32792.10658119583
0.242,32793.12557707602
0.243,32792.10658119583
0.244,32792.10658119583
0.245,32791.08758531565
0.246,32793.12557707602
0.247,32792.10658119583
0.248,32794.144572956204
0.249,32793.12557707602
0.250,32792.10658119583
0.251,32791.08758531565
0.252,32795.16356883638
0.253,32792.10658119583
0.254,32792.10658119583
0.255,32793.12557707602
0.256,32792.10658119583
0.257,32792.10658119583
0.258,32794.144572956204
0.259,32793.12557707602
0.260,32792.10658119583
0.261,32790.06858943546
0.262,32792.10658119583
0.263,32792.10658119583
0.264,32792.10658119583
0.265,32792.10658119583
0.266,32792.10658119583
0.267,32792.10658119583
0.268,32792.10658119583
0.269,32793.12557707602
0.270,32790.06858943546
0.271,32793.12557707602
0.272,32789.049593555275
0.273,32793.12557707602
0.274,32793.12557707602
0.275,32793.12557707602
0.276,32793.12557707602
0.277,32793.12557707602
0.278,32792.10658119583
0.279,32793.12557707602
0.280,32793.12557707602
0.281,32794.144572956204
0.282,32792.10658119583
0.283,32792.10658119583
0.284,32793.12557707602
0.285,32792.10658119583
0.286,32792.10658119583
0.287,32792.10658119583
0.288,32793.12557707602
0.289,32792.10658119583
0.290,32792.10658119583
0.291,32789.049593555275
0.292,32792.10658119583
0.293,32792.10658119583
0.294,32793.12557707602
0.295,32789.049593555275
0.296,32793.12557707602
0.297,32792.10658119583
0.298,32790.06858943546
0.299,32792.10658119583
0.300,32791.08758531565
0.301,32793.12557707602
0.302,32792.10658119583
0.303,32793.12557707602
0.304,32792.10658119583
0.305,32791.08758531565
0.306,32791.08758531565
0.307,32791.08758531565
0.308,32792.10658119583
0.309,32791.08758531565
0.310,32792.10658119583
0.311,32792.10658119583
0.312,32792.10658119583
0.313,32792.10658119583
0.314,32793.12557707602
0.315,32792.10658119583
0.316,32792.10658119583
0.317,32791.08758531565
0.318,32793.12557707602
0.319,32792.10658119583
0.320,32792.10658119583
0.321,32791.08758531565
0.322,32792.10658119583
0.323,32792.10658119583
0.324,32793.12557707602
0.325,32792.10658119583
0.326,32791.08758531565
0.327,32792.10658119583
0.328,32792.10658119583
0.329,32792.10658119583
0.330,32793.12557707602
0.331,32792.10658119583
0.332,32794.144572956204
0.333,32792.10658119583
0.334,32792.10658119583
0.335,32793.12557707602
0.336,32792.10658119583
0.337,32794.144572956204
0.338,32791.08758531565
0.339,32791.08758531565
0.340,32792.10658119583
0.341,32792.10658119583
0.342,32791.08758531565
0.343,32791.08758531565
0.344,32791.08758531565
0.345,32793.12557707602
0.346,32792.10658119583
0.347,32791.08758531565
0.348,32793.12557707602
0.349,32792.10658119583
0.350,32793.12557707602
0.351,32792.10658119583
0.352,32792.10658119583
0.353,32792.10658119583
0.354,32793.12557707602
0.355,32792.10658119583
0.356,32793.12557707602
0.357,32792.10658119583
0.358,32791.08758531565
0.359,32791.08758531565
0.360,32792.10658119583
0.361,32794.144572956204
0.362,32791.08758531565
0.363,32792.10658119583
0.364,32791.08758531565
0.365,32793.12557707602
0.366,32791.08758531565
0.367,32792.10658119583
0.368,32792.10658119583
0.369,32792.10658119583
0.370,32792.10658119583
0.371,32793.12557707602
0.372,32792.10658119583
0.373,32793.12557707602
0.374,32795.16356883638
0.375,32792.10658119583
0.376,32790.06858943546
0.377,32791.08758531565
0.378,32792.10658119583
0.379,32792.10658119583
0.380,32793.12557707602
0.381,32792.10658119583
0.382,32792.10658119583
0.383,32792.10658119583
0.384,32792.10658119583
0.385,32793.12557707602
0.386,32792.10658119583
0.387,32793.12557707602
0.388,32793.12557707602
0.389,32792.10658119583
0.390,32792.10658119583
0.391,32793.12557707602
0.392,32793.12557707602
0.393,32793.12557707602
0.394,32793.12557707602
0.395,32793.12557707602
0.396,32793.12557707602
0.397,32792.10658119583
0.398,32791.08758531565
0.399,32792.10658119583
0.400,32792.10658119583
0.401,32791.08758531565
0.402,32792.10658119583
0.403,32793.12557707602
0.404,32793.12557707602
0.405,32793.12557707602
0.406,32792.10658119583
0.407,32794.144572956204
0.408,32792.10658119583
0.409,32793.12557707602
0.410,32793.12557707602
0.411,32792.10658119583
0.412,32792.10658119583
0.413,32790.06858943546
0.414,32792.10658119583
0.415,32792.10658119583
0.416,32793.12557707602
0.417,32795.16356883638
0.418,32792.10658119583
0.419,32792.10658119583
0.420,32793.12557707602
0.421,32791.08758531565
0.422,32790.06858943546
0.423,32793.12557707602
0.424,32792.10658119583
0.425,32793.12557707602
0.426,32792.10658119583
0.427,32793.12557707602
0.428,32792.10658119583
0.429,32790.06858943546
0.430,32792.10658119583
0.431,32792.10658119583
0.432,32792.10658119583
0.433,32792.10658119583
0.434,32791.08758531565
0.435,32792.10658119583
0.436,32792.10658119583
0.437,32790.06858943546
0.438,32792.10658119583
0.439,32791.08758531565
0.440,32793.12557707602
0.441,32791.08758531565
0.442,32795.16356883638
0.443,32793.12557707602
0.444,32792.10658119583
0.445,32791.08758531565
0.446,32792.10658119583
0.447,32794.144572956204
0.448,32791.08758531565
0.449,32792.10658119583
0.450,32794.144572956204
0.451,32793.12557707602
0.452,32792.10658119583
0.453,32792.10658119583
0.454,32792.10658119583
0.455,32792.10658119583
0.456,32792.10658119583
0.457,32792.10658119583
0.458,32791.08758531565
0.459,32792.10658119583
0.460,32793.12557707602
0.461,32793.12557707602
0.462,32792.10658119583
0.463,32792.10658119583
0.464,32791.08758531565
0.465,32793.12557707602
0.466,32792.10658119583
0.467,32793.12557707602
0.468,32793.12557707602
0.469,32791.08758531565
0.470,32792.10658119583
0.471,32792.10658119583
0.472,32791.08758531565
0.473,32792.10658119583
0.474,32792.10658119583
0.475,32790.06858943546
0.476,32792.10658119583
0.477,32792.10658119583
0.478,32792.10658119583
0.479,32792.10658119583
0.480,32791.08758531565
0.481,32791.08758531565
0.482,32793.12557707602
0.483,32792.10658119583
0.484,32792.10658119583
0.485,32792.10658119583
0.486,32793.12557707602
0.487,32792.10658119583
0.488,32793.12557707602
0.489,32792.10658119583
0.490,32792.10658119583
0.491,32794.144572956204
0.492,32791.08758531565
0.493,32792.10658119583
0.494,32793.12557707602
0.495,32792.10658119583
0.496,32792.10658119583
0.497,32792.10658119583
0.498,32792.10658119583
0.499,32792.10658119583
0.500,32792.10658119583
0.501,32792.10658119583
0.502,32793.12557707602
0.503,32792.10658119583
0.504,32792.10658119583
0.505,32794.144572956204
0.506,32792.10658119583
0.507,32794.144572956204
0.508,32792.10658119583
0.509,32791.08758531565
0.510,32791.08758531565
0.511,32793.12557707602
0.512,32791.08758531565
0.513,32792.10658119583
0.514,32791.08758531565
0.515,32793.12557707602
0.516,32792.10658119583
0.517,32793.12557707602
0.518,32794.144572956204
0.519,32794.144572956204
0.520,32792.10658119583
0.521,32792.10658119583
0.522,32793.12557707602
0.523,32792.10658119583
0.524,32792.10658119583
0.525,32792.10658119583
0.526,32792.10658119583
0.527,32792.10658119583
0.528,32791.08758531565
0.529,32792.10658119583
0.530,32793.12557707602
0.531,32791.08758531565
0.532,32792.10658119583
0.533,32792.10658119583
0.534,32792.10658119583
0.535,32793.12557707602
0.536,32791.08758531565
0.537,32792.10658119583
0.538,32792.10658119583
0.539,32792.10658119583
0.540,32792.10658119583
0.541,32793.12557707602
0.542,32792.10658119583
0.543,32792.10658119583
0.544,32792.10658119583
0.545,32794.144572956204
0.546,32790.06858943546
0.547,32790.06858943546
0.548,32791.08758531565
0.549,32793.12557707602
0.550,32792.10658119583
0.551,32793.12557707602
0.552,32792.10658119583
0.553,32793.12557707602
0.554,32793.12557707602
0.555,32792.10658119583
0.556,32793.12557707602
0.557,32791.08758531565
0.558,32794.144572956204
0.559,32793.12557707602
0.560,32792.10658119583
0.561,32792.10658119583
0.562,32793.12557707602
0.563,32792.10658119583
0.564,32792.10658119583
0.565,32793.12557707602
0.566,32793.12557707602
0.567,32790.06858943546
0.568,32790.06858943546
0.569,32793.12557707602
0.570,32791.08758531565
0.571,32792.10658119583
0.572,32791.08758531565
0.573,32792.10658119583
0.574,32792.10658119583
0.575,32792.10658119583
0.576,32792.10658119583
0.577,32791.08758531565
0.578,32793.12557707602
0.579,32791.08758531565
0.580,32793.12557707602
0.581,32791.08758531565
0.582,32792.10658119583
0.583,32792.10658119583
0.584,32791.08758531565
0.585,32792.10658119583
0.586,32793.12557707602
0.587,32791.08758531565
0.588,32792.10658119583
0.589,32793.12557707602
0.590,32792.10658119583
0.591,32791.08758531565
0.592,32791.08758531565
0.593,32793.12557707602
0.594,32792.10658119583
0.595,32793.12557707602
0.596,32793.12557707602
0.597,32792.10658119583
0.598,32793.12557707602
0.599,32792.10658119583
0.600,32792.10658119583
0.601,32791.08758531565
0.602,32792.10658119583
0.603,32793.12557707602
0.604,32793.12557707602
0.605,32794.144572956204
0.606,32793.12557707602
0.607,32792.10658119583
0.608,32794.144572956204
0.609,32792.10658119583
0.610,32793.12557707602
0.611,32791.08758531565
0.612,32792.10658119583
0.613,32793.12557707602
0.614,32791.08758531565
0.615,32792.10658119583
0.616,32791.08758531565
0.617,32792.10658119583
0.618,32792.10658119583
0.619,32792.10658119583
0.620,32793.12557707602
0.621,32792.10658119583
0.622,32795.16356883638
0.623,32792.10658119583
0.624,32791.08758531565
0.625,32792.10658119583
0.626,32791.08758531565
0.627,32790.06858943546
0.628,32792.10658119583
0.629,32791.08758531565
0.630,32792.10658119583
0.631,32792.10658119583
0.632,32792.10658119583
0.633,32794.144572956204
0.634,32792.10658119583
0.635,32791.08758531565
0.636,32792.10658119583
0.637,32793.12557707602
0.638,32792.10658119583
0.639,32792.10658119583
0.640,32792.10658119583
0.641,32792.10658119583
0.642,32793.12557707602
0.643,32791.08758531565
0.644,32793.12557707602
0.645,32791.08758531565
0.646,32792.10658119583
0.647,32792.10658119583
0.648,32793.12557707602
0.649,32792.10658119583
0.650,32792.10658119583
0.651,32792.10658119583
0.652,32792.10658119583
0.653,32793.12557707602
0.654,32792.10658119583
0.655,32793.12557707602
0.656,32792.10658119583
0.657,32793.12557707602
0.658,32794.144572956204
0.659,32793.12557707602
0.660,32793.12557707602
0.661,32793.12557707602
0.662,32796.18256471657
0.663,32793.12557707602
0.664,32794.144572956204
0.665,32791.08758531565
0.666,32793.12557707602
0.667,32793.12557707602
0.668,32792.10658119583
0.669,32792.10658119583
0.670,32793.12557707602
0.671,32792.10658119583
0.672,32793.12557707602
0.673,32793.12557707602
0.674,32793.12557707602
0.675,32791.08758531565
0.676,32793.12557707602
0.677,32792.10658119583
0.678,32792.10658119583
0.679,32793.12557707602
0.680,32791.08758531565
0.681,32794.144572956204
0.682,32792.10658119583
0.683,32791.08758531565
0.684,32791.08758531565
0.685,32792.10658119583
0.686,32794.144572956204
0.687,32792.10658119583
0.688,32792.10658119583
0.689,32793.12557707602
0.690,32793.12557707602
0.691,32791.08758531565
0.692,32793.12557707602
0.693,32791.08758531565
0.694,32792.10658119583
0.695,32792.10658119583
0.696,32794.144572956204
0.697,32792.10658119583
0.698,32792.10658119583
0.699,32791.08758531565
0.700,32792.10658119583
0.701,32792.10658119583
0.702,32790.06858943546
0.703,32792.10658119583
0.704,32792.10658119583
0.705,32793.12557707602
0.706,32792.10658119583
0.707,32792.10658119583
0.708,32792.10658119583
0.709,32793.12557707602
0.710,32793.12557707602
0.711,32792.10658119583
0.712,32792.10658119583
0.713,32792.10658119583
0.714,32793.12557707602
0.715,32790.06858943546
0.716,32791.08758531565
0.717,32790.06858943546
0.718,32793.12557707602
0.719,32792.10658119583
0.720,32790.06858943546
0.721,32791.08758531565
0.722,32791.08758531565
0.723,32791.08758531565
0.724,32792.10658119583
0.725,32792.10658119583
0.726,32793.12557707602
0.727,32792.10658119583
0.728,32793.12557707602
0.729,32791.08758531565
0.730,32792.10658119583
0.731,32792.10658119583
0.732,32790.06858943546
0.733,32790.06858943546
0.734,32792.10658119583
0.735,32792.10658119583
0.736,32792.10658119583
0.737,32792.10658119583
0.738,32791.08758531565
0.739,32790.06858943546
0.740,32790.06858943546
0.741,32792.10658119583
0.742,32789.049593555275
0.743,32792.10658119583
0.744,32792.10658119583
0.745,32793.12557707602
0.746,32792.10658119583
0.747,32792.10658119583
0.748,32794.144572956204
0.749,32792.10658119583
0.750,32793.12557707602
0.751,32794.144572956204
0.752,32791.08758531565
0.753,32793.12557707602
0.754,32793.12557707602
0.755,32793.12557707602
0.756,32792.10658119583
0.757,32793.12557707602
0.758,32791.08758531565
0.759,32791.08758531565
0.760,32791.08758531565
0.761,32792.10658119583
0.762,32793.12557707602
0.763,32791.08758531565
0.764,32793.12557707602
0.765,32793.12557707602
0.766,32793.12557707602
0.767,32792.10658119583
0.768,32791.08758531565
0.769,32791.08758531565
0.770,32793.12557707602
0.771,32793.12557707602
0.772,32793.12557707602
0.773,32792.10658119583
0.774,32790.06858943546
0.775,32792.10658119583
0.776,32792.10658119583
0.777,32791.08758531565
0.778,32793.12557707602
0.779,32792.10658119583
0.780,32792.10658119583
0.781,32792.10658119583
0.782,32792.10658119583
0.783,32792.10658119583
0.784,32793.12557707602
0.785,32790.06858943546
0.786,32792.10658119583
0.787,32790.06858943546
0.788,32793.12557707602
0.789,32792.10658119583
0.790,32791.08758531565
0.791,32791.08758531565
0.792,32792.10658119583
0.793,32794.144572956204
0.794,32792.10658119583
0.795,32793.12557707602
0.796,32793.12557707602
0.797,32791.08758531565
0.798,32792.10658119583
0.799,32792.10658119583
0.800,32792.10658119583
0.801,32792.10658119583
0.802,32792.10658119583
0.803,32793.12557707602
0.804,32793.12557707602
0.805,32795.16356883638
0.806,32792.10658119583
0.807,32792.10658119583
0.808,32790.06858943546
0.809,32790.06858943546
0.810,32793.12557707602
0.811,32792.10658119583
0.812,32795.16356883638
0.813,32794.144572956204
0.814,32792.10658119583
0.815,32791.08758531565
0.816,32792.10658119583
0.817,32789.049593555275
0.818,32790.06858943546
0.819,32792.10658119583
0.820,32792.10658119583
0.821,32794.144572956204
0.822,32794.144572956204
0.823,32792.10658119583
0.824,32791.08758531565
0.825,32790.06858943546
0.826,32792.10658119583
0.827,32792.10658119583
0.828,32792.10658119583
0.829,32794.144572956204
0.830,32792.10658119583
0.831,32790.06858943546
0.832,32792.10658119583
0.833,32789.049593555275
0.834,32792.10658119583
0.835,32792.10658119583
0.836,32793.12557707602
0.837,32792.10658119583
0.838,32792.10658119583
0.839,32791.08758531565
0.840,32789.049593555275
0.841,32791.08758531565
0.842,32793.12557707602
0.843,32791.08758531565
0.844,32794.144572956204
0.845,32793.12557707602
0.846,32791.08758531565
0.847,32793.12557707602
0.848,32793.12557707602
0.849,32794.144572956204
0.850,32793.12557707602
0.851,32795.16356883638
0.852,32793.12557707602
0.853,32792.10658119583
0.854,32792.10658119583
0.855,32791.08758531565
0.856,32793.12557707602
0.857,32794.144572956204
0.858,32793.12557707602
0.859,32793.12557707602
0.860,32794.144572956204
0.861,32792.10658119583
0.862,32793.12557707602
0.863,32792.10658119583
0.864,32792.10658119583
0.865,32791.08758531565
0.866,32791.08758531565
0.867,32794.144572956204
0.868,32791.08758531565
0.869,32791.08758531565
0.870,32792.10658119583
0.871,32793.12557707602
0.872,32792.10658119583
0.873,32793.12557707602
0.874,32793.12557707602
0.875,32790.06858943546
0.876,32791.08758531565
0.877,32794.144572956204
0.878,32791.08758531565
0.879,32794.144572956204
0.880,32792.10658119583
0.881,32790.06858943546
0.882,32792.10658119583
0.883,32795.16356883638
0.884,32794.144572956204
0.885,32792.10658119583
0.886,32792.10658119583
0.887,32793.12557707602
0.888,32793.12557707602
0.889,32792.10658119583
0.890,32792.10658119583
0.891,32793.12557707602
0.892,32795.16356883638
0.893,32792.10658119583
0.894,32791.08758531565
0.895,32790.06858943546
0.896,32791.08758531565
0.897,32794.144572956204
0.898,32795.16356883638
0.899,32793.12557707602
0.900,32792.10658119583
0.901,32793.12557707602
0.902,32792.10658119583
0.903,32793.12557707602
0.904,32793.12557707602
0.905,32793.12557707602
0.906,32792.10658119583
0.907,32792.10658119583
0.908,32793.12557707602
0.909,32794.144572956204
