time,channel_0
0.000,32825.73344524194
0.001,32824.71444936175
0.002,32823.69545348157
0.003,32827.77143700231
0.004,32823.69545348157
0.005,32823.69545348157
0.006,32825.73344524194
0.007,32829.80942876267
0.008,32825.73344524194
0.009,32824.71444936175
0.010,32823.69545348157
0.011,32822.67645760138
0.012,32822.67645760138
0.013,32823.69545348157
0.014,32826.752441122124
0.015,32825.73344524194
0.016,32825.73344524194
0.017,32822.67645760138
0.018,32823.69545348157
0.019,32825.73344524194
0.020,32824.71444936175
0.021,32827.77143700231
0.022,32826.752441122124
0.023,32824.71444936175
0.024,32824.71444936175
0.025,32826.752441122124
0.026,32829.80942876267
0.027,32826.752441122124
0.028,32827.77143700231
0.029,32829.80942876267
0.030,32826.752441122124
0.031,32823.69545348157
0.032,32825.73344524194
0.033,32823.69545348157
0.034,32827.77143700231
0.035,32828.79043288249
0.036,32825.73344524194
0.037,32825.73344524194
0.038,32827.77143700231
0.039,32826.752441122124
0.040,32827.77143700231
0.041,32825.73344524194
0.042,32825.73344524194
0.043,32824.71444936175
0.044,32825.73344524194
0.045,32824.71444936175
0.046,32824.71444936175
0.047,32824.71444936175
0.048,32828.79043288249
0.049,32828.79043288249
0.050,32826.752441122124
0.051,32826.752441122124
0.052,32825.73344524194
0.053,32826.752441122124
0.054,32826.752441122124
0.055,32824.71444936175
0.056,32825.73344524194
0.057,32825.73344524194
0.058,32825.73344524194
0.059,32823.69545348157
0.060,32823.69545348157
0.061,32828.79043288249
0.062,32829.80942876267
0.063,32824.71444936175
0.064,32825.73344524194
0.065,32824.71444936175
0.066,32825.73344524194
0.067,32824.71444936175
0.068,32823.69545348157
0.069,32823.69545348157
0.070,32826.752441122124
0.071,32823.69545348157
0.072,32826.752441122124
0.073,32827.77143700231
0.074,32826.752441122124
0.075,32826.752441122124
0.076,32826.752441122124
0.077,32825.73344524194
0.078,32826.752441122124
0.079,32826.752441122124
0.080,32824.71444936175
0.081,32826.752441122124
0.082,32825.73344524194
0.083,32823.69545348157
0.084,32822.67645760138
0.085,32823.69545348157
0.086,32824.71444936175
0.087,32827.77143700231
0.088,32826.752441122124
0.089,32828.79043288249
0.090,32830.82842464286
0.091,32828.79043288249
0.092,32828.79043288249
0.093,32826.752441122124
0.094,32825.73344524194
0.095,32823.69545348157
0.096,32823.69545348157
0.097,32825.73344524194
0.098,32824.71444936175
0.099,32823.69545348157
0.100,32825.73344524194
0.101,32827.77143700231
0.102,32825.73344524194
0.103,32823.69545348157
0.104,32824.71444936175
0.105,32827.77143700231
0.106,32828.79043288249
0.107,32830.82842464286
0.108,32825.73344524194
0.109,32825.73344524194
0.110,32825.73344524194
0.111,32825.73344524194
0.112,32826.752441122124
0.113,32826.752441122124
0.114,32826.752441122124
0.115,32825.73344524194
0.116,32826.752441122124
0.117,32823.69545348157
0.118,32822.67645760138
0.119,32826.752441122124
0.120,32824.71444936175
0.121,32825.73344524194
0.122,32824.71444936175
0.123,32826.752441122124
0.124,32826.752441122124
0.125,32825.73344524194
0.126,32826.752441122124
0.127,32823.69545348157
0.128,32825.73344524194
0.129,32827.77143700231
0.130,32828.79043288249
0.131,32827.77143700231
0.132,32826.752441122124
0.133,32827.77143700231
0.134,32826.752441122124
0.135,32827.77143700231
0.136,32826.752441122124
0.137,32826.752441122124
0.138,32827.77143700231
0.139,32826.752441122124
0.140,32824.71444936175
0.141,32826.752441122124
0.142,32826.752441122124
0.143,32828.79043288249
0.144,32827.77143700231
0.145,32824.71444936175
0.146,32824.71444936175
0.147,32825.73344524194
0.148,32825.73344524194
0.149,32825.73344524194
0.150,32826.752441122124
0.151,32828.79043288249
0.152,32825.73344524194
0.153,32827.77143700231
0.154,32827.77143700231
0.155,32826.752441122124
0.156,32823.69545348157
0.157,32824.71444936175
0.158,32825.73344524194
0.159,32826.752441122124
0.160,32825.73344524194
0.161,32825.73344524194
0.162,32825.73344524194
0.163,32823.69545348157
0.164,32826.752441122124
0.165,32826.752441122124
0.166,32825.73344524194
0.167,32824.71444936175
0.168,32823.69545348157
0.169,32825.73344524194
0.170,32826.752441122124
0.171,32826.752441122124
0.172,32825.73344524194
0.173,32820.63846584101
0.174,32821.657461721195
0.175,32824.71444936175
0.176,32824.71444936175
0.177,32824.71444936175
0.178,32827.77143700231
0.179,32823.69545348157
0.180,32821.657461721195
0.181,32822.67645760138
0.182,32822.67645760138
0.183,32826.752441122124
0.184,32825.73344524194
0.185,32824.71444936175
0.186,32824.71444936175
0.187,32824.71444936175
0.188,32821.657461721195
0.189,32824.71444936175
0.190,32825.73344524194
0.191,32823.69545348157
0.192,32822.67645760138
0.193,32825.73344524194
0.194,32824.71444936175
0.195,32823.69545348157
0.196,32825.73344524194
0.197,32826.752441122124
0.198,32825.73344524194
0.199,32823.69545348157
0.200,32823.69545348157
0.201,32825.73344524194
0.202,32827.77143700231
0.203,32827.77143700231
0.204,32826.752441122124
0.205,32823.69545348157
0.206,32826.752441122124
0.207,32826.752441122124
0.208,32829.80942876267
0.209,32828.79043288249
0.210,32828.79043288249
0.211,32826.752441122124
0.212,32826.752441122124
0.213,32824.71444936175
0.214,32826.752441122124
0.215,32826.752441122124
0.216,32827.77143700231
0.217,32825.73344524194
0.218,32825.73344524194
0.219,32824.71444936175
0.220,32823.69545348157
0.221,32823.69545348157
0.222,32824.71444936175
0.223,32824.71444936175
0.224,32826.752441122124
0.225,32826.752441122124
0.226,32826.752441122124
0.227,32825.73344524194
0.228,32822.67645760138
0.229,32823.69545348157
0.230,32824.71444936175
0.231,32825.73344524194
0.232,32824.71444936175
0.233,32824.71444936175
0.234,32827.77143700231
0.235,32828.79043288249
0.236,32828.79043288249
0.237,32830.82842464286
0.238,32827.77143700231
0.239,32825.73344524194
0.240,32824.71444936175
0.241,32823.69545348157
0.242,32823.69545348157
0.243,32824.71444936175
0.244,32822.67645760138
0.245,32825.73344524194
0.246,32827.77143700231
0.247,32827.77143700231
0.248,32825.73344524194
0.249,32821.657461721195
0.250,32823.69545348157
0.251,32823.69545348157
0.252,32824.71444936175
0.253,32824.71444936175
0.254,32822.67645760138
0.255,32822.67645760138
0.256,32823.69545348157
0.257,32824.71444936175
0.258,32824.71444936175
0.259,32824.71444936175
0.260,32824.71444936175
0.261,32823.69545348157
0.262,32825.73344524194
0.263,32823.69545348157
0.264,32824.71444936175
0.265,32826.752441122124
0.266,32824.71444936175
0.267,32822.67645760138
0.268,32824.71444936175
0.269,32823.69545348157
