time,raw_value,voltage_calc,voltage_default
0.000,32787.011601794904,0.0029,32752.3776
0.001,32785.99260591472,0.0027,32751.3392
0.002,32785.99260591472,0.0027,32751.3392
0.003,32787.011601794904,0.0029,32752.3776
0.004,32784.97361003453,0.0026,32750.3009
0.005,32785.99260591472,0.0027,32751.3392
0.006,32784.97361003453,0.0026,32750.3009
0.007,32784.97361003453,0.0026,32750.3009
0.008,32785.99260591472,0.0027,32751.3392
0.009,32785.99260591472,0.0027,32751.3392
0.010,32785.99260591472,0.0027,32751.3392
0.011,32785.99260591472,0.0027,32751.3392
0.012,32785.99260591472,0.0027,32751.3392
0.013,32787.011601794904,0.0029,32752.3776
0.014,32785.99260591472,0.0027,32751.3392
0.015,32787.011601794904,0.0029,32752.3776
0.016,32784.97361003453,0.0026,32750.3009
0.017,32784.97361003453,0.0026,32750.3009
0.018,32787.011601794904,0.0029,32752.3776
0.019,32787.011601794904,0.0029,32752.3776
0.020,32787.011601794904,0.0029,32752.3776
0.021,32784.97361003453,0.0026,32750.3009
0.022,32785.99260591472,0.0027,32751.3392
0.023,32785.99260591472,0.0027,32751.3392
0.024,32785.99260591472,0.0027,32751.3392
0.025,32785.99260591472,0.0027,32751.3392
0.026,32785.99260591472,0.0027,32751.3392
0.027,32787.011601794904,0.0029,32752.3776
0.028,32783.95461415435,0.0024,32749.2625
0.029,32785.99260591472,0.0027,32751.3392
0.030,32787.011601794904,0.0029,32752.3776
0.031,32785.99260591472,0.0027,32751.3392
0.032,32785.99260591472,0.0027,32751.3392
0.033,32787.011601794904,0.0029,32752.3776
0.034,32787.011601794904,0.0029,32752.3776
0.035,32785.99260591472,0.0027,32751.3392
0.036,32787.011601794904,0.0029,32752.3776
0.037,32787.011601794904,0.0029,32752.3776
0.038,32784.97361003453,0.0026,32750.3009
0.039,32785.99260591472,0.0027,32751.3392
0.040,32787.011601794904,0.0029,32752.3776
0.041,32785.99260591472,0.0027,32751.3392
0.042,32785.99260591472,0.0027,32751.3392
0.043,32784.97361003453,0.0026,32750.3009
0.044,32783.95461415435,0.0024,32749.2625
0.045,32787.011601794904,0.0029,32752.3776
0.046,32784.97361003453,0.0026,32750.3009
0.047,32785.99260591472,0.0027,32751.3392
0.048,32785.99260591472,0.0027,32751.3392
0.049,32783.95461415435,0.0024,32749.2625
0.050,32785.99260591472,0.0027,32751.3392
0.051,32787.011601794904,0.0029,32752.3776
0.052,32787.011601794904,0.0029,32752.3776
0.053,32788.03059767509,0.0031,32753.4159
0.054,32785.99260591472,0.0027,32751.3392
0.055,32784.97361003453,0.0026,32750.3009
0.056,32784.97361003453,0.0026,32750.3009
0.057,32787.011601794904,0.0029,32752.3776
0.058,32785.99260591472,0.0027,32751.3392
0.059,32782.93561827417,0.0023,32748.2242
