time,raw_value,voltage_calc,voltage_default
0.133,32820.63846584101,0.0080,32786.6432
0.134,32821.657461721195,0.0082,32787.6816
0.135,32823.69545348157,0.0085,32789.7583
0.136,32822.67645760138,0.0083,32788.7199
0.137,32822.67645760138,0.0083,32788.7199
0.138,32823.69545348157,0.0085,32789.7583
0.139,32822.67645760138,0.0083,32788.7199
0.140,32823.69545348157,0.0085,32789.7583
0.141,32823.69545348157,0.0085,32789.7583
0.142,32823.69545348157,0.0085,32789.7583
0.143,32821.657461721195,0.0082,32787.6816
0.144,32820.63846584101,0.0080,32786.6432
0.145,32824.71444936175,0.0087,32790.7966
0.146,32824.71444936175,0.0087,32790.7966
0.147,32821.657461721195,0.0082,32787.6816
0.148,32821.657461721195,0.0082,32787.6816
0.149,32822.67645760138,0.0083,32788.7199
0.150,32820.63846584101,0.0080,32786.6432
0.151,32820.63846584101,0.0080,32786.6432
0.152,32820.63846584101,0.0080,32786.6432
0.153,32823.69545348157,0.0085,32789.7583
0.154,32820.63846584101,0.0080,32786.6432
0.155,32822.67645760138,0.0083,32788.7199
0.156,32820.63846584101,0.0080,32786.6432
0.157,32822.67645760138,0.0083,32788.7199
0.158,32824.71444936175,0.0087,32790.7966
0.159,32820.63846584101,0.0080,32786.6432
0.160,32822.67645760138,0.0083,32788.7199
0.161,32823.69545348157,0.0085,32789.7583
0.162,32822.67645760138,0.0083,32788.7199
0.163,32822.67645760138,0.0083,32788.7199
0.164,32823.69545348157,0.0085,32789.7583
0.165,32822.67645760138,0.0083,32788.7199
0.166,32822.67645760138,0.0083,32788.7199
0.167,32822.67645760138,0.0083,32788.7199
0.168,32822.67645760138,0.0083,32788.7199
0.169,32821.657461721195,0.0082,32787.6816
0.170,32821.657461721195,0.0082,32787.6816
0.171,32823.69545348157,0.0085,32789.7583
0.172,32824.71444936175,0.0087,32790.7966
0.173,32823.69545348157,0.0085,32789.7583
0.174,32822.67645760138,0.0083,32788.7199
0.175,32824.71444936175,0.0087,32790.7966
0.176,32824.71444936175,0.0087,32790.7966
0.177,32822.67645760138,0.0083,32788.7199
0.178,32821.657461721195,0.0082,32787.6816
0.179,32820.63846584101,0.0080,32786.6432
0.180,32821.657461721195,0.0082,32787.6816
0.181,32820.63846584101,0.0080,32786.6432
0.182,32823.69545348157,0.0085,32789.7583
0.183,32823.69545348157,0.0085,32789.7583
0.184,32821.657461721195,0.0082,32787.6816
0.185,32821.657461721195,0.0082,32787.6816
0.186,32822.67645760138,0.0083,32788.7199
0.187,32823.69545348157,0.0085,32789.7583
0.188,32823.69545348157,0.0085,32789.7583
0.189,32823.69545348157,0.0085,32789.7583
0.190,32822.67645760138,0.0083,32788.7199
0.191,32823.69545348157,0.0085,32789.7583
0.192,32823.69545348157,0.0085,32789.7583
0.193,32822.67645760138,0.0083,32788.7199
0.194,32822.67645760138,0.0083,32788.7199
0.195,32822.67645760138,0.0083,32788.7199
0.196,32823.69545348157,0.0085,32789.7583
0.197,32822.67645760138,0.0083,32788.7199
0.198,32823.69545348157,0.0085,32789.7583
0.199,32823.69545348157,0.0085,32789.7583
0.200,32820.63846584101,0.0080,32786.6432
0.201,32820.63846584101,0.0080,32786.6432
0.202,32823.69545348157,0.0085,32789.7583
0.203,32820.63846584101,0.0080,32786.6432
0.204,32823.69545348157,0.0085,32789.7583
0.205,32821.657461721195,0.0082,32787.6816
0.206,32822.67645760138,0.0083,32788.7199
0.207,32823.69545348157,0.0085,32789.7583
0.208,32822.67645760138,0.0083,32788.7199
0.209,32823.69545348157,0.0085,32789.7583
0.210,32823.69545348157,0.0085,32789.7583
0.211,32823.69545348157,0.0085,32789.7583
0.212,32823.69545348157,0.0085,32789.7583
0.213,32822.67645760138,0.0083,32788.7199
