time,raw_value,voltage_calc,voltage_default
0.000,32818.60047408064,0.0077,32784.5665
0.001,32819.619469960824,0.0079,32785.6048
0.002,32820.63846584101,0.0080,32786.6432
0.003,32820.63846584101,0.0080,32786.6432
0.004,32819.619469960824,0.0079,32785.6048
0.005,32819.619469960824,0.0079,32785.6048
0.006,32820.63846584101,0.0080,32786.6432
0.007,32822.67645760138,0.0083,32788.7199
0.008,32819.619469960824,0.0079,32785.6048
0.009,32816.562482320274,0.0074,32782.4898
0.010,32816.562482320274,0.0074,32782.4898
0.011,32819.619469960824,0.0079,32785.6048
0.012,32820.63846584101,0.0080,32786.6432
0.013,32818.60047408064,0.0077,32784.5665
0.014,32818.60047408064,0.0077,32784.5665
0.015,32818.60047408064,0.0077,32784.5665
0.016,32817.58147820045,0.0076,32783.5281
0.017,32821.657461721195,0.0082,32787.6816
0.018,32820.63846584101,0.0080,32786.6432
0.019,32818.60047408064,0.0077,32784.5665
0.020,32820.63846584101,0.0080,32786.6432
0.021,32818.60047408064,0.0077,32784.5665
0.022,32818.60047408064,0.0077,32784.5665
0.023,32820.63846584101,0.0080,32786.6432
0.024,32819.619469960824,0.0079,32785.6048
0.025,32816.562482320274,0.0074,32782.4898
0.026,32816.562482320274,0.0074,32782.4898
0.027,32818.60047408064,0.0077,32784.5665
0.028,32819.619469960824,0.0079,32785.6048
0.029,32819.619469960824,0.0079,32785.6048
0.030,32819.619469960824,0.0079,32785.6048
0.031,32819.619469960824,0.0079,32785.6048
0.032,32815.54348644009,0.0073,32781.4514
0.033,32820.63846584101,0.0080,32786.6432
0.034,32820.63846584101,0.0080,32786.6432
0.035,32821.657461721195,0.0082,32787.6816
0.036,32821.657461721195,0.0082,32787.6816
0.037,32818.60047408064,0.0077,32784.5665
0.038,32819.619469960824,0.0079,32785.6048
0.039,32819.619469960824,0.0079,32785.6048
0.040,32820.63846584101,0.0080,32786.6432
0.041,32818.60047408064,0.0077,32784.5665
0.042,32821.657461721195,0.0082,32787.6816
0.043,32817.58147820045,0.0076,32783.5281
0.044,32818.60047408064,0.0077,32784.5665
0.045,32818.60047408064,0.0077,32784.5665
0.046,32818.60047408064,0.0077,32784.5665
0.047,32818.60047408064,0.0077,32784.5665
0.048,32819.619469960824,0.0079,32785.6048
0.049,32818.60047408064,0.0077,32784.5665
0.050,32817.58147820045,0.0076,32783.5281
0.051,32820.63846584101,0.0080,32786.6432
0.052,32819.619469960824,0.0079,32785.6048
0.053,32818.60047408064,0.0077,32784.5665
0.054,32818.60047408064,0.0077,32784.5665
0.055,32821.657461721195,0.0082,32787.6816
0.056,32821.657461721195,0.0082,32787.6816
0.057,32818.60047408064,0.0077,32784.5665
0.058,32818.60047408064,0.0077,32784.5665
0.059,32820.63846584101,0.0080,32786.6432
0.060,32820.63846584101,0.0080,32786.6432
0.061,32820.63846584101,0.0080,32786.6432
0.062,32821.657461721195,0.0082,32787.6816
0.063,32819.619469960824,0.0079,32785.6048
0.064,32820.63846584101,0.0080,32786.6432
0.065,32818.60047408064,0.0077,32784.5665
0.066,32819.619469960824,0.0079,32785.6048
0.067,32820.63846584101,0.0080,32786.6432
0.068,32818.60047408064,0.0077,32784.5665
0.069,32820.63846584101,0.0080,32786.6432
0.070,32820.63846584101,0.0080,32786.6432
0.071,32818.60047408064,0.0077,32784.5665
0.072,32819.619469960824,0.0079,32785.6048
0.073,32818.60047408064,0.0077,32784.5665
0.074,32818.60047408064,0.0077,32784.5665
0.075,32818.60047408064,0.0077,32784.5665
0.076,32818.60047408064,0.0077,32784.5665
0.077,32820.63846584101,0.0080,32786.6432
0.078,32819.619469960824,0.0079,32785.6048
0.079,32818.60047408064,0.0077,32784.5665
0.080,32819.619469960824,0.0079,32785.6048
0.081,32820.63846584101,0.0080,32786.6432
0.082,32817.58147820045,0.0076,32783.5281
0.083,32820.63846584101,0.0080,32786.6432
0.084,32821.657461721195,0.0082,32787.6816
0.085,32818.60047408064,0.0077,32784.5665
0.086,32819.619469960824,0.0079,32785.6048
0.087,32818.60047408064,0.0077,32784.5665
0.088,32818.60047408064,0.0077,32784.5665
0.089,32820.63846584101,0.0080,32786.6432
0.090,32820.63846584101,0.0080,32786.6432
0.091,32818.60047408064,0.0077,32784.5665
0.092,32820.63846584101,0.0080,32786.6432
