time,CH0_raw,CH1_raw,CH2_raw,CH3_raw,CH4_raw,CH5_raw
0.044,31404.234192383825,31486.772858678814,31551.988595010655,32572.003471075863,31241.19485155422,31723.17990288174
0.045,31478.620891637333,31554.026586771026,31590.710438457685,32595.44037632012,31274.821715600327,31752.730783407103
0.046,31699.742997637484,31704.83797703841,31702.799985278038,32673.903059094366,31246.289830955146,31685.477055314892
0.047,31650.831195388604,31753.74977928729,31800.6235897758,32779.87863063361,31367.550340697166,31815.908527978576
0.048,31917.80811599708,31931.055062439485,31940.22602536115,32908.27211153692,31383.854274780126,31785.338651573027
0.049,31836.28844558228,31924.941087158375,31958.56795120448,32946.993954983955,31440.918044070488,31858.70635494635
0.05,31719.103919360998,31835.269449702093,31890.295227232084,32903.177132136,31463.335953434558,31911.69414071597
0.051,31743.55982048544,31818.965515619133,31850.554387904867,32850.18934636638,31432.766077029006,31890.295227232084
0.052,31724.198898761922,31791.452626854134,31807.756560937098,32807.3915193986,31399.1392129829,31857.687359066163
0.053,31634.52726130564,31721.14191112137,31742.540824605254,32751.346745988427,31371.626324217905,31839.345433222832
0.054,31614.14734370194,31682.42006767434,31690.572034715817,32694.282976698065,31327.80950136995,31792.47162273432
0.055,31519.380726844734,31604.976380780277,31616.185335462313,32612.76330628327,31278.89769912107,31756.806766927846
0.056,31412.386159425307,31508.1717721627,31530.58968152677,32530.22463998828,31244.251839194778,31740.502832844886
0.057,31494.924825720293,31501.038801001403,31456.202982273262,32434.43902725089,31073.060531323692,31535.684660927694
0.058,31618.22332722268,31584.596463176575,31501.038801001403,32449.72396545366,30941.610062779826,31337.9994601718
0.059,31477.601895757147,31551.988595010655,31525.494702125845,32489.46480478088,30953.838013342047,31356.34138601513
0.06,31320.676530208653,31452.126998752523,31494.924825720293,32489.46480478088,31021.09174143426,31462.316957554372
0.061,31388.94925418105,31477.601895757147,31525.494702125845,32524.110664707172,31061.851576641657,31508.1717721627
0.062,31379.778291259387,31486.772858678814,31553.00759089084,32566.90849167494,31149.48522233757,31609.052364301016
0.063,31715.02793584026,31695.667014116745,31686.496051195078,32667.78908381326,31116.87735417165,31508.1717721627
0.064,31652.869187148972,31739.4838369647,31762.920742208957,32746.251766587506,31194.321041065712,31600.900397259535
0.065,31547.912611489915,31683.439063554524,31756.806766927846,32759.498713029912,31293.163641443658,31734.388857563776
0.066,31466.39294107511,31612.10935194157,31705.856972918595,32737.08080366584,31380.797287139572,31868.8963137482
0.067,31697.705005877113,31755.78777104766,31805.718569176726,32805.35352763824,31409.32917178475,31880.105268430234
0.068,31674.268100632857,31790.433630973952,31859.72535082653,32866.49328044934,31516.323739204177,32000.346782292065
0.069,31784.31965569284,31842.402420863385,31887.238239591527,32889.93018569359,31524.47570624566,31995.25180289114
0.07,31844.440412623757,31886.219243711344,31901.50418191412,32896.0441609747,31487.791854559,31941.245021241335
0.071,31868.8963137482,31910.675144835783,31906.599161315044,32900.12014449544,31451.108002872337,31884.181251950973
