time,CH0_raw
0.001,32781.91662239398
0.002,32779.87863063361
0.003,32778.859634753426
0.004,32779.87863063361
0.005,32778.859634753426
0.006,32778.859634753426
0.007,32779.87863063361
0.008,32781.91662239398
0.009,32778.859634753426
0.01,32781.91662239398
0.011,32780.8976265138
0.012,32780.8976265138
0.013,32779.87863063361
0.014,32779.87863063361
0.015,32779.87863063361
0.016,32778.859634753426
0.017,32780.8976265138
0.018,32778.859634753426
0.019,32782.93561827417
0.02,32781.91662239398
0.021,32779.87863063361
0.022,32779.87863063361
0.023,32778.859634753426
0.024,32778.859634753426
0.025,32780.8976265138
0.026,32778.859634753426
0.027,32779.87863063361
0.028,32780.8976265138
0.029,32778.859634753426
0.03,32777.84063887324
0.031,32781.91662239398
0.032,32781.91662239398
0.033,32778.859634753426
0.034,32779.87863063361
0.035,32779.87863063361
0.036,32779.87863063361
0.037,32778.859634753426
0.038,32778.859634753426
0.039,32783.95461415435
0.04,32781.91662239398
0.041,32779.87863063361
0.042,32779.87863063361
0.043,32780.8976265138
0.044,32780.8976265138
0.045,32777.84063887324
0.046,32778.859634753426
0.047,32779.87863063361
0.048,32779.87863063361
0.049,32781.91662239398
0.05,32779.87863063361
0.051,32779.87863063361
0.052,32777.84063887324
0.053,32778.859634753426
0.054,32780.8976265138
0.055,32778.859634753426
0.056,32779.87863063361
0.057,32779.87863063361
0.058,32777.84063887324
0.059,32779.87863063361
0.06,32777.84063887324
0.061,32778.859634753426
0.062,32782.93561827417
0.063,32780.8976265138
0.064,32781.91662239398
0.065,32779.87863063361
0.066,32778.859634753426
0.067,32778.859634753426
0.068,32779.87863063361
0.069,32780.8976265138
0.07,32779.87863063361
0.071,32777.84063887324
0.072,32776.821642993054
0.073,32779.87863063361
0.074,32780.8976265138
0.075,32779.87863063361
0.076,32779.87863063361
0.077,32779.87863063361
0.078,32777.84063887324
0.079,32780.8976265138
0.08,32780.8976265138
0.081,32781.91662239398
0.082,32779.87863063361
0.083,32780.8976265138
0.084,32778.859634753426
0.085,32779.87863063361
