time,CH0_raw,CH1_raw,CH2_raw
0.059,32595.155804465845,32426.888301141305,32147.462265317525
0.06,32202.531630041914,32102.590931097642,31897.61051795684
0.061,32059.75920297867,32003.670035203824,31942.48185217672
0.062,32082.194870088606,32010.808656556987,32025.08589926331
0.063,32170.91773547791,32092.392900593128,32156.640492771585
0.064,32343.26445100426,32259.640600867213,32363.660512013295
0.065,32532.947818388282,32441.16554384763,32573.739940406354
0.066,32725.690594923668,32624.73009292894,32760.36389863903
0.067,32915.37396230769,32810.33424811116,32952.08687212395
0.068,33223.35448354412,33142.79004255844,33374.28533501098
0.069,33707.7609325087,33635.35491592663,33973.929528676614
0.07,34113.642546588504,33972.90972562617,34237.03871569317
0.071,34257.434776702205,34083.04845507495,34211.543639431875
0.072,34267.63280720672,34105.48412218489,34169.73171436335
0.073,34186.04856317058,34026.95928730011,34034.09790865327
0.074,34021.860272047845,33860.73139007647,33809.741237553884
0.075,33824.01848026021,33679.206447096054,33604.76082441308
0.076,33639.434128128436,33500.740913267,33421.196275331764
0.077,33447.71115464351,33315.13675808478,33230.49310489729
0.078,33143.809845608885,32980.6413575366,32812.37385421206
0.079,32652.264775291143,32485.01707501705,32205.59103919327
0.08,32265.759419169925,32162.759311074296,31961.8581101353
0.081,32115.84837075352,32054.66018772641,31993.472004699306
0.082,32144.40285616617,32067.91762738228,32074.036445684993
0.083,32232.105918505018,32152.561280569782,32213.749463596883
0.084,32400.373421829558,32316.74957169251,32425.86849809085
0.085,32588.01718311268,32491.135893319763,32616.57166852533
0.086,32767.502519992187,32669.601427148817,32800.13621760665
0.087,32973.50273618344,32870.502628087816,33015.31466125196
0.088,33269.24562081445,33189.700982879214,33421.196275331764
0.089,33772.00852468717,33696.543098953734,34028.99889340101
0.09,34150.355456404766,34016.76125679559,34282.9298529635
0.091,34303.325913972534,34127.91978929483,34263.553595004916
0.092,34307.40512617434,34142.19703200115,34207.464427230065
0.093,34228.880291289555,34065.71180321727,34068.77121236863
0.094,34059.59298491456,33899.483905993635,33845.43434431969
0.095,33868.889814480084,33722.03817521503,33654.731173885215
0.096,33681.24605319696,33540.51323223462,33469.127018702995
0.097,33481.36465530842,33344.71104654788,33269.24562081445
0.098,33174.403937122435,33011.23544905016,32836.84912742291
0.099,32677.759851552437,32511.5319543288,32239.244539858177
0.1,32290.234692380764,32191.313796486946,31993.472004699306
0.101,32151.541477519328,32089.333491441772,32024.06609621286
0.102,32166.838523276107,32098.51171889584,32109.729552450808
0.103,32260.660403917667,32183.155372083333,32247.40296426179
0.104,32425.86849809085,32345.30405710516,32462.581407907113
0.105,32615.551865474874,32520.710181782866,32650.225169190235
0.106,32800.13621760665,32699.17571561192,32836.84912742291
0.107,32998.99781244474,32892.93829519775,33036.730525311454
0.108,33305.95853063071,33222.334680493674,33458.92898819848
0.109,33800.56301009982,33725.097584366384,34060.612787965016
0.11,34178.909941817416,34042.25633305688,34305.365520073436
0.111,34332.90020243563,34154.43466860658,34287.0090651653
0.112,34340.0388237888,34174.83072961561,34241.11792789497
0.113,34256.41497365175,34092.22668252902,34094.26628862992
0.114,34090.18707642811,33929.05819445674,33882.147254135954
0.115,33898.46410294319,33750.59266062768,33682.26585624741
0.116,33698.58270505464,33562.948899344556,33492.58248886339
0.117,33506.85973156971,33373.26553196053,33291.68128792439
0.118,33193.780195081024,33034.690919210545,32862.3442036842
0.119,32708.353943065988,32537.027030590092,32259.640600867213
0.12,32306.551541187997,32209.67025139508,32015.907671809244
0.121,32181.11576598243,32117.88797685442,32053.640384675957
0.122,32193.353402587847,32122.98699210668,32136.24443176255
0.123,32283.096071027605,32205.59103919327,32273.917843573538
0.124,32449.323968251243,32362.64070896284,32472.779438411628
0.125,32637.98753258482,32545.185454993705,32673.680639350627
0.126,32826.65109691839,32720.59157967141,32849.08676402833
0.127,33016.33446430242,32911.29475010589,33056.106783270036
0.128,33326.35459163975,33246.80995370451,33485.44386751022
0.129,33808.72143450343,33734.27581182045,34069.79101541908
0.13,34203.38521502826,34064.69200016682,34330.86059633473
0.131,34346.15764209151,34167.69210826245,34296.18729261937
0.132,34347.177445141955,34184.00895706967,34248.25654924814
0.133,34260.49418585356,34096.305894730824,34101.40490998308
0.134,34101.40490998308,33939.25622496125,33886.226466337765
0.135,33902.54331514499,33756.71147893039,33693.48368980238
0.136,33704.701523357355,33569.06771764727,33494.62209496429
0.137,33515.018155973325,33383.46356246505,33303.91892452981
0.138,33201.93861948464,33038.770131412355,32866.423415886005
0.139,32711.413352217343,32545.185454993705,32269.838631371735
0.14,32319.808980843867,32215.789069697792,32013.868065708342
0.141,32189.274190386044,32126.046401258034,32060.779006029123
0.142,32200.492023941013,32131.14541651029,32146.44246226707
0.143,32291.254495431218,32210.690054445527,32267.799025270826
0.144,32453.403180453046,32370.799133366454,32483.997271966604
