time,CH0_raw,CH1_raw,CH2_raw,CH3_raw,CH4_raw,CH5_raw
0.001,32782.93561827417,32774.78365123268,32771.72666359213,32848.15135460601,32017.66971225521,32330.501447472016
0.002,32780.8976265138,32772.74565947231,32768.669675951576,33395.352142265365,31967.738914126145,32457.87593249514
0.003,32782.93561827417,32774.78365123268,32771.72666359213,33613.41726062496,31882.1432601906,32238.791818255362
0.004,32782.93561827417,32773.7646553525,32770.70766771195,33700.03191044069,31984.042848209105,32415.07810552737
0.005,32783.95461415435,32772.74565947231,32771.72666359213,33741.81074152827,31989.13782761003,32421.192080808483
0.006,32780.8976265138,32773.7646553525,32771.72666359213,33761.17166325179,32060.467539222984,32516.977693545872
0.007,32783.95461415435,32772.74565947231,32771.72666359213,33761.17166325179,32012.574732854286,32437.49601489144
0.008,32782.93561827417,32773.7646553525,32771.72666359213,33757.09567973105,32018.688708135396,32440.553002531997
0.009,32782.93561827417,32773.7646553525,32772.74565947231,33773.39961381401,32047.220592780577,32475.19886245829
0.01,32781.91662239398,32773.7646553525,32770.70766771195,33776.45660145456,32113.455324992603,32569.9654793155
0.011,32780.8976265138,32773.7646553525,32770.70766771195,33781.55158085549,32085.942436227608,32526.148656467536
0.012,32781.91662239398,32773.7646553525,32769.68867183176,33777.47559733475,32020.726699895768,32356.99534035682
0.013,32782.93561827417,32774.78365123268,32771.72666359213,33777.47559733475,32073.714485665387,32494.5597841818
0.014,32782.93561827417,32773.7646553525,32771.72666359213,33763.20965501216,32050.27758042113,32476.217858338474
0.015,32782.93561827417,32772.74565947231,32770.70766771195,33781.55158085549,32069.638502144648,32501.6927553431
0.016,32782.93561827417,32771.72666359213,32772.74565947231,33775.43760557438,32008.498749333547,32398.774171444413
0.017,32782.93561827417,32772.74565947231,32773.7646553525,33778.494593214935,32099.189382670014,32540.41459879013
0.018,32781.91662239398,32773.7646553525,32771.72666359213,33775.43760557438,32099.189382670014,32544.49058231087
0.019,32781.91662239398,32772.74565947231,32772.74565947231,33778.494593214935,32149.12018079908,32616.839289804004
0.02,32781.91662239398,32773.7646553525,32769.68867183176,33771.36162205364,32079.828460946497,32506.787734744023
0.021,32782.93561827417,32773.7646553525,32769.68867183176,33771.36162205364,32129.759259075567,32575.06045871642
0.022,32781.91662239398,32771.72666359213,32769.68867183176,33768.304634413085,32135.873234356673,32592.38338867957
0.023,32782.93561827417,32770.70766771195,32772.74565947231,33777.47559733475,32157.27214784056,32618.877281564375
0.024,32782.93561827417,32772.74565947231,32772.74565947231,33777.47559733475,32210.259933610178,32691.225989057515
0.025,32781.91662239398,32772.74565947231,32771.72666359213,33778.494593214935,32227.582863573327,32714.66289430177
0.026,32780.8976265138,32772.74565947231,32772.74565947231,33783.58957261586,32149.12018079908,32586.269413398455
0.027,32782.93561827417,32773.7646553525,32771.72666359213,33783.58957261586,32221.468888292213,32688.169001416958
0.028,32781.91662239398,32772.74565947231,32771.72666359213,33777.47559733475,32266.30470702036,32760.517708910098
0.029,32783.95461415435,32773.7646553525,32771.72666359213,33780.532584975306,32239.810814135548,32717.71988194232
0.03,32782.93561827417,32773.7646553525,32770.70766771195,33780.532584975306,32231.65884709407,32702.43494373955
0.031,32782.93561827417,32772.74565947231,32772.74565947231,33779.51358909512,32259.17173585906,32737.08080366584
0.032,32782.93561827417,32772.74565947231,32770.70766771195,33769.32363029327,32254.07675645814,32734.023816025285
0.033,32782.93561827417,32771.72666359213,32771.72666359213,33775.43760557438,32237.772822375176,32709.567914900843
0.034,32782.93561827417,32774.78365123268,32770.70766771195,33781.55158085549,32139.949217877416,32536.338615269386
0.035,32781.91662239398,32772.74565947231,32770.70766771195,33775.43760557438,32165.424114882037,32597.47836808049
0.036,32782.93561827417,32772.74565947231,32772.74565947231,33779.51358909512,32235.734830614805,32707.52992314047
0.037,32781.91662239398,32774.78365123268,32772.74565947231,33778.494593214935,32212.29792537055,32684.093017896215
0.038,32782.93561827417,32773.7646553525,32770.70766771195,33774.41860969419,32187.842024246107,32648.428162089745
0.039,32782.93561827417,32772.74565947231,32770.70766771195,33780.532584975306,32265.285711140175,32753.3847377488
0.04,32782.93561827417,32774.78365123268,32769.68867183176,33779.51358909512,32226.56386769314,32697.339964338622
0.041,32782.93561827417,32771.72666359213,32771.72666359213,33780.532584975306,32276.49466582221,32763.574696550648
0.042,32784.97361003453,32772.74565947231,32770.70766771195,33775.43760557438,32283.627636983503,32777.84063887324
0.043,32781.91662239398,32772.74565947231,32771.72666359213,33764.22865089234,32316.235505149423,32824.71444936175
0.044,32783.95461415435,32775.80264711287,32772.74565947231,33781.55158085549,32317.25450102961,32816.562482320274
0.045,32781.91662239398,32773.7646553525,32771.72666359213,33778.494593214935,32350.881365075715,32860.37930516823
0.046,32782.93561827417,32775.80264711287,32769.68867183176,33771.36162205364,32332.539439232387,32836.94239992397
0.047,32782.93561827417,32773.7646553525,32767.65068007139,33773.39961381401,32334.57743099275,32833.88541228342
0.048,32781.91662239398,32774.78365123268,32769.68867183176,33778.494593214935,32383.489233241635,32899.10114861526
0.049,32781.91662239398,32774.78365123268,32771.72666359213,33779.51358909512,32272.418682301468,32731.985824264913
0.05,32783.95461415435,32773.7646553525,32773.7646553525,33786.64656025641,32323.368476310716,32805.35352763824
0.051,32781.91662239398,32771.72666359213,32773.7646553525,33779.51358909512,32262.22872349962,32725.871848983807
0.052,32782.93561827417,32771.72666359213,32771.72666359213,33779.51358909512,32187.842024246107,32607.66832688234
0.053,32783.95461415435,32775.80264711287,32770.70766771195,33781.55158085549,32273.437678181654,32744.213774827134
0.054,32784.97361003453,32773.7646553525,32768.669675951576,33779.51358909512,32208.221941849813,32660.65611265196
0.055,32783.95461415435,32772.74565947231,32768.669675951576,33783.58957261586,32297.893579306095,32789.049593555275
0.056,32781.91662239398,32772.74565947231,32772.74565947231,33784.60856849604,32294.83659166554,32788.03059767509
0.057,32783.95461415435,32773.7646553525,32768.669675951576,33783.58957261586,32274.45667406184,32754.403733628984
0.058,32783.95461415435,32772.74565947231,32769.68867183176,33779.51358909512,32253.057760577954,32721.795865463064
0.059,32783.95461415435,32772.74565947231,32770.70766771195,33785.62756437623,32288.72261638443,32766.631684191205
0.06,32783.95461415435,32773.7646553525,32770.70766771195,33781.55158085549,32282.608641103317,32771.72666359213
0.061,32783.95461415435,32774.78365123268,32772.74565947231,33770.34262617346,32178.671061324443,32601.554351601233
0.062,32780.8976265138,32773.7646553525,32771.72666359213,33769.32363029327,32176.63306956407,32611.744310403083
0.063,32780.8976265138,32773.7646553525,32770.70766771195,33780.532584975306,32123.645283794453,32537.35761114957
0.064,32783.95461415435,32772.74565947231,32773.7646553525,33785.62756437623,32158.291143720744,32593.402384559748
0.065,32781.91662239398,32772.74565947231,32770.70766771195,33771.36162205364,32178.671061324443,32632.12422800678
0.066,32783.95461415435,32773.7646553525,32771.72666359213,33784.60856849604,32242.867801776105,32725.871848983807
0.067,32782.93561827417,32773.7646553525,32769.68867183176,33776.45660145456,32277.513661702396,32777.84063887324
0.068,32782.93561827417,32773.7646553525,32770.70766771195,33786.64656025641,32227.582863573327,32697.339964338622
