time,CH0_raw,CH1_raw,CH2_raw
0.001,32789.049593555275,32768.669675951576,32783.95461415435
0.002,32788.03059767509,32772.74565947231,32783.95461415435
0.003,32788.03059767509,32772.74565947231,32783.95461415435
0.004,32789.049593555275,32768.669675951576,32784.97361003453
0.005,32789.049593555275,32770.70766771195,32784.97361003453
0.006,32790.06858943546,32772.74565947231,32782.93561827417
0.007,32789.049593555275,32770.70766771195,32784.97361003453
0.008,32787.011601794904,32771.72666359213,32781.91662239398
0.009,32788.03059767509,32770.70766771195,32784.97361003453
0.01,32788.03059767509,32772.74565947231,32782.93561827417
0.011,32789.049593555275,32772.74565947231,32781.91662239398
0.012,32787.011601794904,32773.7646553525,32781.91662239398
0.013,32790.06858943546,32773.7646553525,32781.91662239398
0.014,32788.03059767509,32772.74565947231,32784.97361003453
0.015,32789.049593555275,32773.7646553525,32784.97361003453
0.016,32790.06858943546,32773.7646553525,32781.91662239398
0.017,32788.03059767509,32771.72666359213,32782.93561827417
0.018,32788.03059767509,32771.72666359213,32783.95461415435
0.019,32787.011601794904,32770.70766771195,32783.95461415435
0.02,32789.049593555275,32771.72666359213,32785.99260591472
0.021,32789.049593555275,32771.72666359213,32781.91662239398
0.022,32791.08758531565,32773.7646553525,32784.97361003453
0.023,32790.06858943546,32773.7646553525,32784.97361003453
0.024,32791.08758531565,32774.78365123268,32785.99260591472
0.025,32789.049593555275,32773.7646553525,32787.011601794904
0.026,32790.06858943546,32773.7646553525,32785.99260591472
0.027,32790.06858943546,32771.72666359213,32780.8976265138
0.028,32788.03059767509,32770.70766771195,32780.8976265138
0.029,32789.049593555275,32769.68867183176,32783.95461415435
0.03,32788.03059767509,32771.72666359213,32785.99260591472
0.031,32788.03059767509,32772.74565947231,32783.95461415435
0.032,32789.049593555275,32772.74565947231,32784.97361003453
0.033,32787.011601794904,32770.70766771195,32784.97361003453
0.034,32789.049593555275,32770.70766771195,32784.97361003453
0.035,32788.03059767509,32770.70766771195,32781.91662239398
0.036,32788.03059767509,32771.72666359213,32780.8976265138
0.037,32785.99260591472,32770.70766771195,32783.95461415435
0.038,32788.03059767509,32771.72666359213,32785.99260591472
0.039,32790.06858943546,32771.72666359213,32783.95461415435
0.04,32789.049593555275,32771.72666359213,32783.95461415435
0.041,32787.011601794904,32769.68867183176,32784.97361003453
0.042,32788.03059767509,32771.72666359213,32785.99260591472
0.043,32789.049593555275,32771.72666359213,32783.95461415435
0.044,32790.06858943546,32770.70766771195,32784.97361003453
0.045,32790.06858943546,32770.70766771195,32787.011601794904
0.046,32791.08758531565,32770.70766771195,32782.93561827417
0.047,32789.049593555275,32770.70766771195,32781.91662239398
0.048,32787.011601794904,32769.68867183176,32783.95461415435
0.049,32785.99260591472,32769.68867183176,32784.97361003453
0.05,32788.03059767509,32769.68867183176,32784.97361003453
0.051,32788.03059767509,32769.68867183176,32783.95461415435
0.052,32788.03059767509,32771.72666359213,32783.95461415435
0.053,32790.06858943546,32771.72666359213,32781.91662239398
0.054,32790.06858943546,32771.72666359213,32784.97361003453
0.055,32788.03059767509,32770.70766771195,32784.97361003453
0.056,32789.049593555275,32769.68867183176,32784.97361003453
0.057,32785.99260591472,32771.72666359213,32785.99260591472
0.058,32788.03059767509,32770.70766771195,32785.99260591472
0.059,32789.049593555275,32768.669675951576,32784.97361003453
0.06,32791.08758531565,32770.70766771195,32783.95461415435
0.061,32789.049593555275,32770.70766771195,32785.99260591472
0.062,32789.049593555275,32771.72666359213,32784.97361003453
0.063,32787.011601794904,32771.72666359213,32787.011601794904
0.064,32785.99260591472,32772.74565947231,32785.99260591472
0.065,32788.03059767509,32772.74565947231,32778.859634753426
0.066,32790.06858943546,32771.72666359213,32782.93561827417
0.067,32788.03059767509,32771.72666359213,32784.97361003453
0.068,32789.049593555275,32771.72666359213,32783.95461415435
0.069,32788.03059767509,32770.70766771195,32783.95461415435
0.07,32789.049593555275,32770.70766771195,32781.91662239398
0.071,32788.03059767509,32772.74565947231,32782.93561827417
0.072,32788.03059767509,32771.72666359213,32785.99260591472
0.073,32788.03059767509,32770.70766771195,32783.95461415435
0.074,32787.011601794904,32769.68867183176,32783.95461415435
0.075,32788.03059767509,32770.70766771195,32783.95461415435
0.076,32789.049593555275,32771.72666359213,32781.91662239398
0.077,32788.03059767509,32768.669675951576,32784.97361003453
0.078,32788.03059767509,32771.72666359213,32787.011601794904
0.079,32788.03059767509,32769.68867183176,32781.91662239398
0.08,32788.03059767509,32769.68867183176,32782.93561827417
0.081,32789.049593555275,32769.68867183176,32787.011601794904
0.082,32789.049593555275,32770.70766771195,32783.95461415435
0.083,32788.03059767509,32772.74565947231,32783.95461415435
0.084,32789.049593555275,32772.74565947231,32782.93561827417
0.085,32790.06858943546,32773.7646553525,32784.97361003453
0.086,32788.03059767509,32770.70766771195,32784.97361003453
0.087,32787.011601794904,32769.68867183176,32782.93561827417
0.088,32787.011601794904,32769.68867183176,32782.93561827417
0.089,32787.011601794904,32771.72666359213,32782.93561827417
0.09,32788.03059767509,32771.72666359213,32783.95461415435
0.091,32789.049593555275,32771.72666359213,32784.97361003453
0.092,32788.03059767509,32774.78365123268,32783.95461415435
0.093,32789.049593555275,32772.74565947231,32783.95461415435
0.094,32788.03059767509,32772.74565947231,32783.95461415435
0.095,32788.03059767509,32770.70766771195,32782.93561827417
0.096,32788.03059767509,32771.72666359213,32784.97361003453
0.097,32790.06858943546,32770.70766771195,32781.91662239398
0.098,32791.08758531565,32772.74565947231,32782.93561827417
0.099,32789.049593555275,32771.72666359213,32782.93561827417
0.1,32789.049593555275,32771.72666359213,32784.97361003453
0.101,32790.06858943546,32770.70766771195,32783.95461415435
0.102,32788.03059767509,32768.669675951576,32783.95461415435
0.103,32790.06858943546,32770.70766771195,32783.95461415435
0.104,32789.049593555275,32770.70766771195,32781.91662239398
0.105,32788.03059767509,32770.70766771195,32783.95461415435
0.106,32789.049593555275,32771.72666359213,32782.93561827417
0.107,32788.03059767509,32772.74565947231,32782.93561827417
0.108,32787.011601794904,32771.72666359213,32784.97361003453
0.109,32789.049593555275,32772.74565947231,32782.93561827417
0.11,32788.03059767509,32774.78365123268,32782.93561827417
0.111,32788.03059767509,32771.72666359213,32782.93561827417
0.112,32788.03059767509,32770.70766771195,32781.91662239398
0.113,32788.03059767509,32769.68867183176,32782.93561827417
0.114,32788.03059767509,32772.74565947231,32785.99260591472
0.115,32789.049593555275,32770.70766771195,32785.99260591472
0.116,32789.049593555275,32769.68867183176,32785.99260591472
0.117,32789.049593555275,32770.70766771195,32783.95461415435
0.118,32789.049593555275,32772.74565947231,32783.95461415435
0.119,32787.011601794904,32773.7646553525,32784.97361003453
0.12,32787.011601794904,32773.7646553525,32783.95461415435
0.121,32788.03059767509,32773.7646553525,32782.93561827417
0.122,32788.03059767509,32772.74565947231,32783.95461415435
0.123,32789.049593555275,32770.70766771195,32784.97361003453
0.124,32792.10658119583,32770.70766771195,32785.99260591472
0.125,32789.049593555275,32771.72666359213,32785.99260591472
0.126,32787.011601794904,32769.68867183176,32787.011601794904
0.127,32787.011601794904,32772.74565947231,32785.99260591472
0.128,32788.03059767509,32770.70766771195,32783.95461415435
0.129,32790.06858943546,32770.70766771195,32783.95461415435
0.13,32788.03059767509,32769.68867183176,32783.95461415435
0.131,32789.049593555275,32773.7646553525,32784.97361003453
0.132,32788.03059767509,32774.78365123268,32782.93561827417
0.133,32788.03059767509,32770.70766771195,32781.91662239398
0.134,32788.03059767509,32771.72666359213,32782.93561827417
0.135,32787.011601794904,32770.70766771195,32785.99260591472
0.136,32787.011601794904,32771.72666359213,32782.93561827417
0.137,32788.03059767509,32768.669675951576,32784.97361003453
0.138,32789.049593555275,32772.74565947231,32783.95461415435
0.139,32788.03059767509,32769.68867183176,32782.93561827417
