time,CH0_raw,CH1_raw,CH2_raw,CH3_raw,CH4_raw,CH5_raw
0.001,32778.859634753426,32770.70766771195,32771.72666359213,32883.816210412486,32202.1079665687,32588.307405158826
0.002,32779.87863063361,32770.70766771195,32771.72666359213,33412.675072228514,32025.821679296692,32529.205644108093
0.003,32775.80264711287,32770.70766771195,32773.7646553525,33612.39826474478,32034.992642218356,32507.80673062421
0.004,32777.84063887324,32771.72666359213,32770.70766771195,33695.955926919945,32032.95465045799,32476.217858338474
0.005,32778.859634753426,32771.72666359213,32771.72666359213,33732.63977860661,32141.987209637788,32618.877281564375
0.006,32778.859634753426,32771.72666359213,32770.70766771195,33748.94371268957,32095.11339914927,32542.4525905505
0.007,32776.821642993054,32771.72666359213,32771.72666359213,33758.114675611236,32133.835242596302,32589.326401039012
0.008,32777.84063887324,32770.70766771195,32770.70766771195,33764.22865089234,32087.98042798798,32515.958697665686
0.009,32776.821642993054,32770.70766771195,32770.70766771195,33760.15266737161,32118.55030439353,32567.927487555127
0.01,32776.821642993054,32770.70766771195,32770.70766771195,33748.94371268957,32155.234156080187,32621.934269204932
0.011,32779.87863063361,32768.669675951576,32768.669675951576,33764.22865089234,32176.63306956407,32648.428162089745
0.012,32779.87863063361,32770.70766771195,32772.74565947231,33760.15266737161,32149.12018079908,32603.592343361604
0.013,32779.87863063361,32771.72666359213,32771.72666359213,33763.20965501216,32138.93022199723,32583.212425757898
0.014,32777.84063887324,32771.72666359213,32771.72666359213,33767.2856385329,32208.221941849813,32686.131009656587
0.015,32778.859634753426,32771.72666359213,32770.70766771195,33767.2856385329,32152.177168439637,32598.497363960676
0.016,32779.87863063361,32769.68867183176,32772.74565947231,33775.43760557438,32206.183950089442,32673.903059094366
0.017,32775.80264711287,32771.72666359213,32770.70766771195,33780.532584975306,32179.69005720463,32633.143223886967
0.018,32778.859634753426,32772.74565947231,32772.74565947231,33777.47559733475,32234.71583473462,32709.567914900843
