time,CH0_raw,CH1_raw,CH2_raw
0.037,32788.03059767509,32766.631684191205,32781.91662239398
0.038,32789.049593555275,32767.65068007139,32780.8976265138
0.039,32789.049593555275,32769.68867183176,32779.87863063361
0.04,32789.049593555275,32768.669675951576,32781.91662239398
0.041,32788.03059767509,32766.631684191205,32783.95461415435
0.042,32788.03059767509,32768.669675951576,32783.95461415435
0.043,32790.06858943546,32766.631684191205,32783.95461415435
0.044,32790.06858943546,32767.65068007139,32781.91662239398
0.045,32789.049593555275,32767.65068007139,32785.99260591472
0.046,32789.049593555275,32767.65068007139,32784.97361003453
0.047,32789.049593555275,32766.631684191205,32782.93561827417
0.048,32787.011601794904,32768.669675951576,32781.91662239398
0.049,32787.011601794904,32769.68867183176,32783.95461415435
0.05,32788.03059767509,32768.669675951576,32784.97361003453
0.051,32788.03059767509,32768.669675951576,32780.8976265138
0.052,32788.03059767509,32766.631684191205,32784.97361003453
0.053,32787.011601794904,32767.65068007139,32781.91662239398
0.054,32791.08758531565,32769.68867183176,32780.8976265138
0.055,32790.06858943546,32767.65068007139,32779.87863063361
0.056,32788.03059767509,32768.669675951576,32781.91662239398
0.057,32787.011601794904,32766.631684191205,32783.95461415435
0.058,32788.03059767509,32767.65068007139,32783.95461415435
0.059,32788.03059767509,32768.669675951576,32782.93561827417
0.06,32790.06858943546,32768.669675951576,32782.93561827417
0.061,32788.03059767509,32769.68867183176,32783.95461415435
0.062,32788.03059767509,32769.68867183176,32787.011601794904
0.063,32789.049593555275,32768.669675951576,32784.97361003453
0.064,32789.049593555275,32768.669675951576,32782.93561827417
0.065,32789.049593555275,32768.669675951576,32783.95461415435
0.066,32791.08758531565,32769.68867183176,32783.95461415435
0.067,32789.049593555275,32769.68867183176,32784.97361003453
0.068,32789.049593555275,32767.65068007139,32781.91662239398
0.069,32789.049593555275,32768.669675951576,32782.93561827417
0.07,32788.03059767509,32768.669675951576,32780.8976265138
0.071,32788.03059767509,32767.65068007139,32781.91662239398
0.072,32789.049593555275,32765.61268831102,32781.91662239398
0.073,32788.03059767509,32765.61268831102,32782.93561827417
0.074,32787.011601794904,32769.68867183176,32783.95461415435
0.075,32789.049593555275,32768.669675951576,32782.93561827417
0.076,32789.049593555275,32769.68867183176,32781.91662239398
