time,CH0_raw,CH1_raw,CH2_raw
0.001,31064.908564282214,30676.67113393172,30379.124336917692
0.002,30805.06461483503,30696.032055655232,30613.493389360247
0.003,30793.855660152996,30700.108039175975,30699.08904329579
0.004,30815.25457363688,30712.335989738192,30734.753899102263
0.005,30920.211149295938,30823.406540678363,30880.470309968725
0.006,31005.80680323148,30894.736252291314,30946.70504218075
0.007,31043.50965079833,30915.116169895013,30955.876005102415
0.008,31042.490654918143,30916.1351657752,30949.762029821304
0.009,31023.129733194626,30891.67926465076,30911.040186374274
0.01,30998.673832070188,30870.28035116687,30888.622277010203
0.011,30963.00897626371,30836.653487120766,30852.957421203726
0.012,30922.24914105631,30796.91264779355,30813.216581876513
0.013,30874.356334687614,30749.019841424855,30758.19080434652
0.014,30814.235577756695,30688.89908449394,30697.051051535418
0.015,30720.487956779674,30584.961504715066,30582.923512954694
0.016,30660.36719984876,30536.049702466185,30536.049702466185
0.017,30660.36719984876,30547.25865714822,30574.771545913216
0.018,30673.614146291162,30561.52459947081,30594.13246763673
0.019,30718.449965019303,30609.417405839507,30653.234228687463
0.02,30771.437750788926,30658.329208088388,30707.241010337268
0.021,30826.463528318916,30715.39297737875,30771.437750788926
0.022,30884.546293489464,30767.361767268187,30823.406540678363
0.023,30946.70504218075,30824.42553655855,30869.26135528669
0.024,30970.141947425007,30854.995412964097,30893.717256411128
0.025,31068.984547802953,30968.103955664636,31035.357683756847
0.026,31142.352251176275,31023.129733194626,31077.136514844435
0.027,31152.542209978124,31029.243708475737,31074.079527203878
0.028,31159.67518113942,31031.281700236108,31071.022539563324
0.029,31138.276267655536,31007.84479499185,31037.39567551722
0.03,31108.72538713017,30979.31291034667,31007.84479499185
0.031,31080.193502484988,30949.762029821304,30972.179939185375
0.032,31032.300696116294,30902.888219332795,30918.17315753557
0.033,30981.350902107042,30851.938425323544,30859.071396484836
0.034,30912.05918225446,30784.684697231332,30795.893651913368
0.035,30834.6154953604,30693.994063894865,30685.842096853383
0.036,30762.266787867262,30642.025274005427,30642.025274005427
0.037,30752.07682906541,30645.08226164598,30675.652138051533
0.038,30782.64670547096,30665.462179249684,30701.127035056157
0.039,30805.06461483503,30693.994063894865,30743.92486202393
0.04,30858.052400604654,30739.84887850319,30788.76068075207
0.041,30910.021190494088,30795.893651913368,30846.84344592262
0.042,30959.951988623154,30849.900433563173,30915.116169895013
0.043,31001.73081971074,30883.52729760928,30935.496087498715
0.044,31022.11073731444,30904.926211093163,30942.629058660008
0.045,31134.200284134793,31031.281700236108,31095.478440687762
0.046,31211.643971028858,31092.42145304721,31144.390242936646
0.047,31238.137863913667,31107.706391249983,31148.466226457385
0.048,31231.00489275237,31105.668399489612,31138.276267655536
0.049,31199.416020466637,31071.022539563324,31098.53542832832
0.05,31176.998111102566,31045.547642558697,31072.041535443506
0.051,31140.314259415904,31009.882786752223,31038.4146713974
0.052,31096.497436567948,30965.046968024082,30982.369897987224
0.053,31041.471659037958,30911.040186374274,30919.192153415755
0.054,30975.23692682593,30847.8624418028,30856.014408844283
0.055,30880.470309968725,30742.905866143745,30740.867874383373
0.056,30796.91264779355,30675.652138051533,30681.766113332644
0.057,30788.76068075207,30677.690129811905,30702.146030936343
0.058,30806.083610715217,30687.880088613754,30719.46896089949
0.059,30850.91942944336,30736.791890862634,30787.741684871886
0.06,30903.907215212977,30786.7226889917,30838.691478881137
0.061,30958.93299274297,30837.67248300095,30892.698260530942
0.062,31008.863790872037,30891.67926465076,30950.78102570149
0.063,31055.737601360546,30935.496087498715,30981.350902107042
0.064,31082.23149424536,30967.08495978445,31007.84479499185
0.065,31181.074094623305,31075.098523084063,31138.276267655536
0.066,31252.403806236256,31133.18128825461,31186.16907402423
0.067,31267.688744439034,31144.390242936646,31190.24505754497
0.068,31269.7267361994,31145.40923881683,31178.017106982752
0.069,31242.213847434406,31109.744383010355,31135.21928001498
0.07,31211.643971028858,31085.288481885913,31110.76337889054
0.071,31178.017106982752,31050.64262195962,31068.984547802953
0.072,31144.390242936646,31012.939774392777,31028.22471259555
0.073,31074.079527203878,30949.762029821304,30959.951988623154
0.074,31018.0347537937,30888.622277010203,30901.86922345261
0.075,30923.268136936495,30787.741684871886,30786.7226889917
0.076,30857.03340472447,30730.677915581524,30733.73490322208
0.077,30843.786458282062,30731.69691146171,30762.266787867262
