time,CH0_raw
0.001,32765.61268831102
0.002,32766.631684191205
0.003,32765.61268831102
0.004,32767.65068007139
0.005,32766.631684191205
0.006,32767.65068007139
0.007,32766.631684191205
0.008,32767.65068007139
0.009,32766.631684191205
0.01,32768.669675951576
0.011,32767.65068007139
0.012,32769.68867183176
0.013,32768.669675951576
0.014,32767.65068007139
0.015,32766.631684191205
0.016,32768.669675951576
0.017,32766.631684191205
0.018,32765.61268831102
0.019,32769.68867183176
0.02,32767.65068007139
0.021,32766.631684191205
0.022,32766.631684191205
0.023,32766.631684191205
0.024,32765.61268831102
0.025,32765.61268831102
0.026,32767.65068007139
0.027,32768.669675951576
0.028,32768.669675951576
0.029,32766.631684191205
0.03,32768.669675951576
0.031,32766.631684191205
0.032,32767.65068007139
0.033,32767.65068007139
0.034,32768.669675951576
0.035,32767.65068007139
0.036,32765.61268831102
0.037,32766.631684191205
0.038,32766.631684191205
0.039,32767.65068007139
0.04,32768.669675951576
0.041,32767.65068007139
0.042,32769.68867183176
0.043,32769.68867183176
0.044,32766.631684191205
0.045,32765.61268831102
0.046,32768.669675951576
0.047,32765.61268831102
0.048,32766.631684191205
0.049,32768.669675951576
0.05,32767.65068007139
0.051,32770.70766771195
0.052,32767.65068007139
0.053,32765.61268831102
0.054,32765.61268831102
0.055,32765.61268831102
0.056,32766.631684191205
0.057,32766.631684191205
0.058,32767.65068007139
0.059,32768.669675951576
0.06,32768.669675951576
0.061,32767.65068007139
0.062,32765.61268831102
0.063,32767.65068007139
0.064,32765.61268831102
0.065,32766.631684191205
0.066,32768.669675951576
0.067,32765.61268831102
0.068,32767.65068007139
0.069,32767.65068007139
0.07,32766.631684191205
0.071,32766.631684191205
0.072,32766.631684191205
0.073,32765.61268831102
0.074,32765.61268831102
0.075,32766.631684191205
0.076,32769.68867183176
0.077,32768.669675951576
0.078,32766.631684191205
0.079,32766.631684191205
0.08,32767.65068007139
0.081,32765.61268831102
0.082,32767.65068007139
0.083,32768.669675951576
0.084,32767.65068007139
0.085,32764.593692430833
0.086,32764.593692430833
0.087,32767.65068007139
0.088,32766.631684191205
0.089,32767.65068007139
0.09,32766.631684191205
0.091,32767.65068007139
0.092,32765.61268831102
0.093,32767.65068007139
0.094,32769.68867183176
0.095,32767.65068007139
0.096,32767.65068007139
0.097,32768.669675951576
0.098,32768.669675951576
0.099,32770.70766771195
0.1,32769.68867183176
0.101,32766.631684191205
0.102,32765.61268831102
0.103,32766.631684191205
0.104,32768.669675951576
0.105,32768.669675951576
0.106,32768.669675951576
0.107,32768.669675951576
0.108,32765.61268831102
0.109,32764.593692430833
0.11,32764.593692430833
0.111,32766.631684191205
0.112,32766.631684191205
0.113,32767.65068007139
0.114,32768.669675951576
0.115,32769.68867183176
0.116,32769.68867183176
0.117,32768.669675951576
0.118,32769.68867183176
0.119,32767.65068007139
0.12,32767.65068007139
0.121,32769.68867183176
0.122,32765.61268831102
0.123,32766.631684191205
0.124,32768.669675951576
0.125,32768.669675951576
0.126,32767.65068007139
0.127,32765.61268831102
0.128,32766.631684191205
0.129,32766.631684191205
0.13,32766.631684191205
0.131,32763.574696550648
0.132,32766.631684191205
0.133,32764.593692430833
0.134,32765.61268831102
0.135,32766.631684191205
0.136,32768.669675951576
0.137,32768.669675951576
0.138,32768.669675951576
0.139,32768.669675951576
0.14,32768.669675951576
0.141,32769.68867183176
0.142,32765.61268831102
0.143,32765.61268831102
0.144,32766.631684191205
0.145,32767.65068007139
0.146,32766.631684191205
0.147,32768.669675951576
0.148,32767.65068007139
0.149,32765.61268831102
0.15,32764.593692430833
