time,CH0_raw
0.098,32778.859634753426
0.099,32776.821642993054
0.1,32777.84063887324
0.101,32781.91662239398
0.102,32782.93561827417
0.103,32780.8976265138
0.104,32778.859634753426
0.105,32780.8976265138
0.106,32779.87863063361
0.107,32777.84063887324
0.108,32777.84063887324
0.109,32780.8976265138
0.11,32779.87863063361
0.111,32780.8976265138
0.112,32780.8976265138
0.113,32780.8976265138
0.114,32779.87863063361
0.115,32776.821642993054
0.116,32780.8976265138
0.117,32778.859634753426
0.118,32780.8976265138
0.119,32780.8976265138
0.12,32780.8976265138
0.121,32781.91662239398
0.122,32781.91662239398
0.123,32778.859634753426
0.124,32781.91662239398
0.125,32780.8976265138
0.126,32781.91662239398
0.127,32779.87863063361
0.128,32779.87863063361
0.129,32779.87863063361
0.13,32776.821642993054
0.131,32776.821642993054
0.132,32780.8976265138
0.133,32781.91662239398
0.134,32779.87863063361
0.135,32778.859634753426
0.136,32779.87863063361
0.137,32781.91662239398
0.138,32776.821642993054
0.139,32780.8976265138
0.14,32781.91662239398
0.141,32776.821642993054
0.142,32777.84063887324
0.143,32779.87863063361
0.144,32778.859634753426
0.145,32778.859634753426
0.146,32782.93561827417
0.147,32779.87863063361
0.148,32779.87863063361
0.149,32778.859634753426
0.15,32780.8976265138
0.151,32777.84063887324
0.152,32779.87863063361
0.153,32780.8976265138
0.154,32779.87863063361
0.155,32775.80264711287
0.156,32778.859634753426
0.157,32780.8976265138
0.158,32778.859634753426
0.159,32778.859634753426
0.16,32778.859634753426
0.161,32781.91662239398
0.162,32781.91662239398
0.163,32780.8976265138
0.164,32781.91662239398
0.165,32780.8976265138
0.166,32779.87863063361
0.167,32779.87863063361
0.168,32780.8976265138
0.169,32780.8976265138
0.17,32781.91662239398
0.171,32782.93561827417
0.172,32781.91662239398
0.173,32779.87863063361
0.174,32778.859634753426
0.175,32779.87863063361
0.176,32782.93561827417
0.177,32778.859634753426
0.178,32779.87863063361
0.179,32780.8976265138
0.18,32780.8976265138
0.181,32781.91662239398
0.182,32778.859634753426
0.183,32779.87863063361
0.184,32778.859634753426
0.185,32782.93561827417
0.186,32782.93561827417
0.187,32779.87863063361
0.188,32783.95461415435
0.189,32779.87863063361
0.19,32779.87863063361
0.191,32781.91662239398
0.192,32778.859634753426
0.193,32781.91662239398
0.194,32780.8976265138
0.195,32779.87863063361
0.196,32778.859634753426
0.197,32780.8976265138
0.198,32780.8976265138
0.199,32780.8976265138
0.2,32780.8976265138
0.201,32779.87863063361
0.202,32778.859634753426
0.203,32781.91662239398
0.204,32778.859634753426
0.205,32779.87863063361
0.206,32776.821642993054
0.207,32781.91662239398
0.208,32781.91662239398
0.209,32782.93561827417
0.21,32778.859634753426
0.211,32781.91662239398
0.212,32779.87863063361
0.213,32782.93561827417
0.214,32779.87863063361
0.215,32779.87863063361
0.216,32780.8976265138
0.217,32778.859634753426
0.218,32779.87863063361
0.219,32778.859634753426
0.22,32780.8976265138
0.221,32777.84063887324
0.222,32779.87863063361
0.223,32779.87863063361
0.224,32780.8976265138
0.225,32782.93561827417
0.226,32777.84063887324
0.227,32779.87863063361
