Messart,Versuchsnummer,Dauer,Sampling-Frequenz,Trigger-Art,Auto-Zero vor Messung,Movement Time Links(s),Movement Time Rechts(s)
Athlet_1,1,5.0,1000,Visueller Reiz,Ja,0.718,0.697
Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,0.14,-0.19,-0.06,-0.20,-0.19,0.02,-0.08,-0.37,-0.72,0.03,0.18,0.06
0.0020,0.09,-0.10,-0.02,-0.09,-0.09,0.04,-0.05,-0.18,-0.45,0.01,0.11,0.04
0.0030,0.04,-0.03,0.02,0.00,0.01,0.06,-0.03,-0.01,-0.22,-0.01,0.04,0.03
0.0040,-0.00,0.02,0.07,0.07,0.08,0.08,-0.01,0.09,-0.04,-0.01,-0.00,0.02
0.0050,-0.04,0.05,0.12,0.11,0.12,0.09,0.00,0.13,0.09,-0.01,-0.03,0.01
0.0060,-0.07,0.05,0.15,0.12,0.13,0.08,0.01,0.12,0.16,-0.01,-0.04,-0.01
0.0070,-0.08,0.04,0.15,0.10,0.12,0.06,0.01,0.05,0.19,-0.00,-0.04,-0.02
0.0080,-0.07,0.02,0.12,0.06,0.08,0.02,0.00,-0.04,0.21,-0.00,-0.03,-0.03
0.0090,-0.04,0.00,0.07,0.01,0.04,-0.03,-0.01,-0.13,0.23,-0.01,-0.01,-0.05
0.0100,0.02,-0.01,0.02,-0.03,-0.01,-0.08,-0.03,-0.20,0.27,-0.02,0.00,-0.06
0.0110,0.08,-0.01,-0.01,-0.07,-0.04,-0.12,-0.05,-0.23,0.31,-0.03,0.02,-0.07
0.0120,0.15,-0.00,-0.02,-0.10,-0.07,-0.15,-0.07,-0.23,0.36,-0.05,0.02,-0.07
0.0130,0.21,0.02,-0.02,-0.11,-0.10,-0.16,-0.09,-0.20,0.41,-0.05,0.02,-0.07
0.0140,0.26,0.06,0.00,-0.12,-0.11,-0.15,-0.11,-0.16,0.45,-0.05,0.01,-0.06
0.0150,0.29,0.11,0.03,-0.12,-0.11,-0.14,-0.12,-0.12,0.49,-0.04,-0.01,-0.05
0.0160,0.31,0.16,0.06,-0.12,-0.11,-0.12,-0.11,-0.09,0.51,-0.03,-0.03,-0.03
0.0170,0.31,0.21,0.11,-0.11,-0.09,-0.09,-0.10,-0.08,0.52,-0.01,-0.05,-0.02
0.0180,0.30,0.26,0.15,-0.10,-0.08,-0.07,-0.08,-0.10,0.51,-0.00,-0.08,-0.01
0.0190,0.28,0.30,0.20,-0.08,-0.05,-0.04,-0.05,-0.13,0.48,0.01,-0.09,0.00
0.0200,0.24,0.32,0.24,-0.07,-0.03,-0.02,-0.03,-0.18,0.43,0.02,-0.10,0.01
0.0210,0.21,0.34,0.28,-0.05,0.00,0.00,-0.01,-0.22,0.37,0.02,-0.09,0.00
0.0220,0.18,0.35,0.30,-0.03,0.03,0.03,0.01,-0.25,0.30,0.02,-0.06,-0.00
0.0230,0.17,0.35,0.30,-0.00,0.05,0.05,0.01,-0.27,0.24,0.02,-0.02,-0.01
0.0240,0.18,0.33,0.27,0.02,0.07,0.06,0.01,-0.26,0.20,0.02,0.02,-0.02
0.0250,0.21,0.29,0.21,0.05,0.08,0.07,0.01,-0.24,0.18,0.02,0.06,-0.03
0.0260,0.25,0.23,0.11,0.06,0.08,0.06,0.01,-0.20,0.19,0.02,0.09,-0.03
0.0270,0.30,0.16,0.00,0.08,0.07,0.04,-0.00,-0.17,0.22,0.02,0.10,-0.03
0.0280,0.36,0.09,-0.11,0.08,0.04,0.02,-0.01,-0.13,0.26,0.02,0.09,-0.03
0.0290,0.40,0.02,-0.21,0.08,0.02,-0.00,-0.02,-0.11,0.31,0.01,0.07,-0.03
0.0300,0.43,-0.03,-0.28,0.08,-0.00,-0.02,-0.03,-0.11,0.36,0.01,0.05,-0.03
0.0310,0.43,-0.04,-0.29,0.07,-0.02,-0.03,-0.04,-0.13,0.39,0.02,0.01,-0.02
0.0320,0.42,-0.03,-0.26,0.07,-0.02,-0.02,-0.06,-0.16,0.40,0.02,-0.02,-0.01
0.0330,0.38,0.02,-0.18,0.08,-0.00,-0.00,-0.07,-0.20,0.40,0.02,-0.04,-0.01
0.0340,0.34,0.08,-0.08,0.08,0.02,0.02,-0.09,-0.24,0.39,0.02,-0.05,-0.00
0.0350,0.28,0.16,0.01,0.08,0.06,0.03,-0.10,-0.26,0.37,0.01,-0.06,0.00
0.0360,0.23,0.24,0.08,0.08,0.09,0.04,-0.12,-0.26,0.35,0.01,-0.05,0.00
0.0370,0.18,0.31,0.13,0.07,0.11,0.04,-0.13,-0.23,0.33,0.01,-0.04,0.00
0.0380,0.14,0.36,0.17,0.06,0.13,0.03,-0.14,-0.17,0.30,0.01,-0.02,-0.00
0.0390,0.10,0.39,0.21,0.06,0.15,0.02,-0.14,-0.11,0.28,0.01,-0.00,-0.01
0.0400,0.08,0.40,0.27,0.06,0.17,0.02,-0.13,-0.04,0.26,0.01,0.01,-0.02
0.0410,0.06,0.39,0.36,0.07,0.18,0.02,-0.12,0.01,0.23,0.02,0.02,-0.02
0.0420,0.06,0.36,0.45,0.09,0.19,0.04,-0.10,0.05,0.21,0.01,0.02,-0.03
0.0430,0.06,0.31,0.51,0.11,0.18,0.05,-0.07,0.07,0.19,0.00,0.01,-0.04
0.0440,0.07,0.25,0.52,0.13,0.16,0.07,-0.05,0.07,0.18,-0.01,-0.01,-0.05
0.0450,0.09,0.19,0.47,0.13,0.12,0.07,-0.03,0.05,0.17,-0.03,-0.02,-0.06
0.0460,0.12,0.15,0.36,0.12,0.07,0.07,-0.02,0.02,0.17,-0.04,-0.04,-0.06
0.0470,0.16,0.12,0.22,0.09,0.02,0.05,-0.02,-0.03,0.16,-0.05,-0.05,-0.07
0.0480,0.20,0.11,0.08,0.06,-0.02,0.03,-0.03,-0.08,0.15,-0.04,-0.05,-0.06
0.0490,0.23,0.12,-0.00,0.02,-0.03,0.02,-0.03,-0.12,0.14,-0.03,-0.04,-0.05
0.0500,0.25,0.14,-0.02,-0.00,-0.02,0.00,-0.04,-0.15,0.13,-0.01,-0.02,-0.04
0.0510,0.26,0.16,0.03,-0.02,0.02,0.00,-0.05,-0.17,0.12,0.00,-0.00,-0.02
0.0520,0.25,0.17,0.13,-0.02,0.06,-0.00,-0.05,-0.17,0.12,0.01,0.01,-0.01
0.0530,0.24,0.17,0.25,-0.02,0.10,0.00,-0.06,-0.16,0.13,0.01,0.02,0.00
0.0540,0.22,0.16,0.34,-0.01,0.12,-0.00,-0.07,-0.13,0.15,-0.00,0.01,0.00
0.0550,0.22,0.14,0.40,-0.01,0.11,-0.01,-0.08,-0.10,0.17,-0.02,0.00,-0.00
