Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,10.04,-37.67,-145.38,-32.64,10.43,8.35,42.99,8.40,-8.25,-9.63,10.22,-5.12
0.0020,-20.90,-23.06,-76.34,-16.50,1.32,4.01,-15.51,-9.65,-26.30,-6.22,-4.19,-2.51
0.0030,-2.86,-6.11,-26.28,-5.91,-1.45,-0.07,-31.54,-23.96,-46.53,-6.12,-5.41,-1.69
0.0040,3.05,4.15,4.20,0.66,-2.35,-2.10,-7.11,-13.38,-38.12,-4.91,-7.18,-4.19
0.0050,-15.30,-3.93,6.06,2.95,-1.57,-1.38,-27.96,-18.67,-31.90,-3.18,-4.97,-2.41
0.0060,-13.43,-4.71,9.80,4.53,-1.73,-1.59,-12.56,-9.18,-15.41,-0.90,-2.92,-0.76
0.0070,1.65,5.86,26.28,7.10,-2.38,-2.52,-9.45,-3.58,1.40,1.95,-0.08,1.58
0.0080,35.23,32.29,67.95,12.04,-3.00,-3.92,3.00,7.16,23.81,5.13,2.53,3.68
0.0090,5.22,20.63,70.44,13.91,-0.55,-1.40,36.61,32.21,64.27,10.31,4.18,4.15
0.0100,-2.71,12.55,63.28,13.86,1.29,0.63,21.52,30.66,77.03,13.58,7.82,7.27
0.0110,-3.48,9.44,59.24,13.86,2.34,1.84,43.15,43.26,95.70,15.72,8.91,8.09
0.0120,4.45,14.41,64.84,14.38,2.90,2.35,68.98,65.82,127.13,19.83,11.12,9.49
0.0130,25.90,30.12,85.98,16.62,2.84,1.77,60.89,64.11,131.18,21.00,12.27,10.38
0.0140,28.24,36.03,100.91,18.71,3.59,2.12,62.76,65.51,136.16,21.74,13.58,11.92
0.0150,34.14,41.62,110.55,20.07,3.90,2.28,74.27,68.78,126.20,20.20,12.08,10.26
0.0160,36.48,44.73,118.64,21.47,4.30,2.52,60.11,60.84,111.88,18.20,11.46,9.98
0.0170,48.76,53.75,130.14,23.05,3.87,1.75,53.42,52.44,92.28,15.58,9.78,8.58
0.0180,39.28,49.86,130.45,23.75,4.89,2.68,48.29,46.22,73.60,12.83,7.95,7.48
0.0190,33.37,45.36,120.50,22.63,5.36,3.40,25.88,28.01,38.12,8.30,6.05,6.13
0.0200,46.58,52.66,126.72,22.77,4.58,2.56,14.83,16.34,17.58,4.66,4.90,5.94
0.0210,50.47,57.02,131.70,23.43,4.06,1.84,14.21,11.67,3.58,2.42,3.25,4.29
0.0220,29.01,43.80,117.08,22.40,5.17,3.17,11.09,7.94,-3.27,0.74,1.19,2.49
0.0230,23.11,35.72,100.91,20.21,5.05,3.52,14.36,11.36,2.96,1.16,0.85,2.02
0.0240,47.98,50.02,111.48,20.58,3.06,1.35,20.90,16.49,14.16,2.56,-0.12,0.64
0.0250,23.88,38.51,104.95,20.44,4.68,2.98,19.19,22.56,37.50,6.01,2.69,3.03
0.0260,38.19,44.27,108.69,20.44,3.71,2.12,6.27,14.94,37.81,7.65,4.86,5.50
0.0270,37.10,45.98,112.42,20.86,3.65,1.93,15.92,21.79,53.06,10.03,7.91,8.18
0.0280,43.78,50.80,122.06,22.03,3.40,1.51,35.53,36.72,79.83,13.25,9.69,9.35
0.0290,66.95,67.59,148.18,24.96,2.38,-0.21,42.53,47.15,105.66,17.17,12.99,11.73
0.0300,81.88,83.29,178.34,28.93,2.22,-1.08,44.55,51.82,119.35,19.78,15.60,14.14
0.0310,58.87,73.65,179.28,29.96,4.58,1.56,72.72,70.18,142.69,22.40,16.66,14.46
0.0320,49.23,63.55,169.64,30.00,5.86,3.19,66.49,72.05,154.21,24.55,19.06,16.68
0.0330,50.32,62.46,166.84,29.44,6.98,4.43,94.35,86.99,170.39,26.27,18.31,15.21
