Messart,Versuchsnummer,Dauer,Sampling-Frequenz,Trigger-Art,Auto-Zero vor Messung,Movement Time Links(s),Movement Time Rechts(s)
Athlet_3,2,4.0,1000,Visueller Reiz,Ja,0.149,0.539
Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,0.09,0.03,-0.63,-0.16,-0.38,-0.19,0.22,0.15,-0.37,0.17,-0.05,-0.01
0.0020,0.04,-0.05,-0.36,-0.09,-0.18,-0.08,0.10,0.08,-0.24,0.11,-0.02,-0.02
0.0030,0.00,-0.11,-0.12,-0.02,-0.01,0.00,-0.00,0.03,-0.12,0.05,-0.00,-0.02
0.0040,-0.02,-0.14,0.06,0.03,0.11,0.06,-0.07,-0.01,-0.02,0.01,0.02,-0.03
0.0050,-0.01,-0.14,0.16,0.05,0.16,0.08,-0.10,-0.01,0.05,-0.03,0.03,-0.02
0.0060,0.01,-0.10,0.20,0.06,0.15,0.08,-0.09,0.00,0.09,-0.05,0.03,-0.02
0.0070,0.03,-0.04,0.20,0.05,0.10,0.05,-0.07,0.03,0.10,-0.05,0.03,-0.01
0.0080,0.06,0.02,0.21,0.03,0.03,0.01,-0.03,0.05,0.09,-0.05,0.02,-0.01
0.0090,0.08,0.08,0.27,0.02,-0.03,-0.02,-0.00,0.07,0.08,-0.04,0.01,-0.01
0.0100,0.09,0.13,0.43,0.01,-0.06,-0.04,0.02,0.08,0.08,-0.02,-0.01,-0.02
0.0110,0.07,0.15,0.69,0.02,-0.05,-0.04,0.02,0.06,0.09,0.00,-0.03,-0.03
0.0120,0.05,0.16,1.04,0.04,-0.00,-0.04,0.03,0.04,0.12,0.02,-0.05,-0.03
0.0130,0.02,0.15,1.45,0.08,0.08,-0.02,0.03,0.01,0.17,0.03,-0.06,-0.04
0.0140,-0.01,0.13,1.86,0.11,0.17,-0.00,0.04,-0.01,0.22,0.04,-0.06,-0.04
0.0150,-0.04,0.09,2.24,0.14,0.26,0.02,0.07,-0.02,0.25,0.03,-0.06,-0.03
0.0160,-0.04,0.05,2.54,0.16,0.33,0.03,0.09,-0.01,0.26,0.02,-0.06,-0.03
0.0170,-0.03,-0.00,2.76,0.17,0.36,0.04,0.12,0.02,0.24,0.00,-0.05,-0.02
0.0180,-0.01,-0.06,2.87,0.15,0.35,0.03,0.13,0.05,0.18,-0.02,-0.04,-0.00
0.0190,0.00,-0.12,2.88,0.12,0.29,0.02,0.13,0.08,0.09,-0.03,-0.03,0.00
0.0200,0.01,-0.17,2.81,0.08,0.20,0.00,0.12,0.11,-0.03,-0.02,-0.02,0.01
0.0210,-0.00,-0.22,2.69,0.03,0.10,-0.02,0.10,0.14,-0.15,-0.01,-0.02,0.02
0.0220,-0.04,-0.25,2.57,-0.01,-0.00,-0.04,0.07,0.16,-0.25,0.02,-0.02,0.02
0.0230,-0.10,-0.27,2.48,-0.05,-0.08,-0.06,0.04,0.18,-0.32,0.06,-0.02,0.02
0.0240,-0.17,-0.27,2.44,-0.07,-0.12,-0.06,0.02,0.21,-0.35,0.08,-0.02,0.02
0.0250,-0.24,-0.27,2.46,-0.09,-0.12,-0.05,-0.00,0.24,-0.33,0.10,-0.02,0.03
0.0260,-0.29,-0.27,2.53,-0.10,-0.10,-0.02,-0.01,0.27,-0.28,0.10,-0.02,0.03
0.0270,-0.31,-0.27,2.64,-0.10,-0.05,0.01,-0.03,0.29,-0.22,0.08,-0.02,0.04
0.0280,-0.29,-0.27,2.77,-0.09,0.00,0.03,-0.04,0.29,-0.17,0.05,-0.03,0.04
0.0290,-0.22,-0.27,2.91,-0.07,0.05,0.05,-0.05,0.27,-0.17,0.02,-0.03,0.04
0.0300,-0.12,-0.26,3.06,-0.04,0.08,0.05,-0.06,0.22,-0.21,-0.01,-0.04,0.03
0.0310,-0.00,-0.24,3.20,-0.02,0.10,0.04,-0.06,0.17,-0.30,-0.03,-0.05,0.02
0.0320,0.11,-0.22,3.34,0.01,0.09,0.01,-0.05,0.12,-0.41,-0.04,-0.07,0.00
