Messart,Versuchsnummer,Dauer,Sampling-Frequenz,Trigger-Art,Auto-Zero vor Messung,Movement Time Links(s),Movement Time Rechts(s)
Athlet_1,3,4.0,1000,Akustischer Reiz,Ja,1.077,1.058
Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,-0.05,0.12,-0.84,-0.28,-0.24,-0.05,0.11,-0.09,-0.13,0.08,-0.01,-0.01
0.0020,-0.02,0.07,-0.63,-0.20,-0.15,-0.02,0.10,-0.10,-0.05,0.07,-0.00,-0.00
0.0030,0.01,0.02,-0.43,-0.13,-0.07,0.00,0.10,-0.10,0.02,0.05,0.00,-0.00
0.0040,0.03,0.00,-0.25,-0.06,-0.02,0.02,0.09,-0.09,0.07,0.03,0.01,-0.00
0.0050,0.04,0.00,-0.10,-0.01,0.01,0.02,0.07,-0.05,0.09,0.01,0.01,-0.00
0.0060,0.03,0.02,0.02,0.03,0.01,0.01,0.04,0.00,0.09,-0.01,0.01,-0.00
0.0070,0.01,0.04,0.12,0.06,0.00,-0.01,0.00,0.06,0.08,-0.03,0.01,-0.00
0.0080,-0.03,0.06,0.18,0.08,-0.02,-0.04,-0.04,0.12,0.05,-0.04,0.00,-0.01
0.0090,-0.08,0.08,0.19,0.09,-0.04,-0.06,-0.10,0.16,0.02,-0.04,-0.01,-0.01
0.0100,-0.12,0.08,0.16,0.09,-0.06,-0.08,-0.14,0.18,-0.02,-0.03,-0.02,-0.00
0.0110,-0.16,0.08,0.11,0.09,-0.07,-0.09,-0.18,0.18,-0.05,-0.02,-0.02,0.00
0.0120,-0.18,0.07,0.06,0.09,-0.06,-0.09,-0.19,0.17,-0.08,-0.01,-0.02,0.01
0.0130,-0.19,0.05,0.03,0.10,-0.03,-0.07,-0.19,0.14,-0.11,-0.01,-0.01,0.02
0.0140,-0.18,0.02,0.05,0.12,0.01,-0.04,-0.17,0.11,-0.13,-0.00,-0.00,0.02
0.0150,-0.15,-0.01,0.10,0.15,0.05,-0.01,-0.14,0.08,-0.15,-0.01,0.01,0.03
0.0160,-0.12,-0.04,0.18,0.19,0.09,0.02,-0.11,0.06,-0.14,-0.02,0.02,0.03
0.0170,-0.08,-0.07,0.24,0.22,0.11,0.04,-0.09,0.05,-0.11,-0.03,0.02,0.03
0.0180,-0.05,-0.09,0.27,0.23,0.11,0.05,-0.07,0.06,-0.07,-0.03,0.02,0.02
0.0190,-0.03,-0.11,0.25,0.22,0.09,0.05,-0.06,0.07,-0.02,-0.03,0.02,-0.00
0.0200,-0.03,-0.13,0.19,0.20,0.05,0.05,-0.06,0.09,0.02,-0.03,0.02,-0.02
0.0210,-0.02,-0.14,0.11,0.16,0.00,0.03,-0.06,0.11,0.03,-0.01,0.02,-0.04
0.0220,-0.02,-0.14,0.04,0.12,-0.04,0.02,-0.07,0.12,0.01,0.01,0.01,-0.05
0.0230,-0.02,-0.13,0.00,0.08,-0.07,0.01,-0.07,0.11,-0.03,0.03,0.01,-0.06
0.0240,-0.02,-0.10,0.01,0.06,-0.09,0.01,-0.07,0.09,-0.08,0.05,0.02,-0.06
0.0250,-0.01,-0.05,0.07,0.06,-0.08,0.03,-0.08,0.04,-0.12,0.07,0.02,-0.06
0.0260,-0.01,0.01,0.16,0.09,-0.05,0.05,-0.08,-0.01,-0.14,0.08,0.03,-0.05
0.0270,-0.02,0.06,0.24,0.13,-0.01,0.08,-0.07,-0.08,-0.11,0.09,0.03,-0.05
0.0280,-0.03,0.12,0.28,0.18,0.03,0.11,-0.07,-0.13,-0.06,0.09,0.03,-0.04
0.0290,-0.05,0.15,0.27,0.22,0.05,0.12,-0.07,-0.17,-0.00,0.08,0.03,-0.03
