Messart,Versuchsnummer,Dauer,Sampling-Frequenz,Trigger-Art,Auto-Zero vor Messung,Movement Time Links(s),Movement Time Rechts(s)
Athlet_3,1,1.25,1000,Visueller Reiz,Ja,0.005,0.004
Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,-129.88,-178.05,-752.88,-24.67,-0.44,-19.59,-313.42,-341.14,-910.29,-149.27,-138.61,-118.06
0.0020,-108.32,-136.53,-516.80,-28.86,-8.17,-17.14,-192.72,-200.96,-512.74,-82.00,-75.57,-62.48
0.0030,-83.87,-94.35,-294.22,-29.64,-13.39,-13.81,-78.45,-71.48,-154.28,-20.19,-18.82,-12.96
0.0040,-54.49,-51.24,-96.54,-24.56,-14.27,-9.00,22.45,37.36,131.96,31.03,26.29,25.44
0.0050,-19.99,-7.89,67.98,-13.10,-10.27,-2.69,102.64,117.32,323.54,67.20,55.98,49.43
0.0060,17.80,33.94,194.73,3.26,-2.28,4.51,155.15,162.51,410.62,84.98,68.36,57.73
0.0070,55.51,71.74,282.65,21.51,7.71,11.50,174.44,169.86,395.17,82.46,63.45,50.96
0.0080,89.05,102.74,333.63,38.01,17.19,16.97,157.47,139.37,288.47,59.43,42.77,31.17
0.0090,114.58,124.54,351.70,49.37,23.80,19.72,104.51,74.05,108.14,17.44,9.01,1.30
0.0100,129.32,135.56,342.12,53.23,25.78,18.94,19.50,-20.11,-124.19,-40.18,-34.33,-35.23
0.0110,131.88,135.28,310.55,48.59,22.31,14.32,-89.95,-134.27,-384.22,-108.48,-83.11,-74.75
0.0120,122.38,124.25,262.55,35.85,13.52,6.12,-212.97,-257.17,-645.94,-181.12,-132.79,-113.52
0.0130,102.19,104.00,203.53,16.62,0.41,-4.89,-336.44,-376.02,-883.05,-250.87,-178.63,-147.92
0.0140,73.73,76.83,138.99,-6.65,-15.43,-17.53,-446.65,-477.94,-1071.35,-310.50,-216.17,-174.72
