Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,-86.50,-126.31,-483.36,-34.67,-1.25,-4.91,0.55,1.95,2.03,0.35,-0.05,0.25
0.0020,-90.70,-112.47,-236.76,-53.61,-17.71,-5.56,0.70,1.79,2.65,0.30,0.02,0.20
0.0030,-91.01,-103.61,-117.97,-54.96,-25.48,-8.17,0.39,1.79,2.34,0.30,-0.11,0.22
0.0040,-87.75,-97.08,-57.01,-54.45,-28.71,-10.50,0.70,1.64,2.03,0.40,-0.05,0.18
0.0050,-82.46,-93.03,-26.54,-55.80,-31.20,-12.63,0.86,1.95,2.34,0.30,0.05,0.15
0.0060,-80.28,-88.53,-4.15,-55.62,-31.92,-13.79,0.39,1.79,1.72,0.35,-0.08,0.25
0.0070,-70.18,-82.46,8.91,-57.67,-33.50,-15.38,0.39,1.64,1.72,0.26,-0.08,0.20
0.0080,-42.97,-65.51,35.97,-62.06,-36.24,-18.22,0.24,1.95,2.03,0.35,0.05,0.22
0.0090,-62.09,-66.76,49.96,-60.38,-36.21,-18.01,0.70,2.10,2.65,0.35,0.02,0.20
0.0100,-61.94,-66.14,55.25,-59.72,-36.02,-17.87,0.70,2.10,2.03,0.30,-0.05,0.22
0.0110,-63.65,-68.16,55.25,-59.26,-35.90,-17.78,0.86,1.79,2.65,0.30,0.05,0.22
0.0120,-48.10,-59.92,64.89,-60.75,-36.21,-18.48,0.39,2.26,2.65,0.35,0.02,0.25
0.0130,-61.47,-62.25,72.66,-57.58,-34.62,-17.08,0.70,1.95,2.03,0.21,0.02,0.20
0.0140,-51.05,-57.43,81.06,-57.25,-34.00,-16.71,0.86,1.79,2.03,0.35,-0.02,0.18
0.0150,-46.54,-51.67,93.81,-55.20,-32.69,-15.66,0.70,2.10,1.72,0.35,0.05,0.22
0.0160,-38.77,-44.52,106.25,-53.05,-31.36,-14.58,0.55,2.26,2.03,0.30,0.02,0.18
