Messart,Versuchsnummer,Dauer,Sampling-Frequenz,Trigger-Art,Auto-Zero vor Messung,Movement Time Links(s),Movement Time Rechts(s)
Athlet_3,5,6.0,1000,Visueller Reiz,Ja,1.554,1.065
Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,0.06,0.25,1.68,0.39,0.33,-0.01,0.28,0.09,0.03,0.08,-0.01,-0.06
0.0020,0.06,0.15,0.97,0.21,0.15,-0.06,0.20,0.02,0.06,0.05,0.00,-0.04
0.0030,0.05,0.05,0.35,0.06,-0.00,-0.10,0.13,-0.05,0.07,0.03,0.02,-0.03
0.0040,0.04,-0.02,-0.12,-0.04,-0.11,-0.10,0.06,-0.09,0.06,0.00,0.02,-0.02
0.0050,0.03,-0.07,-0.42,-0.10,-0.16,-0.07,0.01,-0.09,0.03,-0.01,0.03,-0.00
0.0060,0.00,-0.09,-0.55,-0.10,-0.15,-0.01,-0.04,-0.08,-0.02,-0.03,0.02,0.01
0.0070,-0.02,-0.08,-0.55,-0.08,-0.11,0.05,-0.06,-0.04,-0.07,-0.03,0.01,0.02
0.0080,-0.05,-0.05,-0.48,-0.04,-0.05,0.10,-0.08,0.01,-0.11,-0.03,-0.00,0.03
0.0090,-0.07,-0.00,-0.39,-0.00,0.01,0.13,-0.07,0.05,-0.13,-0.01,-0.02,0.04
0.0100,-0.07,0.05,-0.33,0.02,0.04,0.13,-0.05,0.07,-0.14,0.01,-0.03,0.05
0.0110,-0.05,0.11,-0.32,0.03,0.05,0.09,-0.01,0.08,-0.14,0.03,-0.04,0.06
0.0120,-0.01,0.15,-0.34,0.03,0.02,0.03,0.03,0.08,-0.14,0.05,-0.04,0.07
0.0130,0.04,0.17,-0.38,0.03,-0.03,-0.04,0.07,0.07,-0.14,0.06,-0.04,0.07
0.0140,0.09,0.17,-0.42,0.03,-0.08,-0.10,0.10,0.07,-0.14,0.07,-0.04,0.07
0.0150,0.12,0.15,-0.43,0.04,-0.11,-0.14,0.12,0.07,-0.14,0.07,-0.04,0.06
0.0160,0.14,0.12,-0.41,0.06,-0.11,-0.15,0.13,0.08,-0.13,0.05,-0.03,0.05
0.0170,0.13,0.09,-0.36,0.08,-0.08,-0.13,0.14,0.09,-0.11,0.03,-0.02,0.05
0.0180,0.09,0.08,-0.29,0.10,-0.03,-0.10,0.15,0.11,-0.07,0.01,-0.00,0.04
0.0190,0.02,0.08,-0.20,0.11,0.03,-0.06,0.16,0.12,-0.02,-0.02,0.01,0.04
0.0200,-0.05,0.10,-0.13,0.11,0.09,-0.03,0.16,0.12,0.02,-0.04,0.02,0.04
0.0210,-0.11,0.14,-0.07,0.11,0.13,-0.02,0.15,0.11,0.05,-0.06,0.03,0.04
0.0220,-0.15,0.18,-0.06,0.10,0.14,-0.01,0.13,0.10,0.04,-0.08,0.04,0.04
0.0230,-0.17,0.23,-0.10,0.08,0.13,-0.02,0.11,0.09,-0.01,-0.09,0.04,0.03
0.0240,-0.16,0.26,-0.19,0.06,0.09,-0.04,0.07,0.08,-0.09,-0.10,0.04,0.03
0.0250,-0.13,0.30,-0.31,0.03,0.04,-0.05,0.03,0.08,-0.20,-0.10,0.05,0.03
0.0260,-0.09,0.32,-0.43,0.01,-0.01,-0.06,-0.01,0.09,-0.31,-0.10,0.05,0.02
0.0270,-0.06,0.34,-0.53,-0.00,-0.05,-0.06,-0.05,0.09,-0.40,-0.09,0.06,0.01
0.0280,-0.04,0.36,-0.58,-0.01,-0.08,-0.05,-0.08,0.09,-0.45,-0.08,0.06,-0.00
0.0290,-0.05,0.36,-0.55,-0.01,-0.09,-0.04,-0.08,0.08,-0.46,-0.06,0.07,-0.01
0.0300,-0.08,0.35,-0.48,0.01,-0.07,-0.02,-0.07,0.06,-0.42,-0.04,0.07,-0.02
0.0310,-0.12,0.32,-0.37,0.04,-0.04,-0.01,-0.03,0.03,-0.36,-0.02,0.06,-0.01
0.0320,-0.16,0.28,-0.25,0.07,0.01,0.00,0.03,0.00,-0.29,-0.01,0.05,-0.00
0.0330,-0.18,0.22,-0.17,0.09,0.05,0.02,0.10,-0.02,-0.22,-0.01,0.04,0.02
0.0340,-0.19,0.15,-0.13,0.09,0.09,0.03,0.18,-0.03,-0.18,-0.01,0.03,0.04
0.0350,-0.17,0.08,-0.14,0.08,0.11,0.04,0.25,-0.02,-0.15,-0.03,0.02,0.07
0.0360,-0.14,0.02,-0.19,0.04,0.11,0.04,0.29,0.01,-0.14,-0.06,0.01,0.09
0.0370,-0.09,-0.04,-0.26,-0.02,0.08,0.04,0.30,0.03,-0.13,-0.08,0.01,0.11
0.0380,-0.04,-0.09,-0.32,-0.08,0.03,0.03,0.28,0.05,-0.12,-0.10,0.01,0.11
0.0390,-0.00,-0.12,-0.36,-0.13,-0.03,0.02,0.25,0.04,-0.09,-0.12,0.02,0.11
0.0400,0.03,-0.14,-0.37,-0.16,-0.08,0.01,0.20,0.00,-0.03,-0.12,0.03,0.10
0.0410,0.05,-0.15,-0.37,-0.17,-0.12,0.00,0.15,-0.07,0.04,-0.10,0.04,0.09
0.0420,0.06,-0.13,-0.36,-0.15,-0.13,0.01,0.12,-0.16,0.13,-0.08,0.04,0.07
0.0430,0.05,-0.10,-0.36,-0.10,-0.12,0.01,0.11,-0.24,0.22,-0.05,0.03,0.06
0.0440,0.05,-0.06,-0.39,-0.05,-0.09,0.03,0.11,-0.31,0.29,-0.03,0.01,0.05
0.0450,0.05,-0.01,-0.44,0.01,-0.05,0.03,0.13,-0.35,0.34,-0.00,-0.01,0.05
0.0460,0.06,0.04,-0.49,0.06,-0.01,0.04,0.14,-0.34,0.34,0.01,-0.02,0.05
0.0470,0.08,0.09,-0.52,0.10,0.02,0.03,0.15,-0.30,0.29,0.02,-0.04,0.06
0.0480,0.09,0.12,-0.52,0.12,0.05,0.02,0.16,-0.23,0.21,0.02,-0.04,0.06
0.0490,0.09,0.14,-0.49,0.14,0.07,0.00,0.16,-0.15,0.10,0.01,-0.03,0.07
0.0500,0.08,0.14,-0.43,0.14,0.09,-0.02,0.15,-0.07,-0.01,0.01,-0.01,0.07
0.0510,0.06,0.11,-0.36,0.14,0.10,-0.05,0.14,-0.02,-0.10,0.01,0.02,0.06
0.0520,0.03,0.07,-0.31,0.13,0.11,-0.08,0.12,0.01,-0.17,0.02,0.04,0.05
0.0530,0.00,0.02,-0.29,0.11,0.10,-0.10,0.10,0.02,-0.20,0.03,0.06,0.05
0.0540,-0.02,-0.02,-0.30,0.09,0.08,-0.12,0.08,0.01,-0.21,0.03,0.07,0.05
0.0550,-0.03,-0.06,-0.34,0.07,0.06,-0.13,0.06,-0.00,-0.20,0.03,0.06,0.05
0.0560,-0.03,-0.08,-0.40,0.05,0.03,-0.13,0.05,-0.01,-0.18,0.02,0.05,0.05
0.0570,-0.02,-0.08,-0.45,0.03,-0.01,-0.13,0.06,-0.01,-0.16,-0.00,0.04,0.06
0.0580,0.00,-0.06,-0.49,0.01,-0.04,-0.13,0.08,0.01,-0.13,-0.03,0.02,0.08
0.0590,0.02,-0.03,-0.49,-0.00,-0.07,-0.12,0.11,0.03,-0.10,-0.06,0.01,0.09
0.0600,0.04,0.00,-0.47,-0.01,-0.09,-0.11,0.16,0.05,-0.07,-0.09,-0.00,0.11
0.0610,0.06,0.03,-0.43,-0.02,-0.10,-0.11,0.21,0.05,-0.04,-0.11,-0.01,0.12
0.0620,0.07,0.05,-0.37,-0.02,-0.09,-0.12,0.26,0.03,-0.01,-0.11,-0.02,0.13
0.0630,0.09,0.06,-0.30,-0.01,-0.08,-0.13,0.30,-0.02,0.02,-0.10,-0.03,0.13
0.0640,0.11,0.05,-0.24,0.01,-0.05,-0.14,0.33,-0.08,0.06,-0.07,-0.03,0.12
0.0650,0.14,0.04,-0.19,0.04,-0.01,-0.13,0.34,-0.15,0.08,-0.03,-0.03,0.11
0.0660,0.16,0.03,-0.16,0.07,0.04,-0.10,0.33,-0.21,0.11,0.01,-0.04,0.10
0.0670,0.17,0.02,-0.14,0.08,0.09,-0.06,0.31,-0.26,0.12,0.04,-0.04,0.08
0.0680,0.18,0.02,-0.14,0.08,0.13,-0.00,0.28,-0.28,0.12,0.08,-0.03,0.07
0.0690,0.19,0.02,-0.15,0.06,0.15,0.04,0.24,-0.28,0.11,0.10,-0.03,0.05
0.0700,0.20,0.01,-0.17,0.02,0.14,0.07,0.19,-0.28,0.08,0.11,-0.02,0.05
0.0710,0.20,-0.01,-0.20,-0.02,0.11,0.08,0.15,-0.26,0.05,0.11,-0.02,0.05
0.0720,0.19,-0.04,-0.23,-0.06,0.06,0.06,0.10,-0.25,0.01,0.09,-0.01,0.05
0.0730,0.18,-0.08,-0.25,-0.09,-0.01,0.02,0.06,-0.25,-0.03,0.07,-0.00,0.06
0.0740,0.17,-0.13,-0.28,-0.10,-0.07,-0.03,0.03,-0.24,-0.07,0.04,0.01,0.07
0.0750,0.15,-0.18,-0.29,-0.09,-0.11,-0.08,0.00,-0.23,-0.12,0.01,0.01,0.08
0.0760,0.14,-0.21,-0.30,-0.06,-0.13,-0.12,-0.01,-0.21,-0.15,-0.02,0.02,0.08
0.0770,0.12,-0.21,-0.30,-0.02,-0.13,-0.15,-0.01,-0.19,-0.18,-0.03,0.02,0.09
0.0780,0.11,-0.18,-0.30,0.01,-0.11,-0.16,-0.01,-0.17,-0.19,-0.05,0.01,0.09
0.0790,0.08,-0.13,-0.31,0.04,-0.07,-0.15,0.00,-0.14,-0.18,-0.05,0.00,0.08
0.0800,0.06,-0.05,-0.35,0.06,-0.03,-0.13,0.01,-0.13,-0.16,-0.05,-0.01,0.07
0.0810,0.03,0.04,-0.41,0.06,-0.00,-0.11,0.02,-0.12,-0.12,-0.04,-0.03,0.05
0.0820,0.00,0.11,-0.49,0.06,0.02,-0.09,0.03,-0.12,-0.08,-0.03,-0.04,0.03
0.0830,-0.01,0.16,-0.59,0.05,0.02,-0.09,0.03,-0.13,-0.04,-0.01,-0.05,0.01
0.0840,-0.01,0.17,-0.69,0.04,0.01,-0.10,0.03,-0.15,-0.01,0.01,-0.05,-0.01
0.0850,0.01,0.15,-0.76,0.02,-0.02,-0.13,0.04,-0.17,0.02,0.04,-0.05,-0.02
0.0860,0.05,0.09,-0.78,0.02,-0.05,-0.16,0.05,-0.19,0.04,0.07,-0.04,-0.02
0.0870,0.10,0.01,-0.74,0.02,-0.08,-0.18,0.07,-0.21,0.06,0.09,-0.03,-0.01
0.0880,0.15,-0.08,-0.62,0.02,-0.12,-0.20,0.08,-0.23,0.05,0.10,-0.02,0.00
0.0890,0.18,-0.14,-0.46,0.03,-0.14,-0.20,0.09,-0.25,0.03,0.10,-0.01,0.02
0.0900,0.20,-0.18,-0.29,0.04,-0.17,-0.19,0.10,-0.27,-0.00,0.09,-0.02,0.04
0.0910,0.20,-0.18,-0.15,0.06,-0.19,-0.17,0.09,-0.28,-0.05,0.07,-0.02,0.05
0.0920,0.18,-0.16,-0.06,0.07,-0.21,-0.14,0.09,-0.28,-0.09,0.03,-0.03,0.06
0.0930,0.13,-0.12,-0.02,0.08,-0.21,-0.10,0.08,-0.28,-0.12,-0.00,-0.05,0.06
0.0940,0.08,-0.07,-0.04,0.11,-0.21,-0.06,0.07,-0.26,-0.11,-0.03,-0.06,0.06
0.0950,0.03,-0.02,-0.08,0.14,-0.19,-0.03,0.06,-0.25,-0.07,-0.05,-0.07,0.05
0.0960,-0.01,0.00,-0.14,0.17,-0.16,-0.01,0.06,-0.24,-0.02,-0.06,-0.08,0.04
0.0970,-0.04,0.01,-0.18,0.19,-0.12,0.00,0.07,-0.23,0.03,-0.06,-0.07,0.03
0.0980,-0.06,0.00,-0.20,0.20,-0.09,0.00,0.09,-0.23,0.06,-0.05,-0.06,0.02
0.0990,-0.06,-0.02,-0.20,0.20,-0.06,-0.00,0.11,-0.23,0.05,-0.03,-0.04,0.02
0.1000,-0.06,-0.05,-0.21,0.18,-0.05,-0.02,0.12,-0.22,0.01,-0.02,-0.01,0.02
0.1010,-0.05,-0.09,-0.22,0.15,-0.05,-0.03,0.12,-0.22,-0.06,-0.01,0.01,0.02
0.1020,-0.04,-0.12,-0.26,0.11,-0.07,-0.04,0.10,-0.21,-0.14,-0.02,0.03,0.02
0.1030,-0.03,-0.14,-0.32,0.09,-0.10,-0.04,0.07,-0.20,-0.19,-0.02,0.04,0.01
0.1040,-0.02,-0.14,-0.40,0.07,-0.12,-0.03,0.03,-0.19,-0.20,-0.03,0.04,0.01
0.1050,-0.02,-0.12,-0.47,0.07,-0.13,-0.02,-0.01,-0.18,-0.16,-0.02,0.04,-0.00
0.1060,-0.02,-0.09,-0.51,0.08,-0.13,-0.01,-0.03,-0.19,-0.07,-0.01,0.03,-0.01
0.1070,-0.03,-0.05,-0.50,0.10,-0.11,0.00,-0.02,-0.20,0.01,0.01,0.01,-0.02
0.1080,-0.04,0.01,-0.42,0.11,-0.09,0.00,0.01,-0.20,0.06,0.03,0.00,-0.02
0.1090,-0.04,0.06,-0.29,0.12,-0.06,0.00,0.05,-0.21,0.03,0.04,-0.00,-0.02
0.1100,-0.03,0.10,-0.14,0.13,-0.03,-0.00,0.10,-0.22,-0.12,0.04,-0.00,-0.01
0.1110,-0.01,0.13,-0.01,0.12,-0.01,-0.02,0.14,-0.22,-0.37,0.03,-0.00,-0.00
0.1120,0.02,0.14,0.08,0.10,-0.01,-0.03,0.15,-0.21,-0.71,-0.00,0.01,0.01
0.1130,0.06,0.12,0.08,0.08,-0.01,-0.05,0.13,-0.20,-1.07,-0.03,0.01,0.02
0.1140,0.10,0.08,0.02,0.06,-0.02,-0.07,0.09,-0.17,-1.36,-0.06,0.01,0.03
0.1150,0.13,0.04,-0.08,0.05,-0.03,-0.08,0.04,-0.12,-1.50,-0.08,0.01,0.04
0.1160,0.14,0.01,-0.17,0.05,-0.03,-0.08,0.02,-0.05,-1.43,-0.07,0.01,0.04
0.1170,0.13,0.00,-0.22,0.06,-0.03,-0.08,0.03,0.01,-1.14,-0.06,-0.00,0.04
0.1180,0.09,0.03,-0.19,0.08,-0.01,-0.07,0.08,0.04,-0.71,-0.04,-0.01,0.03
0.1190,0.04,0.09,-0.10,0.10,0.02,-0.06,0.16,0.03,-0.25,-0.03,-0.02,0.02
0.1200,-0.00,0.16,0.03,0.11,0.05,-0.06,0.24,-0.03,0.10,-0.02,-0.03,0.01
0.1210,-0.04,0.24,0.18,0.12,0.07,-0.05,0.29,-0.12,0.23,-0.02,-0.03,0.01
0.1220,-0.06,0.30,0.29,0.12,0.08,-0.06,0.28,-0.22,0.11,-0.03,-0.02,0.02
0.1230,-0.05,0.32,0.36,0.11,0.07,-0.07,0.21,-0.27,-0.17,-0.03,-0.01,0.04
0.1240,-0.02,0.30,0.37,0.11,0.05,-0.09,0.12,-0.25,-0.50,-0.02,0.01,0.06
0.1250,0.02,0.24,0.32,0.12,0.03,-0.10,0.04,-0.16,-0.74,-0.00,0.02,0.07
0.1260,0.06,0.16,0.21,0.13,0.01,-0.10,0.03,-0.04,-0.83,0.02,0.04,0.08
0.1270,0.09,0.06,0.04,0.14,-0.00,-0.09,0.09,0.06,-0.77,0.04,0.05,0.07
0.1280,0.09,-0.02,-0.20,0.15,-0.00,-0.06,0.18,0.08,-0.64,0.03,0.05,0.05
0.1290,0.08,-0.08,-0.49,0.15,0.01,-0.04,0.26,-0.01,-0.57,-0.00,0.05,0.03
0.1300,0.06,-0.10,-0.82,0.13,0.01,-0.02,0.28,-0.17,-0.60,-0.06,0.04,0.02
0.1310,0.03,-0.10,-1.16,0.11,0.01,0.00,0.20,-0.35,-0.75,-0.12,0.03,0.01
0.1320,0.01,-0.06,-1.45,0.07,-0.00,0.01,0.06,-0.45,-0.92,-0.18,0.02,0.01
0.1330,0.00,-0.01,-1.64,0.03,-0.02,0.02,-0.09,-0.43,-0.99,-0.21,0.01,0.01
0.1340,0.01,0.05,-1.69,-0.00,-0.05,0.01,-0.18,-0.27,-0.85,-0.21,0.00,0.01
0.1350,0.02,0.09,-1.58,-0.03,-0.07,0.01,-0.18,-0.03,-0.47,-0.17,-0.00,0.01
0.1360,0.03,0.10,-1.33,-0.06,-0.07,0.01,-0.08,0.21,0.09,-0.13,-0.00,0.00
0.1370,0.03,0.07,-1.00,-0.08,-0.05,0.01,0.08,0.34,0.69,-0.08,0.00,0.00
0.1380,0.02,0.01,-0.68,-0.10,-0.00,0.02,0.23,0.31,1.16,-0.06,0.00,0.01
0.1390,-0.00,-0.07,-0.44,-0.10,0.05,0.02,0.32,0.14,1.36,-0.05,0.01,0.03
0.1400,-0.01,-0.14,-0.33,-0.08,0.11,0.04,0.33,-0.09,1.27,-0.06,0.01,0.05
0.1410,0.01,-0.19,-0.37,-0.04,0.15,0.05,0.26,-0.29,0.95,-0.08,0.01,0.07
0.1420,0.07,-0.19,-0.52,0.01,0.17,0.06,0.15,-0.36,0.53,-0.09,0.02,0.07
0.1430,0.16,-0.15,-0.71,0.06,0.16,0.07,0.04,-0.27,0.14,-0.09,0.02,0.06
0.1440,0.23,-0.08,-0.89,0.08,0.12,0.06,-0.04,-0.06,-0.12,-0.09,0.03,0.03
0.1450,0.28,0.00,-0.99,0.07,0.05,0.04,-0.06,0.17,-0.23,-0.07,0.04,-0.01
