Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,-9.59,-53.50,-164.44,-35.16,8.62,6.97,41.11,20.40,62.65,-0.54,15.57,-1.28
0.0020,-6.17,-16.34,-65.55,-15.66,-1.11,1.35,8.28,14.33,45.22,4.50,2.69,2.53
0.0030,-36.49,-23.96,-34.77,-6.15,0.20,2.01,28.20,26.00,58.60,8.43,1.16,2.32
0.0040,-26.08,-18.52,-17.35,-1.39,0.51,1.56,4.08,12.15,33.71,6.37,2.04,3.41
0.0050,-17.99,-10.74,-3.05,1.78,0.07,0.63,-5.42,-0.45,5.07,3.10,1.44,3.32
0.0060,0.98,3.56,16.54,4.95,-1.17,-1.21,20.26,9.82,1.65,1.52,-2.23,-0.69
0.0070,11.09,15.53,37.69,8.08,-1.64,-2.08,5.32,4.06,-8.62,-0.26,-3.72,-1.91
0.0080,32.85,34.04,69.41,12.51,-2.01,-3.13,-14.44,-11.81,-36.94,-4.04,-4.72,-2.33
0.0090,27.72,35.75,79.36,14.94,-1.89,-3.17,-23.15,-22.86,-59.66,-7.17,-6.21,-3.38
0.0100,23.68,34.19,82.16,16.10,-1.58,-2.94,-64.24,-51.65,-101.68,-11.93,-6.03,-2.00
0.0110,16.22,28.28,74.07,15.31,-1.67,-2.57,-54.59,-54.60,-116.93,-15.10,-7.95,-3.63
0.0120,-1.20,15.84,57.90,13.77,-0.58,-1.07,-50.54,-50.87,-111.63,-15.15,-7.99,-3.94
0.0130,-9.59,6.98,42.04,11.39,-0.15,-0.05,-54.74,-53.51,-115.37,-15.62,-9.01,-5.06
0.0140,45.60,39.94,76.56,13.96,-3.16,-4.20,-69.37,-60.36,-115.06,-14.82,-6.87,-2.63
0.0150,20.26,34.04,81.85,15.82,-1.79,-2.71,-34.05,-37.33,-77.71,-10.57,-5.59,-2.23
0.0160,26.95,37.15,92.42,17.18,-1.27,-2.31,-46.81,-36.71,-61.22,-7.82,-2.13,0.92
0.0170,9.22,26.57,83.71,17.18,0.60,-0.23,-34.51,-29.08,-45.34,-4.93,-0.02,2.48
