Messart,Versuchsnummer,Dauer,Sampling-Frequenz,Trigger-Art,Auto-Zero vor Messung,Movement Time Links(s),Movement Time Rechts(s)
Athlet_1,5,4.0,1000,Akustischer Reiz,Ja,1.070,1.053
Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,-0.19,-0.14,0.06,-0.23,0.30,0.38,-0.12,0.03,-0.31,0.06,0.05,-0.05
0.0020,-0.09,-0.07,-0.04,-0.17,0.16,0.23,-0.14,0.02,-0.16,0.04,0.03,-0.03
0.0030,-0.01,-0.01,-0.12,-0.11,0.05,0.10,-0.15,0.01,-0.03,0.03,0.01,-0.02
0.0040,0.03,0.03,-0.15,-0.05,-0.02,0.01,-0.15,0.02,0.07,0.02,-0.00,-0.01
0.0050,0.04,0.06,-0.14,0.01,-0.05,-0.05,-0.13,0.03,0.12,0.01,-0.01,-0.00
0.0060,0.02,0.07,-0.10,0.05,-0.05,-0.07,-0.08,0.04,0.12,0.00,-0.01,-0.00
0.0070,-0.02,0.06,-0.07,0.06,-0.03,-0.06,-0.01,0.04,0.08,-0.01,-0.01,-0.00
0.0080,-0.05,0.03,-0.06,0.05,-0.00,-0.04,0.06,0.03,0.02,-0.02,-0.01,-0.00
0.0090,-0.07,-0.00,-0.09,0.01,0.01,-0.03,0.13,0.01,-0.05,-0.02,-0.02,-0.00
0.0100,-0.07,-0.04,-0.17,-0.05,0.01,-0.01,0.18,-0.03,-0.10,-0.02,-0.03,-0.00
0.0110,-0.05,-0.06,-0.29,-0.12,-0.00,-0.01,0.20,-0.06,-0.12,-0.02,-0.04,0.00
0.0120,-0.02,-0.07,-0.42,-0.19,-0.02,-0.02,0.20,-0.10,-0.09,-0.02,-0.05,0.00
0.0130,0.03,-0.05,-0.53,-0.24,-0.05,-0.02,0.17,-0.12,-0.05,-0.01,-0.06,-0.00
0.0140,0.07,-0.03,-0.61,-0.28,-0.08,-0.03,0.12,-0.12,0.01,-0.00,-0.07,-0.00
0.0150,0.11,-0.00,-0.66,-0.30,-0.09,-0.03,0.05,-0.10,0.05,0.01,-0.07,-0.00
0.0160,0.13,0.02,-0.67,-0.30,-0.11,-0.04,-0.02,-0.07,0.06,0.02,-0.07,-0.00
0.0170,0.16,0.03,-0.65,-0.29,-0.11,-0.03,-0.09,-0.02,0.04,0.03,-0.06,-0.00
0.0180,0.18,0.02,-0.63,-0.28,-0.11,-0.04,-0.15,0.03,-0.03,0.03,-0.06,0.01
0.0190,0.20,0.00,-0.61,-0.27,-0.11,-0.04,-0.20,0.07,-0.10,0.03,-0.05,0.01
0.0200,0.23,-0.03,-0.60,-0.27,-0.11,-0.05,-0.22,0.11,-0.17,0.03,-0.05,0.02
0.0210,0.26,-0.07,-0.59,-0.27,-0.11,-0.06,-0.22,0.13,-0.22,0.02,-0.05,0.03
0.0220,0.29,-0.11,-0.59,-0.27,-0.11,-0.07,-0.20,0.13,-0.24,0.01,-0.04,0.04
0.0230,0.30,-0.14,-0.59,-0.27,-0.11,-0.08,-0.18,0.11,-0.22,0.00,-0.04,0.04
0.0240,0.31,-0.16,-0.58,-0.27,-0.10,-0.07,-0.16,0.08,-0.17,0.00,-0.03,0.03
0.0250,0.30,-0.17,-0.56,-0.25,-0.09,-0.06,-0.16,0.04,-0.10,0.00,-0.02,0.02
0.0260,0.29,-0.16,-0.54,-0.24,-0.08,-0.03,-0.19,0.01,-0.03,0.01,-0.02,0.02
0.0270,0.28,-0.14,-0.53,-0.22,-0.08,-0.01,-0.26,-0.00,0.03,0.02,-0.02,0.01
0.0280,0.28,-0.12,-0.52,-0.20,-0.09,0.00,-0.34,-0.01,0.08,0.02,-0.02,0.00
0.0290,0.28,-0.09,-0.53,-0.18,-0.11,0.01,-0.42,0.01,0.11,0.02,-0.03,0.01
0.0300,0.28,-0.06,-0.54,-0.16,-0.12,0.02,-0.49,0.02,0.12,0.02,-0.03,0.02
0.0310,0.29,-0.05,-0.55,-0.14,-0.12,0.02,-0.52,0.03,0.09,0.01,-0.04,0.03
0.0320,0.30,-0.05,-0.54,-0.11,-0.10,0.01,-0.50,0.04,0.04,-0.01,-0.04,0.04
0.0330,0.30,-0.06,-0.52,-0.09,-0.05,0.01,-0.43,0.03,-0.02,-0.02,-0.04,0.05
0.0340,0.31,-0.08,-0.47,-0.07,0.01,0.01,-0.33,0.01,-0.09,-0.04,-0.04,0.06
0.0350,0.32,-0.10,-0.40,-0.06,0.07,0.01,-0.23,-0.01,-0.16,-0.05,-0.04,0.06
0.0360,0.32,-0.10,-0.31,-0.05,0.14,0.01,-0.14,-0.03,-0.20,-0.05,-0.04,0.05
0.0370,0.31,-0.08,-0.21,-0.05,0.18,0.02,-0.08,-0.04,-0.21,-0.05,-0.05,0.05
0.0380,0.30,-0.04,-0.13,-0.05,0.20,0.02,-0.07,-0.06,-0.19,-0.04,-0.06,0.05
0.0390,0.29,0.01,-0.07,-0.05,0.19,0.03,-0.09,-0.06,-0.15,-0.04,-0.06,0.04
0.0400,0.28,0.05,-0.06,-0.06,0.16,0.03,-0.14,-0.07,-0.10,-0.03,-0.07,0.05
0.0410,0.27,0.08,-0.08,-0.06,0.11,0.04,-0.19,-0.07,-0.07,-0.02,-0.07,0.05
0.0420,0.28,0.09,-0.14,-0.07,0.05,0.03,-0.21,-0.06,-0.05,-0.02,-0.07,0.05
0.0430,0.29,0.08,-0.23,-0.07,-0.00,0.03,-0.21,-0.06,-0.08,-0.02,-0.07,0.05
0.0440,0.30,0.05,-0.33,-0.08,-0.04,0.01,-0.18,-0.05,-0.13,-0.02,-0.06,0.05
0.0450,0.31,0.02,-0.42,-0.09,-0.06,0.00,-0.12,-0.04,-0.19,-0.03,-0.04,0.06
0.0460,0.30,-0.01,-0.48,-0.10,-0.05,0.00,-0.05,-0.03,-0.26,-0.03,-0.03,0.06
0.0470,0.27,-0.02,-0.51,-0.10,-0.04,0.00,0.00,-0.02,-0.30,-0.04,-0.01,0.07
0.0480,0.22,-0.02,-0.52,-0.09,-0.02,0.02,0.03,-0.00,-0.32,-0.05,-0.00,0.07
0.0490,0.15,-0.02,-0.51,-0.08,-0.00,0.03,0.02,0.01,-0.29,-0.06,0.00,0.08
0.0500,0.10,-0.02,-0.52,-0.07,-0.01,0.04,-0.02,0.02,-0.25,-0.06,0.00,0.09
0.0510,0.05,-0.02,-0.57,-0.06,-0.03,0.04,-0.07,0.02,-0.19,-0.06,-0.00,0.09
0.0520,0.03,-0.03,-0.66,-0.07,-0.07,0.03,-0.13,0.02,-0.14,-0.06,-0.02,0.08
0.0530,0.03,-0.04,-0.78,-0.09,-0.13,0.02,-0.17,0.01,-0.11,-0.05,-0.03,0.07
0.0540,0.04,-0.07,-0.92,-0.12,-0.18,-0.00,-0.18,-0.02,-0.10,-0.04,-0.04,0.06
0.0550,0.07,-0.09,-1.04,-0.16,-0.22,-0.02,-0.16,-0.04,-0.12,-0.02,-0.05,0.04
0.0560,0.09,-0.11,-1.13,-0.21,-0.24,-0.03,-0.12,-0.07,-0.13,-0.00,-0.04,0.02
0.0570,0.10,-0.13,-1.16,-0.24,-0.24,-0.05,-0.05,-0.10,-0.15,0.01,-0.04,-0.00
0.0580,0.10,-0.14,-1.14,-0.26,-0.23,-0.06,0.00,-0.12,-0.14,0.02,-0.02,-0.02
0.0590,0.10,-0.13,-1.06,-0.26,-0.20,-0.08,0.04,-0.12,-0.11,0.02,-0.01,-0.03
0.0600,0.08,-0.12,-0.93,-0.24,-0.16,-0.09,0.04,-0.12,-0.05,0.01,0.01,-0.03
0.0610,0.06,-0.09,-0.76,-0.20,-0.11,-0.09,0.00,-0.10,0.04,0.01,0.02,-0.02
0.0620,0.04,-0.06,-0.58,-0.15,-0.06,-0.08,-0.06,-0.08,0.14,0.00,0.02,-0.00
0.0630,0.01,-0.03,-0.40,-0.10,-0.01,-0.06,-0.15,-0.06,0.23,-0.00,0.02,0.01
0.0640,-0.01,-0.00,-0.25,-0.07,0.04,-0.02,-0.23,-0.04,0.28,-0.00,0.02,0.03
0.0650,-0.03,0.02,-0.16,-0.06,0.08,0.03,-0.30,-0.03,0.30,0.00,0.01,0.05
0.0660,-0.04,0.02,-0.13,-0.06,0.12,0.08,-0.33,-0.02,0.27,0.01,0.00,0.06
0.0670,-0.05,0.02,-0.18,-0.09,0.14,0.11,-0.33,-0.02,0.20,0.01,0.00,0.07
0.0680,-0.06,-0.00,-0.28,-0.12,0.14,0.13,-0.29,-0.02,0.11,0.02,0.01,0.06
0.0690,-0.06,-0.03,-0.42,-0.15,0.13,0.13,-0.23,-0.03,0.00,0.02,0.01,0.05
0.0700,-0.05,-0.07,-0.57,-0.17,0.11,0.11,-0.15,-0.04,-0.09,0.03,0.01,0.04
0.0710,-0.03,-0.11,-0.72,-0.19,0.07,0.07,-0.08,-0.04,-0.16,0.03,0.01,0.03
0.0720,-0.01,-0.14,-0.84,-0.20,0.03,0.02,-0.02,-0.05,-0.21,0.03,-0.00,0.02
0.0730,0.02,-0.16,-0.93,-0.19,-0.02,-0.02,0.02,-0.04,-0.23,0.03,-0.02,0.02
0.0740,0.06,-0.16,-0.99,-0.18,-0.06,-0.05,0.02,-0.04,-0.23,0.02,-0.05,0.03
0.0750,0.09,-0.14,-1.01,-0.17,-0.08,-0.07,0.01,-0.02,-0.21,0.01,-0.07,0.04
0.0760,0.12,-0.10,-0.99,-0.15,-0.09,-0.08,-0.01,-0.00,-0.19,-0.00,-0.08,0.06
0.0770,0.14,-0.05,-0.95,-0.14,-0.08,-0.08,-0.02,0.01,-0.16,-0.01,-0.07,0.07
0.0780,0.14,0.01,-0.86,-0.12,-0.06,-0.07,-0.03,0.03,-0.12,-0.03,-0.06,0.07
0.0790,0.12,0.06,-0.74,-0.11,-0.04,-0.05,-0.01,0.04,-0.08,-0.03,-0.03,0.07
0.0800,0.09,0.09,-0.60,-0.10,-0.02,-0.04,0.03,0.05,-0.03,-0.03,0.00,0.06
0.0810,0.05,0.09,-0.44,-0.09,-0.02,-0.04,0.08,0.05,0.02,-0.02,0.03,0.05
0.0820,-0.00,0.07,-0.29,-0.09,-0.02,-0.04,0.13,0.05,0.07,-0.01,0.04,0.04
0.0830,-0.05,0.03,-0.17,-0.11,-0.02,-0.05,0.17,0.04,0.11,0.01,0.04,0.03
0.0840,-0.09,-0.01,-0.09,-0.13,-0.01,-0.06,0.19,0.04,0.13,0.02,0.03,0.03
0.0850,-0.10,-0.04,-0.04,-0.15,0.00,-0.07,0.18,0.03,0.13,0.03,0.02,0.04
0.0860,-0.10,-0.05,-0.02,-0.17,0.03,-0.07,0.14,0.02,0.12,0.03,-0.00,0.04
0.0870,-0.08,-0.04,-0.02,-0.18,0.06,-0.07,0.07,0.01,0.09,0.02,-0.02,0.05
0.0880,-0.04,0.00,-0.02,-0.17,0.10,-0.06,-0.02,-0.00,0.06,0.01,-0.03,0.06
