time,CH0_hat1,CH1_hat1,CH2_hat1,CH0_hat2,CH1_hat2,CH2_hat2
0.1200,31650,31538,31549,33612,33480,33481
0.1210,31633,31518,31536,33541,33410,33408
0.1220,31634,31518,31533,33473,33352,33350
0.1230,31623,31508,31519,33407,33288,33294
0.1240,31620,31506,31526,33376,33259,33265
0.1250,31627,31511,31546,33341,33229,33260
0.1260,31640,31521,31551,33349,33240,33275
0.1270,31653,31534,31573,33355,33259,33323
0.1280,31680,31558,31593,33463,33345,33400
0.1290,31694,31572,31616,33499,33399,33473
0.1300,31716,31593,31630,33594,33488,33566
0.1310,31736,31612,31652,33667,33566,33649
0.1320,31736,31616,31656,33739,33628,33703
0.1330,31742,31621,31650,33799,33687,33761
0.1340,31748,31626,31661,33832,33716,33788
0.1350,31741,31615,31639,33847,33729,33789
0.1360,31734,31614,31635,33863,33737,33781
0.1370,31720,31600,31616,33816,33687,33710
0.1380,31701,31581,31591,33772,33645,33665
0.1390,31690,31571,31571,33711,33582,33587
0.1400,31667,31559,31568,33632,33498,33494
0.1410,31653,31537,31546,33554,33429,33421
0.1420,31644,31528,31540,33476,33357,33362
0.1430,31634,31521,31538,33424,33301,33304
0.1440,31640,31526,31543,33384,33265,33273
0.1450,31649,31534,31560,33357,33245,33272
0.1460,31644,31530,31566,33364,33255,33289
0.1470,31667,31548,31588,33403,33301,33363
0.1480,31683,31563,31603,33464,33356,33418
0.1490,31702,31582,31629,33509,33407,33487
0.1500,31724,31597,31634,33607,33501,33582
0.1510,31732,31612,31656,33677,33571,33658
0.1520,31740,31618,31652,33754,33639,33710
0.1530,31748,31629,31670,33806,33696,33775
0.1540,31751,31629,31654,33849,33732,33796
0.1550,31751,31630,31655,33875,33751,33805
0.1560,31732,31616,31634,33869,33746,33790
0.1570,31716,31601,31619,33832,33701,33724
0.1580,31718,31599,31613,33778,33651,33667
0.1590,31689,31572,31581,33709,33580,33593
0.1600,31673,31559,31572,33647,33511,33512
0.1610,31657,31543,31548,33556,33431,33427
