Messart,Versuchsnummer,Dauer,Sampling-Frequenz,Trigger-Art,Auto-Zero vor Messung,Movement Time Links(s),Movement Time Rechts(s)
Athlet_3,3,4.0,1000,Visueller Reiz,Ja,1.586,1.045
Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,-0.47,-0.06,-0.88,-0.14,-0.04,-0.03,0.26,0.65,-0.29,0.06,0.03,-0.00
0.0020,-0.20,-0.07,-0.50,-0.07,-0.05,-0.03,0.21,0.36,-0.12,0.02,0.01,-0.01
0.0030,0.03,-0.06,-0.17,-0.01,-0.06,-0.03,0.15,0.11,0.03,-0.01,-0.01,-0.01
0.0040,0.19,-0.05,0.08,0.02,-0.07,-0.04,0.09,-0.07,0.14,-0.04,-0.02,-0.01
0.0050,0.26,-0.02,0.22,0.03,-0.08,-0.05,0.02,-0.16,0.19,-0.05,-0.02,-0.00
0.0060,0.24,0.02,0.27,0.02,-0.07,-0.06,-0.04,-0.18,0.19,-0.06,-0.02,0.01
0.0070,0.17,0.06,0.24,0.00,-0.05,-0.06,-0.10,-0.15,0.14,-0.06,-0.01,0.03
0.0080,0.06,0.08,0.15,-0.01,-0.02,-0.06,-0.14,-0.09,0.05,-0.06,0.00,0.04
0.0090,-0.05,0.08,0.03,-0.03,0.02,-0.04,-0.16,-0.05,-0.05,-0.06,0.01,0.06
0.0100,-0.14,0.07,-0.12,-0.04,0.05,-0.03,-0.17,-0.04,-0.16,-0.06,0.02,0.07
0.0110,-0.18,0.04,-0.29,-0.06,0.07,-0.01,-0.15,-0.06,-0.25,-0.07,0.03,0.07
0.0120,-0.17,-0.01,-0.47,-0.08,0.08,0.01,-0.11,-0.12,-0.32,-0.07,0.04,0.07
0.0130,-0.13,-0.04,-0.62,-0.11,0.07,0.03,-0.05,-0.19,-0.36,-0.07,0.06,0.06
0.0140,-0.07,-0.07,-0.73,-0.15,0.05,0.03,0.01,-0.25,-0.37,-0.06,0.08,0.05
0.0150,-0.01,-0.09,-0.77,-0.19,0.03,0.03,0.07,-0.28,-0.34,-0.06,0.10,0.03
0.0160,0.03,-0.09,-0.72,-0.22,-0.01,0.03,0.13,-0.28,-0.27,-0.05,0.12,0.02
