Messart,Versuchsnummer,Dauer,Sampling-Frequenz,Trigger-Art,Auto-Zero vor Messung,Movement Time Links(s),Movement Time Rechts(s)
Athlet_1,1,4.0,1000,Akustischer Reiz,Ja,1.215,1.197
Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,0.17,-0.22,-0.13,0.28,-0.05,0.03,-0.11,-0.11,-0.38,0.02,-0.04,-0.03
0.0020,0.10,-0.13,0.22,0.24,0.04,0.02,-0.07,-0.01,-0.17,0.01,-0.03,-0.02
0.0030,0.04,-0.06,0.48,0.19,0.11,0.00,-0.04,0.07,-0.00,-0.01,-0.01,-0.01
0.0040,-0.01,-0.01,0.59,0.12,0.13,-0.02,-0.02,0.13,0.11,-0.02,-0.00,0.00
0.0050,-0.04,0.02,0.51,0.04,0.10,-0.03,0.00,0.14,0.16,-0.02,0.01,0.01
0.0060,-0.06,0.04,0.28,-0.05,0.04,-0.04,0.02,0.12,0.15,-0.02,0.02,0.01
0.0070,-0.06,0.04,-0.06,-0.14,-0.06,-0.05,0.04,0.06,0.09,-0.02,0.02,0.01
0.0080,-0.06,0.05,-0.44,-0.21,-0.17,-0.04,0.07,-0.01,0.03,-0.02,0.02,0.01
0.0090,-0.04,0.05,-0.77,-0.27,-0.26,-0.03,0.10,-0.09,-0.04,-0.02,0.02,0.01
0.0100,-0.02,0.06,-1.01,-0.30,-0.33,-0.01,0.14,-0.16,-0.10,-0.02,0.03,0.01
0.0110,0.01,0.07,-1.13,-0.31,-0.37,0.01,0.18,-0.21,-0.14,-0.02,0.03,0.01
0.0120,0.04,0.08,-1.13,-0.28,-0.37,0.02,0.22,-0.24,-0.18,-0.03,0.04,0.00
0.0130,0.07,0.08,-1.02,-0.24,-0.34,0.03,0.26,-0.24,-0.23,-0.04,0.05,0.00
0.0140,0.10,0.08,-0.85,-0.18,-0.29,0.03,0.28,-0.21,-0.29,-0.05,0.06,0.00
0.0150,0.12,0.08,-0.64,-0.11,-0.22,0.03,0.30,-0.17,-0.34,-0.06,0.07,0.00
0.0160,0.13,0.09,-0.42,-0.04,-0.14,0.02,0.31,-0.12,-0.39,-0.06,0.08,0.00
0.0170,0.11,0.10,-0.22,0.01,-0.06,0.02,0.32,-0.07,-0.42,-0.06,0.08,0.01
0.0180,0.07,0.12,-0.05,0.05,0.02,0.04,0.31,-0.04,-0.43,-0.05,0.08,0.01
0.0190,0.00,0.15,0.06,0.07,0.09,0.06,0.30,-0.03,-0.42,-0.04,0.07,0.01
0.0200,-0.07,0.16,0.12,0.07,0.14,0.09,0.28,-0.06,-0.40,-0.03,0.07,0.01
0.0210,-0.13,0.17,0.11,0.05,0.16,0.12,0.26,-0.12,-0.37,-0.01,0.06,0.00
0.0220,-0.17,0.16,0.03,0.02,0.16,0.14,0.23,-0.21,-0.35,0.01,0.04,-0.01
0.0230,-0.18,0.13,-0.11,-0.01,0.13,0.16,0.21,-0.31,-0.32,0.02,0.03,-0.02
0.0240,-0.17,0.10,-0.27,-0.03,0.08,0.17,0.19,-0.41,-0.28,0.03,0.01,-0.03
0.0250,-0.15,0.05,-0.45,-0.04,0.02,0.16,0.18,-0.47,-0.25,0.04,-0.00,-0.04
0.0260,-0.13,-0.01,-0.61,-0.04,-0.03,0.14,0.19,-0.50,-0.20,0.04,-0.01,-0.04
0.0270,-0.13,-0.06,-0.74,-0.04,-0.06,0.10,0.20,-0.48,-0.16,0.04,-0.01,-0.04
0.0280,-0.14,-0.10,-0.82,-0.04,-0.08,0.07,0.23,-0.42,-0.12,0.04,-0.01,-0.04
0.0290,-0.16,-0.12,-0.85,-0.05,-0.09,0.03,0.26,-0.33,-0.10,0.04,-0.01,-0.04
0.0300,-0.19,-0.12,-0.85,-0.07,-0.10,-0.00,0.31,-0.23,-0.10,0.03,0.00,-0.04
0.0310,-0.20,-0.10,-0.83,-0.10,-0.11,-0.03,0.36,-0.13,-0.12,0.02,0.01,-0.04
0.0320,-0.20,-0.05,-0.80,-0.14,-0.12,-0.05,0.40,-0.04,-0.17,0.01,0.01,-0.04
0.0330,-0.19,0.01,-0.75,-0.18,-0.15,-0.07,0.42,0.02,-0.22,0.00,0.02,-0.03
0.0340,-0.16,0.08,-0.69,-0.21,-0.18,-0.08,0.43,0.05,-0.27,-0.01,0.01,-0.02
0.0350,-0.12,0.16,-0.62,-0.22,-0.19,-0.08,0.40,0.06,-0.29,-0.02,0.01,-0.01
0.0360,-0.08,0.23,-0.52,-0.20,-0.19,-0.08,0.36,0.04,-0.29,-0.03,0.00,0.01
0.0370,-0.04,0.28,-0.42,-0.16,-0.15,-0.07,0.30,-0.01,-0.27,-0.04,-0.00,0.02
0.0380,-0.01,0.32,-0.31,-0.09,-0.09,-0.05,0.24,-0.06,-0.23,-0.04,-0.01,0.02
0.0390,0.00,0.33,-0.20,-0.01,-0.01,-0.02,0.20,-0.12,-0.19,-0.04,-0.01,0.03
0.0400,0.01,0.33,-0.09,0.07,0.07,0.02,0.19,-0.18,-0.15,-0.03,-0.01,0.02
0.0410,-0.00,0.30,0.01,0.14,0.15,0.05,0.20,-0.22,-0.13,-0.01,-0.00,0.01
0.0420,-0.03,0.26,0.08,0.19,0.20,0.08,0.24,-0.26,-0.11,0.00,0.00,-0.00
0.0430,-0.06,0.21,0.11,0.21,0.21,0.09,0.28,-0.28,-0.10,0.02,0.01,-0.01
0.0440,-0.09,0.17,0.09,0.18,0.18,0.09,0.31,-0.28,-0.09,0.02,0.00,-0.02
0.0450,-0.13,0.12,-0.00,0.14,0.13,0.07,0.33,-0.28,-0.07,0.03,-0.00,-0.03
0.0460,-0.16,0.08,-0.14,0.07,0.07,0.05,0.31,-0.26,-0.03,0.02,-0.01,-0.03
0.0470,-0.19,0.03,-0.31,0.01,0.00,0.04,0.27,-0.23,0.01,0.01,-0.02,-0.01
0.0480,-0.20,-0.01,-0.48,-0.05,-0.05,0.03,0.21,-0.19,0.06,-0.00,-0.03,0.00
