Messart,Versuchsnummer,Dauer,Sampling-Frequenz,Trigger-Art,Auto-Zero vor Messung,Movement Time Links(s),Movement Time Rechts(s)
Athlet_1,4,4.0,1000,Akustischer Reiz,Ja,1.075,1.058
Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,-0.18,-0.06,-0.44,-0.06,-0.12,0.01,0.29,-0.11,-0.31,0.04,-0.07,-0.06
0.0020,-0.12,-0.02,-0.24,-0.05,-0.07,0.01,0.19,-0.08,-0.21,0.02,-0.04,-0.03
0.0030,-0.07,0.02,-0.08,-0.05,-0.02,0.01,0.10,-0.05,-0.11,0.01,-0.00,-0.01
0.0040,-0.03,0.04,0.02,-0.05,0.01,0.01,0.04,-0.03,-0.02,-0.00,0.02,0.01
0.0050,-0.01,0.05,0.06,-0.04,0.03,0.02,-0.00,-0.01,0.05,-0.01,0.03,0.02
0.0060,0.00,0.03,0.06,-0.03,0.03,0.03,-0.03,0.01,0.11,-0.00,0.02,0.02
0.0070,0.01,0.01,0.05,-0.01,0.03,0.04,-0.04,0.03,0.17,0.00,0.01,0.01
0.0080,0.04,-0.02,0.03,0.00,0.01,0.03,-0.05,0.04,0.22,0.01,-0.01,0.00
0.0090,0.07,-0.04,0.03,0.02,-0.00,0.02,-0.07,0.05,0.27,0.02,-0.03,-0.01
0.0100,0.10,-0.06,0.03,0.02,-0.01,0.00,-0.09,0.05,0.30,0.02,-0.04,-0.02
0.0110,0.13,-0.07,0.01,0.02,-0.02,-0.02,-0.12,0.05,0.30,0.02,-0.05,-0.03
0.0120,0.16,-0.07,-0.04,0.01,-0.03,-0.03,-0.14,0.05,0.26,0.03,-0.04,-0.03
0.0130,0.16,-0.07,-0.14,-0.02,-0.03,-0.03,-0.17,0.05,0.18,0.03,-0.03,-0.02
0.0140,0.14,-0.06,-0.28,-0.05,-0.04,-0.03,-0.18,0.05,0.08,0.03,-0.02,-0.02
0.0150,0.10,-0.05,-0.43,-0.08,-0.05,-0.03,-0.17,0.04,-0.03,0.03,-0.01,-0.01
0.0160,0.05,-0.03,-0.56,-0.10,-0.06,-0.01,-0.14,0.03,-0.13,0.03,0.00,-0.00
0.0170,-0.01,0.00,-0.65,-0.13,-0.08,-0.00,-0.10,0.03,-0.19,0.03,0.00,-0.00
0.0180,-0.06,0.04,-0.67,-0.14,-0.10,0.02,-0.05,0.02,-0.20,0.03,-0.01,-0.00
0.0190,-0.10,0.09,-0.61,-0.15,-0.10,0.03,-0.00,0.03,-0.17,0.02,-0.02,-0.00
0.0200,-0.12,0.14,-0.48,-0.15,-0.09,0.05,0.04,0.05,-0.11,0.01,-0.04,-0.00
0.0210,-0.12,0.20,-0.31,-0.15,-0.07,0.07,0.06,0.08,-0.03,-0.00,-0.06,0.00
