time,CH0_hat1,CH0_hat2
0.0010,32778,32774
0.0020,32781,32773
0.0030,32779,32776
0.0040,32779,32774
0.0050,32780,32776
0.0060,32782,32775
0.0070,32780,32776
0.0080,32778,32775
0.0090,32779,32774
0.0100,32779,32774
0.0110,32777,32777
0.0120,32778,32774
0.0130,32779,32775
0.0140,32779,32776
0.0150,32778,32777
0.0160,32778,32777
0.0170,32779,32778
0.0180,32778,32774
0.0190,32778,32772
0.0200,32779,32772
0.0210,32779,32771
0.0220,32781,32775
0.0230,32779,32775
0.0240,32778,32775
0.0250,32777,32775
0.0260,32782,32773
0.0270,32779,32775
0.0280,32779,32775
0.0290,32778,32775
0.0300,32779,32774
0.0310,32778,32771
0.0320,32780,32773
0.0330,32778,32778
0.0340,32778,32776
0.0350,32777,32775
0.0360,32778,32775
0.0370,32778,32774
0.0380,32780,32774
0.0390,32777,32775
0.0400,32778,32773
0.0410,32778,32777
0.0420,32779,32776
0.0430,32779,32774
0.0440,32778,32775
0.0450,32779,32773
0.0460,32778,32777
0.0470,32780,32777
0.0480,32778,32774
0.0490,32776,32773
0.0500,32780,32775
0.0510,32779,32776
0.0520,32779,32777
0.0530,32777,32776
0.0540,32780,32777
0.0550,32778,32776
0.0560,32779,32772
0.0570,32779,32774
0.0580,32779,32775
0.0590,32778,32776
0.0600,32781,32777
0.0610,32778,32777
0.0620,32779,32775
0.0630,32777,32775
0.0640,32779,32772
0.0650,32779,32773
0.0660,32781,32777
0.0670,32778,32776
0.0680,32779,32776
0.0690,32780,32778
0.0700,32779,32774
0.0710,32778,32772
0.0720,32780,32774
0.0730,32779,32774
0.0740,32779,32776
0.0750,32778,32776
0.0760,32780,32776
0.0770,32780,32775
0.0780,32778,32776
0.0790,32781,32778
0.0800,32778,32774
0.0810,32779,32776
0.0820,32779,32773
0.0830,32780,32776
0.0840,32778,32775
0.0850,32778,32775
0.0860,32778,32775
0.0870,32779,32774
0.0880,32778,32777
0.0890,32778,32777
0.0900,32778,32774
0.0910,32778,32774
0.0920,32778,32774
0.0930,32780,32776
0.0940,32778,32775
0.0950,32777,32777
0.0960,32778,32775
0.0970,32776,32774
0.0980,32779,32772
0.0990,32780,32771
0.1000,32779,32776
0.1010,32777,32778
0.1020,32779,32777
0.1030,32777,32774
0.1040,32778,32775
0.1050,32777,32776
0.1060,32779,32774
0.1070,32778,32773
0.1080,32778,32773
0.1090,32779,32774
0.1100,32778,32772
0.1110,32780,32774
0.1120,32780,32774
0.1130,32779,32777
0.1140,32783,32774
0.1150,32779,32774
0.1160,32777,32773
0.1170,32780,32772
0.1180,32779,32773
0.1190,32779,32776
0.1200,32778,32775
0.1210,32779,32773
0.1220,32776,32776
0.1230,32779,32772
0.1240,32777,32776
0.1250,32781,32772
0.1260,32781,32776
