time,CH0_hat1,CH1_hat1,CH2_hat1,CH3_hat1,CH4_hat1,CH5_hat1,CH0_hat2,CH1_hat2,CH2_hat2,CH3_hat2,CH4_hat2,CH5_hat2
0.0660,31912,32011,32055,33034,31648,32108,32200,32317,32457,33490,32208,32670
0.0670,32099,32134,32148,33107,31657,32094,32300,32453,32624,33661,32418,32904
0.0680,32007,32119,32177,33156,31750,32204,32509,32726,33042,34093,32861,33384
0.0690,32347,32361,32405,33357,31815,32214,33108,33253,33625,34666,33360,33846
0.0700,32212,32366,32503,33490,32020,32454,33324,33467,33761,34831,33611,34120
0.0710,32212,32336,32455,33469,32090,32562,33575,33611,33728,34777,33562,34057
0.0720,32326,32379,32432,33425,32060,32535,33545,33616,33676,34719,33510,34001
0.0730,32260,32343,32383,33386,32055,32542,33443,33516,33523,34565,33375,33871
0.0740,32362,32389,32374,33346,31978,32450,33215,33306,33282,34322,33178,33698
0.0750,32184,32282,32288,33275,31967,32460,32987,33083,33046,34101,32989,33519
0.0760,32264,32297,32270,33237,31888,32365,32787,32885,32847,33896,32814,33354
0.0770,32182,32246,32228,33201,31851,32323,32788,32815,32711,33732,32577,33075
0.0780,32044,32141,32140,33130,31827,32318,32486,32498,32280,33299,32136,32618
0.0790,32123,32119,32023,32982,31634,32104,31902,31972,31704,32737,31656,32166
0.0800,31855,31940,31867,32841,31550,32046,31580,31688,31524,32546,31435,31950
0.0810,31826,31892,31845,32810,31494,31987,31625,31719,31662,32659,31431,31906
0.0820,31867,31924,31896,32861,31493,31963,31564,31713,31744,32755,31523,32000
0.0830,31644,31799,31854,32854,31591,32099,31656,31796,31888,32913,31664,32143
0.0840,31784,31857,31888,32873,31595,32096,31827,31962,32098,33127,31853,32330
0.0850,31851,31919,31952,32932,31626,32114,31932,32090,32255,33303,32076,32566
0.0860,31858,31952,32001,32983,31693,32185,32209,32311,32456,33489,32223,32698
0.0870,31953,32020,32060,33046,31738,32217,32360,32491,32653,33691,32420,32898
0.0880,31929,32032,32099,33087,31808,32301,32683,32851,33126,34158,32840,33317
0.0890,31989,32103,32218,33221,31947,32441,33184,33340,33703,34729,33347,33807
