time,CH0_hat1,CH1_hat1,CH2_hat1,CH0_hat2,CH1_hat2,CH2_hat2
0.032,31569.3115249738,31436.84206054975,31354.30339425476,32222.92769105095,32136.24443176255,31962.877913185752
0.033,31492.886833959925,31390.987245941422,31352.26540249439,32129.10581040939,32075.056248735447,32032.224520616473
0.034,31474.544908116593,31376.72130361883,31377.740299499015,32169.897932427462,32096.47211279493,32120.947386005777
0.035,31493.905829840107,31386.91126242068,31407.291180024382,32274.937646623992,32200.492023941013,32279.016858825795
0.036,31524.47570624566,31418.500134706417,31451.108002872337,32454.4229835035,32370.799133366454,32490.11609026931
0.037,31570.330520853986,31465.37394519493,31507.152776282514,32653.28457834159,32556.403288548674,32692.03709425876
0.038,31623.318306623605,31516.323739204177,31565.23554145306,32854.18577928059,32752.20547423541,32887.839279945496
0.039,31677.325088273414,31563.19754969269,31618.22332722268,33047.94835886642,32945.96805382125,33099.958314439464
0.04,31737.44584520433,31625.356298383977,31683.439063554524,33421.196275331764,33349.81006180014,33619.03806711941
0.041,31837.30744146246,31746.616808125993,31866.858321987827,33920.899770053125,33846.45414737015,34196.246593675096
0.042,31962.64393472522,31855.649367305792,31979.966864688366,34304.34571702298,34159.533683858834,34410.405234269965
0.043,32041.106617499467,31908.637153075415,31979.966864688366,34411.42503732042,34234.99910959227,34348.19724819241
0.044,32069.638502144648,31937.169037720596,31984.042848209105,34410.405234269965,34245.19714009678,34302.30611092208
0.045,32069.638502144648,31938.188033600778,31958.56795120448,34328.82099023383,34165.652502161545,34167.69210826245
0.046,32047.220592780577,31916.789120116893,31929.017070679114,34143.21683505161,33988.20677138294,33943.33543716306
0.047,32001.36577817225,31867.877317868013,31861.763342586903,33954.55327071803,33806.68182840253,33734.27581182045
0.048,31957.548955324295,31830.17447030117,31812.851540338022,33756.71147893039,33626.176688472566,33562.948899344556
0.049,31910.675144835783,31789.414635093766,31784.31965569284,33574.166732899525,33439.55273023989,33360.008092304655
0.05,31865.83932610764,31739.4838369647,31717.06592760063,33225.39408964503,33054.067177169134,32851.126370129234
0.051,31775.148692771174,31624.33730250379,31548.9316073701,32724.670791873214,32564.561712952287,32285.135677128506
0.052,31647.774207748047,31519.380726844734,31440.918044070488,32387.11598217368,32291.254495431218,32107.6899463499
0.053,31577.463492015282,31470.468924595854,31440.918044070488,32257.60099476631,32206.610842243725,32169.897932427462
0.054,31560.140562052136,31455.183986393076,31456.202982273262,32296.353510683475,32220.88808495005,32246.383161211343
0.055,31571.34951673417,31458.240974033633,31476.582899876965,32410.571452334072,32326.947602197033,32397.314012678202
0.056,31599.881401379353,31494.924825720293,31529.570685646584,32572.7201373559,32492.155696370217,32611.47265327307
0.057,31642.679228347122,31535.684660927694,31590.710438457685,32776.680747446255,32682.858866804694,32813.39365726252
0.058,31691.591030596002,31578.482487895464,31630.4512777849,32969.42352398163,32863.36400673466,33000.01761549519
0.059,31742.540824605254,31628.413286024534,31675.287096513042,33166.24551271882,33063.245404623194,33217.23566524141
0.06,31785.338651573027,31678.3440841536,31741.52182872507,33525.21618647784,33456.88938209757,33722.03817521503
0.061,31891.31422311227,31803.680577416355,31925.96008303856,34031.03849950191,33951.493861566676,34299.246701770724
0.062,32023.78368753632,31911.69414071597,32033.97364633817,34399.187400714996,34251.31595839949,34504.227114911526
0.063,32102.246370310568,31966.71991824596,32041.106617499467,34517.4845545674,34339.01902073834,34454.25676543939
0.064,32126.70227143501,31991.1758193704,32032.95465045799,34501.16770576017,34337.99921768789,34394.08838546274
0.065,32121.60729203408,31988.118831729847,32015.631720494843,34419.58346172403,34253.355564500394,34252.33576144995
