time,CH0_hat1,CH1_hat1,CH2_hat1,CH0_hat2,CH1_hat2,CH2_hat2
0.0100,31535,31264,30868,32940,32832,32912
0.0200,31624,31400,31203,32843,32563,32414
0.0300,31580,31351,31111,33077,32962,33054
0.0400,31661,31444,31300,32962,32660,32524
0.0500,31632,31398,31179,33190,33061,33150
0.0600,31693,31475,31345,33032,32726,32578
0.0700,31664,31425,31201,33247,33110,33200
0.0800,31695,31479,31341,33065,32753,32615
0.0900,31673,31435,31218,33278,33135,33225
0.1000,31722,31499,31369,33105,32790,32646
0.1100,31676,31438,31216,33313,33176,33271
0.1200,31728,31502,31368,33132,32817,32675
0.1300,31684,31447,31227,33322,33182,33271
0.1400,31737,31511,31379,33127,32815,32673
0.1500,31692,31447,31229,33324,33179,33264
0.1600,31736,31511,31379,33133,32818,32676
0.1700,31681,31442,31224,33317,33181,33270
0.1800,31729,31506,31372,33123,32815,32677
0.1900,31685,31447,31232,33329,33187,33277
0.2000,31730,31506,31374,33135,32820,32675
0.2100,31680,31440,31226,33315,33176,33273
0.2200,31725,31501,31373,33126,32810,32672
0.2300,31686,31443,31226,33324,33180,33270
0.2400,31730,31507,31371,33127,32818,32680
0.2500,31690,31452,31240,33319,33179,33268
0.2600,31729,31506,31378,33123,32814,32673
0.2700,31684,31441,31221,33332,33188,33272
0.2800,31741,31514,31379,33122,32809,32670
0.2900,31686,31448,31233,33298,33152,33239
0.3000,31730,31507,31373,33144,32822,32676
0.3100,31689,31449,31234,33330,33184,33278
0.3200,31740,31516,31383,33145,32827,32684
0.3300,31687,31448,31239,33330,33186,33275
0.3400,31737,31512,31381,33135,32821,32678
0.3500,31693,31456,31243,33326,33183,33274
0.3600,31740,31513,31383,33130,32816,32677
0.3700,31709,31465,31244,33325,33182,33271
0.3800,31733,31510,31374,33128,32814,32676
0.3900,31700,31462,31241,33320,33177,33267
0.4000,31736,31515,31382,33131,32816,32676
0.4100,31691,31454,31241,33321,33181,33276
0.4200,31735,31511,31383,33132,32816,32677
0.4300,31684,31443,31225,33324,33180,33269
0.4400,31734,31507,31375,33129,32812,32677
0.4500,31687,31449,31234,33329,33186,33273
0.4600,31733,31508,31384,33129,32815,32681
0.4700,31694,31448,31228,33326,33183,33275
0.4800,31723,31501,31373,33133,32818,32677
0.4900,31687,31446,31236,33330,33185,33273
0.5000,31728,31506,31371,33122,32812,32677
0.5100,31685,31444,31227,33312,33175,33265
0.5200,31726,31504,31377,33143,32826,32687
0.5300,31686,31446,31228,33320,33180,33272
0.5400,31722,31501,31367,33139,32823,32682
0.5500,31693,31455,31237,33322,33180,33272
0.5600,31731,31510,31384,33134,32820,32678
0.5700,31686,31448,31238,33324,33182,33271
0.5800,31735,31511,31378,33133,32817,32679
0.5900,31703,31460,31244,33321,33177,33264
0.6000,31732,31506,31379,33131,32817,32677
0.6100,31704,31462,31240,33319,33178,33274
0.6200,31743,31516,31383,33134,32821,32679
0.6300,31689,31453,31237,33323,33181,33274
0.6400,31747,31517,31383,33134,32819,32681
0.6500,31684,31446,31235,33324,33182,33270
0.6600,31731,31506,31378,33128,32817,32678
0.6700,31686,31446,31233,33314,33173,33267
0.6800,31730,31505,31378,33134,32816,32676
0.6900,31689,31449,31238,33320,33177,33267
0.7000,31732,31506,31376,33128,32815,32678
0.7100,31688,31451,31235,33324,33178,33271
0.7200,31733,31510,31379,33133,32818,32678
0.7300,31686,31448,31237,33323,33179,33266
0.7400,31738,31513,31385,33127,32812,32676
0.7500,31693,31453,31237,33318,33176,33266
0.7600,31733,31508,31377,33126,32813,32677
0.7700,31686,31444,31233,33318,33175,33268
0.7800,31740,31518,31379,33125,32811,32676
0.7900,31681,31447,31234,33316,33177,33264
0.8000,31726,31506,31374,33123,32805,32671
0.8100,31683,31444,31238,33320,33176,33269
0.8200,31733,31511,31382,33123,32810,32670
0.8300,31689,31453,31241,33320,33177,33266
0.8400,31737,31509,31377,33123,32809,32677
0.8500,31687,31447,31232,33261,33133,33235
0.8600,31736,31510,31380,33136,32818,32677
0.8700,31693,31451,31235,33320,33177,33269
0.8800,31740,31511,31382,33134,32814,32677
0.8900,31699,31457,31243,33324,33180,33266
0.9000,31738,31515,31386,33134,32818,32677
0.9100,31689,31450,31234,33131,32813,32682
0.9200,31735,31512,31386,33320,33182,33268
0.9300,31697,31456,31240,33127,32808,32672
0.9400,31732,31511,31376,33319,33177,33271
0.9500,31687,31443,31234,33125,32811,32678
0.9600,31748,31520,31392,33323,33183,33272
0.9700,31685,31446,31237,33131,32818,32684
0.9800,31731,31506,31381,33321,33181,33267
0.9900,31693,31449,31234,33134,32816,32677
1.0000,31732,31510,31375,33320,33177,33275
