time,CH0_hat1,CH0_hat2
0.0010,32779,32802
0.0020,32781,32800
0.0030,32781,32801
0.0040,32781,32800
0.0050,32780,32800
0.0060,32780,32802
0.0070,32779,32800
0.0080,32780,32802
0.0090,32779,32801
0.0100,32779,32802
0.0110,32779,32799
0.0120,32780,32800
0.0130,32778,32802
0.0140,32779,32803
0.0150,32779,32802
0.0160,32779,32800
0.0170,32780,32802
0.0180,32779,32802
0.0190,32783,32801
0.0200,32778,32802
0.0210,32779,32802
0.0220,32779,32802
0.0230,32779,32802
0.0240,32777,32800
0.0250,32779,32801
0.0260,32781,32803
0.0270,32778,32801
0.0280,32778,32800
0.0290,32778,32799
0.0300,32779,32797
0.0310,32780,32799
0.0320,32777,32799
0.0330,32778,32800
0.0340,32781,32803
0.0350,32781,32799
0.0360,32779,32803
0.0370,32780,32804
0.0380,32780,32800
0.0390,32780,32802
0.0400,32780,32801
0.0410,32780,32799
0.0420,32778,32799
0.0430,32778,32798
0.0440,32778,32798
0.0450,32779,32797
0.0460,32779,32802
0.0470,32780,32801
0.0480,32779,32799
0.0490,32778,32802
0.0500,32780,32799
0.0510,32780,32802
0.0520,32779,32801
0.0530,32779,32800
0.0540,32779,32800
0.0550,32778,32799
0.0560,32782,32799
0.0570,32779,32797
0.0580,32782,32801
0.0590,32780,32800
0.0600,32779,32800
0.0610,32781,32802
0.0620,32780,32801
0.0630,32780,32800
0.0640,32778,32799
0.0650,32781,32801
0.0660,32780,32803
0.0670,32779,32801
0.0680,32779,32800
0.0690,32778,32800
0.0700,32780,32801
0.0710,32780,32802
0.0720,32778,32798
0.0730,32781,32797
0.0740,32779,32798
0.0750,32780,32801
0.0760,32778,32803
0.0770,32781,32802
0.0780,32778,32802
0.0790,32779,32801
0.0800,32779,32799
0.0810,32779,32802
0.0820,32779,32802
0.0830,32779,32802
0.0840,32780,32802
0.0850,32780,32802
0.0860,32778,32803
0.0870,32780,32801
0.0880,32780,32802
0.0890,32778,32802
0.0900,32781,32801
0.0910,32779,32803
0.0920,32781,32802
0.0930,32779,32802
0.0940,32776,32803
0.0950,32779,32801
0.0960,32779,32799
0.0970,32779,32800
0.0980,32778,32802
0.0990,32780,32800
0.1000,32780,32800
0.1010,32779,32801
0.1020,32780,32802
0.1030,32779,32801
0.1040,32780,32802
0.1050,32780,32800
0.1060,32779,32801
0.1070,32779,32801
0.1080,32781,32801
0.1090,32780,32800
0.1100,32781,32798
0.1110,32779,32803
0.1120,32780,32800
0.1130,32779,32799
0.1140,32780,32802
0.1150,32780,32802
0.1160,32779,32803
0.1170,32780,32799
0.1180,32780,32802
0.1190,32779,32801
0.1200,32779,32801
0.1210,32781,32797
0.1220,32781,32801
0.1230,32780,32800
0.1240,32778,32798
0.1250,32777,32802
0.1260,32779,32802
0.1270,32779,32801
0.1280,32779,32799
0.1290,32782,32801
0.1300,32778,32801
0.1310,32781,32801
0.1320,32781,32802
0.1330,32779,32802
0.1340,32780,32803
0.1350,32780,32802
0.1360,32781,32803
0.1370,32779,32799
0.1380,32778,32802
0.1390,32778,32802
0.1400,32778,32802
0.1410,32780,32802
0.1420,32779,32801
0.1430,32778,32800
0.1440,32779,32798
0.1450,32780,32801
0.1460,32779,32801
0.1470,32783,32800
0.1480,32779,32801
0.1490,32779,32800
0.1500,32780,32801
0.1510,32781,32799
0.1520,32778,32801
0.1530,32779,32802
0.1540,32781,32803
0.1550,32780,32801
0.1560,32776,32803
0.1570,32780,32801
0.1580,32779,32802
0.1590,32779,32799
0.1600,32779,32800
0.1610,32778,32802
0.1620,32779,32800
0.1630,32780,32802
0.1640,32778,32802
0.1650,32779,32803
0.1660,32778,32800
0.1670,32780,32799
0.1680,32780,32802
0.1690,32780,32802
0.1700,32779,32800
0.1710,32780,32797
0.1720,32780,32803
0.1730,32780,32801
0.1740,32781,32801
0.1750,32778,32803
0.1760,32780,32801
0.1770,32780,32799
0.1780,32781,32801
0.1790,32779,32800
0.1800,32781,32804
0.1810,32781,32801
0.1820,32780,32798
0.1830,32779,32800
0.1840,32779,32803
0.1850,32779,32800
0.1860,32781,32800
0.1870,32780,32801
0.1880,32780,32802
0.1890,32778,32802
0.1900,32780,32798
0.1910,32780,32803
0.1920,32780,32798
0.1930,32780,32801
0.1940,32783,32801
0.1950,32782,32802
0.1960,32778,32800
0.1970,32779,32800
0.1980,32780,32799
0.1990,32780,32801
0.2000,32779,32798
0.2010,32779,32797
0.2020,32781,32801
0.2030,32778,32803
0.2040,32780,32802
0.2050,32779,32802
0.2060,32781,32801
0.2070,32779,32803
0.2080,32778,32802
0.2090,32780,32802
0.2100,32777,32802
0.2110,32778,32801
0.2120,32781,32800
0.2130,32780,32801
0.2140,32778,32800
0.2150,32779,32801
0.2160,32781,32800
0.2170,32778,32802
0.2180,32780,32802
0.2190,32779,32800
0.2200,32780,32800
0.2210,32779,32799
0.2220,32778,32802
0.2230,32776,32801
0.2240,32778,32802
0.2250,32779,32801
0.2260,32779,32800
0.2270,32781,32801
0.2280,32780,32801
0.2290,32781,32798
0.2300,32780,32800
0.2310,32778,32797
0.2320,32779,32800
0.2330,32779,32802
0.2340,32781,32802
0.2350,32779,32802
