time,CH0_hat1,CH0_hat2
0.2900,32466,34113
0.2910,32460,34050
0.2920,32448,33861
0.2930,32389,33629
0.2940,32342,33481
0.2950,32316,33441
0.2960,32316,33465
0.2970,32331,33474
0.2980,32342,33557
0.2990,32361,33599
0.3000,32353,33632
0.3010,32354,33702
0.3020,32375,33886
0.3030,32413,34121
0.3040,32462,34268
0.3050,32491,34306
0.3060,32494,34298
0.3070,32493,34256
0.3080,32484,34205
0.3090,32473,34156
0.3100,32468,34105
0.3110,32455,34048
0.3120,32443,33849
0.3130,32387,33620
0.3140,32341,33473
0.3150,32316,33435
0.3160,32314,33458
0.3170,32319,33503
0.3180,32329,33552
0.3190,32337,33539
0.3200,32376,33648
0.3210,32353,33704
0.3220,32370,33900
0.3230,32428,34134
0.3240,32475,34277
0.3250,32499,34311
0.3260,32502,34303
0.3270,32504,34262
0.3280,32490,34211
0.3290,32481,34159
0.3300,32472,34110
0.3310,32461,34043
0.3320,32445,33852
0.3330,32390,33620
0.3340,32339,33480
0.3350,32322,33443
0.3360,32317,33466
0.3370,32318,33510
0.3380,32333,33559
0.3390,32340,33605
0.3400,32351,33654
0.3410,32362,33711
0.3420,32380,33908
0.3430,32433,34144
0.3440,32478,34279
0.3450,32504,34312
0.3460,32502,34304
0.3470,32506,34260
0.3480,32491,34202
0.3490,32480,34162
0.3500,32472,34106
0.3510,32458,34051
0.3520,32444,33850
0.3530,32385,33613
0.3540,32341,33477
0.3550,32320,33443
0.3560,32319,33470
0.3570,32323,33512
0.3580,32332,33558
0.3590,32339,33606
0.3600,32353,33655
0.3610,32359,33713
0.3620,32381,33914
0.3630,32434,34150
0.3640,32480,34285
0.3650,32503,34314
0.3660,32504,34305
0.3670,32508,34259
0.3680,32492,34208
0.3690,32487,34159
0.3700,32472,34111
0.3710,32467,34049
0.3720,32443,33844
0.3730,32390,33611
0.3740,32343,33473
0.3750,32319,33445
0.3760,32327,33469
0.3770,32332,33512
0.3780,32339,33566
0.3790,32349,33604
0.3800,32361,33660
0.3810,32366,33715
0.3820,32388,33924
0.3830,32439,34155
0.3840,32485,34285
0.3850,32511,34317
0.3860,32513,34306
0.3870,32509,34262
0.3880,32497,34212
0.3890,32491,34162
0.3900,32481,34108
0.3910,32469,34050
0.3920,32450,33834
0.3930,32396,33603
0.3940,32348,33476
0.3950,32332,33443
0.3960,32324,33470
0.3970,32326,33515
0.3980,32340,33561
0.3990,32343,33610
0.4000,32359,33658
0.4010,32376,33724
0.4020,32391,33932
0.4030,32434,34164
0.4040,32479,34296
0.4050,32505,34323
0.4060,32502,34313
0.4070,32506,34265
0.4080,32489,34204
0.4090,32482,34163
0.4100,32474,34115
0.4110,32456,34052
0.4120,32442,33836
0.4130,32385,33607
0.4140,32348,33475
0.4150,32322,33453
0.4160,32319,33476
0.4170,32319,33523
0.4180,32332,33571
0.4190,32346,33618
0.4200,32354,33663
0.4210,32364,33721
0.4220,32377,33939
0.4230,32441,34169
0.4240,32479,34297
0.4250,32503,34321
0.4260,32505,34310
0.4270,32501,34264
0.4280,32497,34213
0.4290,32483,34162
0.4300,32471,34108
0.4310,32461,34051
0.4320,32446,33832
0.4330,32389,33599
0.4340,32342,33477
0.4350,32321,33452
0.4360,32316,33476
0.4370,32327,33522
0.4380,32334,33572
0.4390,32343,33612
0.4400,32350,33661
0.4410,32369,33723
0.4420,32382,33948
0.4430,32438,34176
0.4440,32484,34299
0.4450,32499,34321
0.4460,32511,34310
0.4470,32503,34260
0.4480,32493,34204
0.4490,32482,34159
0.4500,32475,34107
0.4510,32461,34049
0.4520,32445,33828
0.4530,32384,33597
0.4540,32337,33475
0.4550,32324,33451
0.4560,32319,33473
0.4570,32324,33518
0.4580,32333,33569
0.4590,32346,33615
0.4600,32347,33669
0.4610,32363,33723
0.4620,32385,33952
0.4630,32434,34179
0.4640,32488,34295
0.4650,32504,34318
0.4660,32508,34308
0.4670,32507,34259
0.4680,32497,34207
0.4690,32481,34160
0.4700,32472,34105
0.4710,32460,34053
0.4720,32438,33822
0.4730,32392,33589
0.4740,32338,33470
0.4750,32320,33446
0.4760,32321,33473
0.4770,32328,33521
0.4780,32333,33569
0.4790,32345,33619
0.4800,32351,33669
0.4810,32365,33726
0.4820,32391,33949
0.4830,32432,34188
0.4840,32488,34295
0.4850,32502,34317
0.4860,32506,34307
0.4870,32498,34257
0.4880,32489,34204
0.4890,32480,34162
0.4900,32468,34105
0.4910,32465,34043
0.4920,32436,33820
0.4930,32385,33579
0.4940,32336,33470
0.4950,32318,33452
0.4960,32316,33473
0.4970,32320,33526
0.4980,32330,33575
0.4990,32340,33620
0.5000,32354,33667
0.5010,32351,33722
0.5020,32387,33960
0.5030,32436,34199
0.5040,32467,34296
0.5050,32493,34324
0.5060,32493,34306
0.5070,32493,34255
0.5080,32478,34207
0.5090,32474,34152
0.5100,32460,34101
0.5110,32452,34041
0.5120,32424,33812
0.5130,32377,33577
0.5140,32329,33466
0.5150,32310,33457
0.5160,32349,33466
0.5170,32321,33524
0.5180,32326,33574
0.5190,32335,33620
0.5200,32351,33654
0.5210,32359,33674
0.5220,32395,33956
0.5230,32459,34178
0.5240,32491,34300
0.5250,32528,34318
0.5260,32514,34308
0.5270,32507,34258
0.5280,32503,34205
0.5290,32460,34155
0.5300,32451,34098
0.5310,32446,34043
0.5320,32425,33800
0.5330,32372,33571
0.5340,32326,33467
0.5350,32306,33452
0.5360,32309,33476
0.5370,32313,33523
0.5380,32326,33571
0.5390,32334,33622
0.5400,32349,33671
0.5410,32356,33733
0.5420,32385,33966
0.5430,32442,34197
0.5440,32480,34304
0.5450,32496,34329
0.5460,32502,34311
0.5470,32501,34254
0.5480,32485,34207
0.5490,32480,34157
0.5500,32476,34104
0.5510,32457,34044
0.5520,32427,33802
0.5530,32376,33572
0.5540,32332,33468
0.5550,32315,33451
0.5560,32316,33470
0.5570,32322,33528
0.5580,32330,33575
0.5590,32346,33623
0.5600,32353,33670
0.5610,32361,33732
0.5620,32387,33980
0.5630,32440,34207
0.5640,32482,34304
0.5650,32504,34317
0.5660,32506,34307
0.5670,32502,34254
0.5680,32484,34200
0.5690,32481,34139
0.5700,32478,34090
0.5710,32474,34036
0.5720,32426,33789
0.5730,32378,33562
0.5740,32332,33461
0.5750,32311,33454
0.5760,32314,33478
0.5770,32319,33524
0.5780,32326,33577
0.5790,32342,33616
0.5800,32353,33672
0.5810,32363,33736
0.5820,32391,33981
0.5830,32443,34203
0.5840,32487,34305
0.5850,32502,34318
0.5860,32498,34310
0.5870,32498,34258
0.5880,32491,34201
0.5890,32476,34154
0.5900,32475,34098
0.5910,32458,34039
0.5920,32427,33792
0.5930,32373,33567
0.5940,32331,33463
0.5950,32313,33454
0.5960,32314,33474
0.5970,32321,33530
0.5980,32329,33578
0.5990,32342,33622
0.6000,32353,33671
0.6010,32367,33737
0.6020,32389,33981
0.6030,32444,34210
0.6040,32485,34307
0.6050,32512,34325
0.6060,32514,34297
0.6070,32494,34252
0.6080,32483,34199
0.6090,32477,34150
0.6100,32468,34104
0.6110,32451,34034
0.6120,32426,33785
0.6130,32373,33560
0.6140,32331,33463
0.6150,32316,33459
0.6160,32346,33456
0.6170,32326,33528
0.6180,32333,33578
0.6190,32340,33625
0.6200,32354,33677
0.6210,32356,33740
0.6220,32390,33990
0.6230,32443,34212
0.6240,32480,34315
0.6250,32500,34315
0.6260,32504,34307
0.6270,32499,34252
0.6280,32490,34203
0.6290,32480,34153
0.6300,32469,34100
0.6310,32462,34031
0.6320,32431,33785
0.6330,32375,33564
0.6340,32343,33460
0.6350,32319,33461
0.6360,32321,33481
0.6370,32326,33533
0.6380,32335,33585
0.6390,32345,33629
0.6400,32365,33675
0.6410,32378,33733
0.6420,32408,33971
0.6430,32460,34186
0.6440,32505,34303
0.6450,32509,34323
0.6460,32521,34296
0.6470,32504,34250
0.6480,32498,34196
0.6490,32487,34152
0.6500,32469,34079
0.6510,32468,34037
0.6520,32429,33770
0.6530,32375,33557
0.6540,32337,33460
0.6550,32318,33460
0.6560,32319,33482
0.6570,32328,33534
0.6580,32335,33588
0.6590,32347,33630
0.6600,32356,33672
0.6610,32367,33748
0.6620,32397,34003
0.6630,32447,34224
0.6640,32492,34310
0.6650,32508,34325
0.6660,32509,34312
0.6670,32507,34252
0.6680,32494,34199
0.6690,32484,34151
0.6700,32474,34075
0.6710,32473,34033
0.6720,32424,33772
0.6730,32371,33554
0.6740,32337,33456
0.6750,32317,33460
0.6760,32321,33483
0.6770,32335,33541
0.6780,32340,33590
0.6790,32343,33630
0.6800,32354,33683
0.6810,32363,33757
0.6820,32394,34009
0.6830,32449,34230
0.6840,32490,34315
0.6850,32517,34322
0.6860,32505,34311
0.6870,32502,34252
0.6880,32488,34198
0.6890,32481,34142
0.6900,32455,34090
0.6910,32447,34026
0.6920,32417,33756
0.6930,32365,33551
0.6940,32323,33457
0.6950,32309,33458
0.6960,32314,33486
0.6970,32315,33540
0.6980,32330,33583
0.6990,32338,33635
0.7000,32351,33674
0.7010,32364,33755
0.7020,32390,34013
0.7030,32442,34225
0.7040,32482,34319
0.7050,32505,34316
0.7060,32508,34299
0.7070,32502,34243
0.7080,32482,34195
0.7090,32475,34149
0.7100,32462,34097
0.7110,32449,34018
0.7120,32420,33765
0.7130,32368,33550
0.7140,32329,33458
0.7150,32311,33463
0.7160,32313,33487
0.7170,32318,33540
0.7180,32335,33589
0.7190,32343,33635
0.7200,32353,33683
0.7210,32362,33765
0.7220,32396,34015
0.7230,32447,34227
0.7240,32488,34319
0.7250,32501,34317
0.7260,32501,34303
0.7270,32497,34247
0.7280,32488,34200
0.7290,32473,34148
0.7300,32466,34095
0.7310,32459,34016
0.7320,32422,33760
0.7330,32368,33549
0.7340,32329,33451
0.7350,32312,33463
0.7360,32313,33485
0.7370,32323,33536
0.7380,32334,33587
0.7390,32339,33634
0.7400,32351,33680
0.7410,32364,33767
0.7420,32396,34020
0.7430,32451,34225
0.7440,32489,34320
0.7450,32499,34315
0.7460,32501,34303
0.7470,32493,34247
0.7480,32482,34194
0.7490,32477,34145
0.7500,32463,34098
0.7510,32448,34003
0.7520,32416,33751
0.7530,32358,33542
0.7540,32322,33452
0.7550,32310,33461
0.7560,32309,33481
0.7570,32332,33511
0.7580,32346,33585
0.7590,32350,33633
0.7600,32356,33686
0.7610,32366,33768
0.7620,32405,34021
0.7630,32461,34228
0.7640,32490,34321
0.7650,32502,34318
0.7660,32510,34301
0.7670,32507,34238
0.7680,32492,34191
0.7690,32482,34143
0.7700,32474,34087
0.7710,32459,33998
0.7720,32421,33743
0.7730,32375,33543
0.7740,32328,33450
0.7750,32312,33460
0.7760,32317,33482
0.7770,32325,33544
0.7780,32337,33583
0.7790,32355,33622
0.7800,32367,33681
0.7810,32361,33783
0.7820,32398,34024
0.7830,32459,34225
0.7840,32496,34323
0.7850,32503,34323
0.7860,32508,34304
0.7870,32495,34242
0.7880,32484,34197
0.7890,32478,34145
0.7900,32467,34093
0.7910,32454,33994
0.7920,32414,33741
0.7930,32365,33544
0.7940,32329,33450
0.7950,32314,33467
0.7960,32317,33490
0.7970,32332,33544
0.7980,32333,33584
0.7990,32359,33635
0.8000,32363,33681
0.8010,32371,33779
0.8020,32430,34009
0.8030,32453,34231
0.8040,32480,34315
0.8050,32496,34321
0.8060,32502,34303
0.8070,32497,34244
0.8080,32482,34195
0.8090,32472,34143
0.8100,32470,34086
0.8110,32463,33988
0.8120,32420,33733
0.8130,32372,33541
0.8140,32326,33449
0.8150,32313,33468
0.8160,32318,33482
0.8170,32327,33543
0.8180,32332,33592
0.8190,32341,33637
0.8200,32354,33690
0.8210,32368,33794
0.8220,32407,34035
0.8230,32458,34236
0.8240,32496,34312
0.8250,32498,34319
0.8260,32502,34301
0.8270,32501,34238
0.8280,32487,34189
0.8290,32482,34140
0.8300,32466,34089
0.8310,32457,33980
0.8320,32414,33721
0.8330,32362,33539
0.8340,32322,33444
0.8350,32313,33463
0.8360,32320,33479
0.8370,32330,33540
0.8380,32337,33586
0.8390,32339,33637
0.8400,32349,33690
0.8410,32365,33799
0.8420,32401,34042
0.8430,32454,34239
0.8440,32489,34315
0.8450,32513,34311
0.8460,32512,34296
0.8470,32504,34223
0.8480,32508,34175
0.8490,32494,34126
0.8500,32482,34078
0.8510,32466,33954
0.8520,32419,33690
0.8530,32373,33518
0.8540,32339,33440
0.8550,32330,33460
0.8560,32329,33481
0.8570,32339,33540
0.8580,32338,33587
0.8590,32356,33637
0.8600,32367,33690
0.8610,32373,33806
0.8620,32409,34048
0.8630,32463,34239
0.8640,32499,34328
0.8650,32510,34305
0.8660,32507,34300
0.8670,32495,34243
0.8680,32488,34185
0.8690,32483,34145
0.8700,32470,34084
0.8710,32444,33966
0.8720,32405,33725
0.8730,32350,33530
0.8740,32317,33446
0.8750,32317,33450
0.8760,32316,33495
0.8770,32326,33547
0.8780,32335,33595
0.8790,32342,33632
0.8800,32364,33688
0.8810,32365,33810
0.8820,32411,34055
0.8830,32463,34249
0.8840,32493,34326
0.8850,32503,34317
0.8860,32504,34299
0.8870,32499,34243
0.8880,32491,34187
0.8890,32477,34142
0.8900,32468,34088
0.8910,32457,33967
0.8920,32413,33718
0.8930,32358,33531
0.8940,32328,33444
0.8950,32320,33468
0.8960,32324,33493
0.8970,32331,33548
0.8980,32338,33596
0.8990,32348,33645
0.9000,32362,33691
0.9010,32368,33818
0.9020,32416,34058
0.9030,32468,34249
0.9040,32497,34329
0.9050,32507,34318
0.9060,32499,34291
0.9070,32496,34240
0.9080,32483,34174
0.9090,32475,34142
0.9100,32463,34081
0.9110,32462,33959
0.9120,32419,33702
0.9130,32366,33527
0.9140,32326,33444
0.9150,32307,33471
0.9160,32317,33490
0.9170,32325,33537
0.9180,32340,33586
0.9190,32329,33637
0.9200,32343,33691
0.9210,32356,33816
0.9220,32401,34058
0.9230,32453,34242
0.9240,32512,34308
0.9250,32510,34316
0.9260,32511,34292
0.9270,32498,34220
0.9280,32497,34187
0.9290,32479,34127
0.9300,32453,34081
0.9310,32441,33949
0.9320,32405,33715
0.9330,32349,33523
0.9340,32322,33445
0.9350,32310,33469
0.9360,32312,33498
0.9370,32322,33549
0.9380,32334,33595
0.9390,32343,33644
0.9400,32353,33693
0.9410,32368,33829
0.9420,32416,34062
0.9430,32457,34253
0.9440,32493,34331
0.9450,32500,34317
0.9460,32502,34296
0.9470,32495,34234
0.9480,32482,34188
0.9490,32473,34136
0.9500,32465,34082
0.9510,32453,33950
0.9520,32412,33706
0.9530,32353,33522
0.9540,32323,33447
0.9550,32314,33469
0.9560,32316,33480
0.9570,32324,33550
0.9580,32333,33594
0.9590,32341,33644
0.9600,32353,33696
0.9610,32367,33832
0.9620,32413,34073
0.9630,32465,34251
0.9640,32493,34327
0.9650,32500,34317
0.9660,32497,34289
0.9670,32493,34232
0.9680,32487,34173
0.9690,32479,34133
0.9700,32461,34082
0.9710,32460,33934
0.9720,32406,33700
0.9730,32349,33519
0.9740,32325,33445
0.9750,32314,33466
0.9760,32319,33494
0.9770,32324,33546
0.9780,32334,33596
0.9790,32344,33645
0.9800,32356,33697
0.9810,32368,33836
0.9820,32413,34076
0.9830,32462,34253
0.9840,32494,34324
0.9850,32502,34313
0.9860,32503,34292
0.9870,32492,34232
0.9880,32483,34184
0.9890,32473,34131
0.9900,32462,34081
0.9910,32449,33939
0.9920,32402,33699
0.9930,32353,33515
0.9940,32320,33447
0.9950,32313,33467
0.9960,32317,33496
0.9970,32323,33551
0.9980,32337,33598
0.9990,32347,33645
1.0000,32356,33698
1.0010,32364,33840
1.0020,32411,34077
1.0030,32462,34257
1.0040,32490,34325
1.0050,32500,34307
1.0060,32498,34285
1.0070,32491,34229
1.0080,32501,34177
1.0090,32487,34113
1.0100,32478,34081
1.0110,32460,33932
1.0120,32412,33693
1.0130,32349,33503
1.0140,32312,33447
1.0150,32310,33464
1.0160,32311,33496
1.0170,32320,33549
1.0180,32326,33574
1.0190,32358,33646
1.0200,32350,33700
1.0210,32353,33849
1.0220,32436,34095
