time,CH0_hat1,CH0_hat2
0.0010,31536,32299
0.0020,31646,32463
0.0030,31647,32537
0.0040,31692,32616
0.0050,31727,32718
0.0060,31783,32991
0.0070,31842,33218
0.0080,31904,33335
0.0090,31923,33361
0.0100,31932,33343
0.0110,31949,33322
0.0120,31949,33220
0.0130,31946,33265
0.0140,31939,33228
0.0150,31933,33151
0.0160,31914,32916
0.0170,31867,32722
0.0180,31839,32648
0.0190,31842,32675
0.0200,31853,32705
0.0210,31867,32780
0.0220,31894,32778
0.0230,31922,32891
0.0240,31946,32954
0.0250,31957,32982
0.0260,31996,33320
0.0270,32048,33530
0.0280,32091,33635
0.0290,32125,33631
0.0300,32132,33643
0.0310,32134,33591
0.0320,32140,33548
0.0330,32143,33521
0.0340,32141,33443
0.0350,32134,33413
0.0360,32101,33129
0.0370,32045,32966
0.0380,32012,32879
0.0390,32003,32882
0.0400,32019,32941
0.0410,32031,32989
0.0420,32037,33060
0.0430,32058,33104
0.0440,32085,33171
0.0450,32085,33264
0.0460,32128,33520
0.0470,32184,33724
0.0480,32228,33811
0.0490,32244,33836
0.0500,32241,33830
0.0510,32245,33777
0.0520,32237,33736
0.0530,32245,33703
0.0540,32228,33651
0.0550,32228,33575
0.0560,32191,33322
0.0570,32147,33129
0.0580,32110,33041
0.0590,32098,33062
0.0600,32099,33084
0.0610,32121,33151
0.0620,32132,33203
0.0630,32139,33257
0.0640,32152,33315
0.0650,32166,33395
0.0660,32217,33655
0.0670,32260,33872
0.0680,32298,33971
0.0690,32319,33968
0.0700,32331,33960
0.0710,32319,33908
0.0720,32326,33864
0.0730,32316,33819
0.0740,32301,33778
0.0750,32300,33693
0.0760,32273,33440
0.0770,32220,33241
0.0780,32192,33158
0.0790,32179,33171
0.0800,32179,33201
0.0810,32184,33263
0.0820,32200,33310
0.0830,32230,33296
0.0840,32243,33396
0.0850,32220,33509
0.0860,32273,33760
0.0870,32312,33963
0.0880,32355,34059
0.0890,32370,34061
0.0900,32373,34057
0.0910,32385,34004
0.0920,32367,33947
0.0930,32370,33906
0.0940,32359,33851
0.0950,32354,33773
0.0960,32309,33523
0.0970,32258,33319
0.0980,32220,33243
0.0990,32210,33249
0.1000,32219,33282
0.1010,32230,33330
0.1020,32238,33385
0.1030,32247,33437
0.1040,32278,33486
0.1050,32276,33572
0.1060,32308,33837
0.1070,32370,34040
0.1080,32406,34137
0.1090,32423,34130
0.1100,32421,34114
0.1110,32417,34064
0.1120,32415,34012
0.1130,32402,33964
0.1140,32393,33911
0.1150,32407,33788
0.1160,32360,33574
0.1170,32306,33377
0.1180,32275,33284
0.1190,32245,33301
0.1200,32251,33337
0.1210,32266,33382
0.1220,32281,33408
0.1230,32295,33457
0.1240,32301,33538
0.1250,32317,33630
0.1260,32348,33880
0.1270,32409,34078
0.1280,32421,34181
0.1290,32458,34176
0.1300,32443,34165
0.1310,32447,34112
0.1320,32437,34068
0.1330,32444,34009
0.1340,32421,33963
0.1350,32409,33860
0.1360,32375,33628
0.1370,32322,33434
0.1380,32286,33336
0.1390,32269,33343
0.1400,32277,33364
0.1410,32297,33427
0.1420,32288,33486
0.1430,32313,33517
0.1440,32308,33583
0.1450,32316,33685
0.1460,32366,33916
0.1470,32427,34109
0.1480,32462,34218
0.1490,32475,34217
0.1500,32460,34197
0.1510,32458,34140
0.1520,32458,34093
0.1530,32446,34052
0.1540,32434,33992
0.1550,32421,33894
0.1560,32381,33648
0.1570,32334,33453
0.1580,32301,33365
0.1590,32281,33374
0.1600,32284,33397
0.1610,32286,33460
0.1620,32305,33503
0.1630,32315,33562
0.1640,32334,33614
0.1650,32336,33709
0.1660,32381,33965
0.1670,32426,34150
0.1680,32456,34244
0.1690,32474,34236
0.1700,32474,34223
0.1710,32476,34170
0.1720,32472,34114
0.1730,32460,34055
0.1740,32455,34013
